player_name,career_kills,career_wins,career_revives
xoKaiz,351847.0,12109.0,16901.0
Upthrow,287983.0,19846.0,61712.0
Tollis,269662.0,16175.0,27939.0
Forget Dat,263062.0,15627.0,27177.0
iMarshTV,235493.0,16196.0,19687.0
imVashy,234136.0,12725.0,25491.0
Bowlesy89,213721.0,14531.0,23696.0
Go cry mutt,212436.0,12155.0,19627.0
SpunFIower,218786.0,16705.0,28795.0
Shwinyy,202705.0,12217.0,22064.0
Aces Kunai,201927.0,10579.0,16149.0
Not InvisibIe,199933.0,14083.0,24174.0
Wolvezxy,196155.0,17787.0,53805.0
HappyKitten2251,192860.0,11661.0,21230.0
Halaven,190779.0,13399.0,19857.0
Neo lll,189835.0,14550.0,24522.0
Tyson,188950.0,18794.0,24178.0
Blizzes,188669.0,9940.0,18015.0
iShardTV,186775.0,13505.0,25997.0
Wise vitality,186454.0,13416.0,18325.0
LG Giggle,182360.0,14321.0,24417.0
Chet Ubetcha,179005.0,13565.0,17354.0
NRK Cosmic,175374.0,12240.0,28758.0
iGRILLurCHEESE,174859.0,15240.0,25035.0
oopsxxxxxxsorry,170398.0,9905.0,27690.0
Risperdal,168692.0,13608.0,21732.0
Frame,168688.0,14503.0,24062.0
ShimaRin_Ni,168425.0,11987.0,21139.0
ListeKoerper39,167571.0,10232.0,19088.0
Guttadactyl,167298.0,12023.0,21159.0
Muertei,166759.0,12227.0,21385.0
N7IK,164853.0,11098.0,18257.0
Frailtey,162611.0,8047.0,12371.0
Gigshot | YouTube,159400.0,9771.0,18395.0
Wishful Leland,158426.0,9716.0,18313.0
xMetroo,155906.0,9393.0,17046.0
NeNoReGaL,159715.0,8161.0,14741.0
xl SleepyBoi,175555.0,10683.0,19764.0
Sinful Sweat,150904.0,9291.0,17676.0
Boubou971TTV,152148.0,9361.0,17781.0
Unrezzable,149517.0,9212.0,17558.0
Nicotiate,148225.0,13236.0,20707.0
Iinsova,146865.0,9576.0,17929.0
