Kills
"46,882"
"32,016"
"28,082"
"27,378"
"25,879"
"25,832"
"24,994"
"23,330"
"22,947"
"22,591"
"21,907"
"21,724"
"21,666"
"21,321"
"20,557"
"20,303"
"19,916"
"18,355"
"17,626"
"17,077"
"16,624"
"16,191"
"15,915"
"15,449"
"15,385"
"15,129"
"14,950"
"14,914"
"14,554"
"14,520"
"14,130"
"14,110"
"14,091"
"14,046"
"13,757"
"13,031"
"12,988"
"12,829"
"12,792"
"12,721"
"12,668"
"12,570"
"12,389"
"12,373"
"12,319"
"12,283"
"12,104"
"11,975"
"11,907"
"11,621"
"11,302"
"11,150"
"11,138"
"11,111"
"11,087"
"10,983"
"10,894"
"10,887"
"10,878"
"10,871"
"10,871"
"10,782"
"10,775"
"10,714"
"10,655"
"10,638"
"10,638"
"10,611"
"10,576"
"10,562"
"10,529"
"10,522"
"10,344"
"10,195"
"10,160"
"10,131"
"10,115"
"10,049"
"10,035"
"10,000"
"10,000"
"10,000"
"9,884"
"9,759"
"9,730"
"9,712"
"9,697"
"9,534"
"9,526"
"9,502"
"9,445"
"9,405"
"9,349"
"9,314"
"9,310"
"9,001"
"8,889"
"8,855"
"8,788"
"8,729"
"8,664"
"8,597"
"8,526"
"8,487"
"8,444"
"8,426"
"8,391"
"8,257"
"8,151"
"8,096"
"8,058"
"8,016"
"8,001"
"7,955"
"7,884"
"7,867"
"7,860"
"7,824"
"7,810"
"7,774"
"7,749"
"7,719"
"7,700"
"7,664"
"7,631"
"7,624"
"7,554"
"7,531"
"7,492"
"7,422"
"7,387"
"7,339"
"7,221"
"7,217"
"7,155"
"7,108"
"7,092"
"7,085"
"7,066"
"7,042"
"7,033"
"6,990"
"6,896"
"6,858"
"6,844"
"6,824"
"6,791"
"6,678"
"6,666"
"6,665"
"6,622"
"6,621"
"6,617"
"6,607"
"6,590"
"6,555"
"6,510"
"6,487"
"6,487"
"6,465"
"6,438"
"6,410"
"6,386"
"6,343"
"6,306"
"6,259"
"6,253"
"6,230"
"6,229"
"6,211"
"6,194"
"6,138"
"6,091"
"6,056"
"6,030"
"6,026"
"6,000"
"5,936"
"5,874"
"5,798"
"5,796"
"5,795"
"5,731"
"5,716"
"5,713"
"5,699"
"5,688"
"5,683"
"5,668"
"5,627"
"5,624"
"5,605"
"5,561"
"5,558"
"5,543"
"5,528"
"5,435"
"5,422"
"5,388"
"5,367"
"5,330"
"5,306"
"5,258"
"5,226"
"5,212"
"5,197"
"5,142"
"5,103"
"5,099"
"5,092"
"5,088"
"5,077"
"5,073"
"4,998"
"4,957"
"4,952"
"4,951"
"4,916"
"4,903"
"4,896"
"4,887"
"4,841"
"4,830"
"4,829"
"4,801"
"4,792"
"4,788"
"4,763"
"4,741"
"4,733"
"4,719"
"4,665"
"4,647"
"4,636"
"4,632"
"4,587"
"4,587"
"4,579"
"4,577"
"4,571"
"4,541"
"4,535"
"4,515"
"4,484"
