Kills
"119,406"
"113,001"
"72,780"
"59,009"
"55,083"
"52,216"
"43,363"
"40,291"
"39,405"
"37,312"
"37,312"
"37,044"
"36,345"
"35,916"
"35,608"
"35,464"
"35,068"
"33,973"
"33,962"
"33,578"
"33,123"
"31,774"
"30,616"
"30,564"
"30,105"
"29,647"
"28,037"
"27,708"
"27,463"
"26,934"
"26,867"
"26,820"
"26,726"
"25,882"
"25,793"
"25,511"
"25,294"
"25,270"
"24,503"
"24,484"
"24,441"
"24,380"
"24,167"
"23,939"
"23,935"
"23,655"
"23,502"
"22,814"
"22,380"
"22,309"
"22,237"
"22,150"
"21,964"
"21,952"
"21,931"
"21,848"
"21,724"
"21,657"
"21,570"
"20,802"
"20,769"
"20,524"
"20,431"
"20,431"
"20,421"
"20,293"
"20,168"
"20,160"
"20,001"
"19,760"
"19,502"
"19,486"
"19,360"
"19,215"
"19,012"
"18,586"
"18,572"
"17,951"
"17,867"
"17,431"
"17,359"
"17,356"
"16,878"
"16,874"
"16,851"
"16,760"
"16,497"
"16,491"
"16,466"
"16,431"
"16,380"
"16,281"
"16,246"
"16,103"
"16,061"
"16,022"
"15,887"
"15,840"
"15,836"
"15,794"
"15,699"
"15,678"
"15,564"
"15,549"
"15,487"
"15,426"
"15,408"
"15,354"
"15,287"
"15,202"
"15,156"
"15,105"
"15,072"
"15,048"
"15,042"
"14,980"
"14,903"
"14,869"
"14,866"
"14,845"
"14,734"
"14,700"
"14,687"
"14,639"
"14,632"
"14,574"
"14,533"
"14,396"
"14,310"
"14,300"
"14,120"
"14,104"
"14,050"
"14,031"
"13,962"
"13,904"
"13,471"
"13,471"
"13,433"
"13,364"
"13,262"
"13,196"
"13,189"
"13,156"
"13,077"
"13,042"
"13,003"
"12,995"
"12,995"
"12,978"
"12,960"
"12,910"
"12,906"
"12,893"
"12,875"
"12,865"
"12,799"
"12,785"
"12,772"
"12,764"
"12,696"
"12,692"
"12,619"
"12,597"
"12,553"
"12,552"
"12,516"
"12,503"
"12,479"
"12,447"
"12,362"
"12,354"
"12,341"
"12,322"
"12,186"
"12,164"
"12,164"
"12,072"
"12,056"
"12,048"
"12,047"
"11,962"
"11,920"
"11,899"
"11,889"
"11,866"
"11,732"
"11,724"
"11,678"
"11,641"
"11,639"
"11,604"
"11,588"
"11,585"
"11,544"
"11,478"
"11,455"
"11,446"
"11,384"
"11,330"
"11,318"
"11,289"
"11,270"
"11,225"
"11,196"
"11,170"
"11,137"
"11,125"
"11,117"
"11,111"
"11,091"
"11,056"
"11,029"
"11,027"
"10,984"
"10,966"
"10,916"
"10,906"
"10,889"
"10,852"
"10,852"
"10,847"
"10,847"
"10,827"
"10,794"
"10,784"
"10,757"
"10,756"
"10,754"
"10,752"
"10,717"
"10,709"
"10,700"
"10,698"
"10,641"
"10,639"
"10,621"
"10,605"
"10,604"
"10,601"
"10,596"
"10,541"
"10,532"
"10,506"
"10,499"
"10,498"
"10,486"
"10,469"
"10,449"
"10,441"
"10,355"
"10,342"
"10,340"
"10,330"
"10,326"
"10,311"
"10,277"
"10,276"
"10,263"
"10,261"
"10,196"
"10,196"
"10,185"
"10,181"
"10,154"
"10,113"
"10,097"
"10,090"
"10,074"
"10,072"
"10,054"
"10,046"
"10,040"
"10,036"
"10,034"
"10,028"
"10,021"
"10,017"
"10,000"
"9,952"
"9,946"
"9,942"
"9,934"
"9,925"
"9,889"
"9,859"
"9,854"
"9,848"
"9,804"
"9,793"
"9,788"
"9,732"
"9,731"
"9,725"
"9,714"
"9,664"
"9,661"
"9,642"
"9,642"
"9,550"
"9,520"
"9,515"
"9,493"
"9,458"
"9,458"
"9,446"
"9,441"
"9,434"
"9,419"
"9,415"
"9,387"
"9,370"
"9,343"
"9,254"
"9,250"
"9,217"
"9,185"
"9,183"
"9,180"
"9,165"
"9,138"
"9,068"
"9,067"
"9,046"
"9,020"
"9,011"
"8,974"
"8,971"
"8,959"
"8,878"
"8,820"
"8,806"
"8,783"
"8,766"
"8,765"
"8,740"
"8,737"
"8,680"
"8,656"
"8,650"
"8,645"
"8,622"
"8,619"
"8,597"
"8,548"
"8,540"
"8,489"
"8,470"
"8,465"
"8,437"
"8,407"
"8,397"
"8,382"
"8,375"
"8,372"
"8,358"
"8,332"
"8,320"
"8,258"
"8,258"
"8,254"
"8,232"
"8,231"
"8,207"
"8,196"
"8,186"
"8,166"
"8,152"
"8,148"
"8,140"
"8,125"
"8,098"
"8,097"
"8,096"
"8,095"
"8,091"
"8,088"
"8,041"
"8,035"
"8,032"
"8,014"
"8,008"
"7,988"
"7,983"
"7,957"
"7,949"
"7,938"
"7,932"
"7,930"
"7,929"
"7,891"
"7,879"
"7,870"
"7,868"
"7,858"
"7,853"
"7,852"
"7,847"
"7,841"
"7,837"
"7,833"
"7,823"
"7,813"
"7,787"
"7,780"
"7,756"
"7,749"
"7,745"
"7,745"
"7,728"
"7,726"
"7,723"
"7,720"
"7,718"
"7,687"
"7,684"
"7,678"
"7,670"
"7,653"
"7,634"
"7,620"
"7,609"
"7,578"
"7,560"
"7,523"
"7,521"
"7,513"
"7,490"
"7,486"
"7,478"
"7,462"
"7,442"
"7,427"
"7,420"
"7,401"
"7,349"
"7,343"
"7,340"
"7,330"
"7,325"
"7,320"
"7,319"
"7,311"
"7,310"
"7,295"
"7,283"
"7,280"
"7,277"
"7,265"
"7,260"
"7,214"
"7,211"
"7,207"
"7,176"
"7,162"
"7,162"
"7,151"
"7,148"
"7,131"
"7,129"
"7,129"
"7,100"
"7,087"
"7,078"
"7,065"
"7,065"
"7,060"
"6,990"
"6,984"
"6,962"
"6,940"
"6,937"
"6,925"
"6,918"
"6,911"
"6,904"
"6,901"
"6,888"
"6,882"
"6,878"
"6,876"
"6,860"
"6,859"
"6,857"
"6,848"
"6,839"
"6,833"
"6,833"
"6,814"
"6,812"
"6,811"
"6,803"
"6,789"
"6,782"
"6,770"
"6,767"
"6,740"
"6,740"
"6,737"
"6,718"
