Kills
"173,507"
"158,898"
"147,285"
"144,389"
"135,741"
"131,101"
"107,459"
"101,406"
"99,689"
"98,272"
"92,749"
"92,701"
"90,951"
"89,432"
"84,892"
"83,480"
"81,813"
"79,235"
"79,182"
"77,779"
"76,169"
"75,218"
"75,153"
"74,434"
"74,307"
"72,640"
"71,916"
"71,470"
"70,915"
"70,772"
"70,611"
"70,412"
"69,077"
"68,397"
"68,127"
"67,963"
"66,638"
"66,377"
"65,226"
"64,264"
"64,000"
"62,907"
"62,899"
"62,854"
"62,825"
"62,107"
"62,031"
"61,994"
"61,852"
"61,322"
"61,184"
"60,586"
"60,420"
"60,061"
"59,948"
"59,904"
"58,826"
"58,701"
"58,202"
"58,164"
"57,963"
"56,890"
"56,648"
"56,367"
"56,357"
"56,002"
"55,809"
"55,584"
"55,531"
"55,134"
"55,127"
"54,815"
"54,316"
"54,169"
"54,105"
"53,966"
"53,942"
"53,884"
"53,618"
"53,047"
"53,042"
"52,942"
"52,904"
"52,854"
"52,768"
"52,647"
"52,592"
"52,541"
"52,426"
"51,944"
"51,929"
"51,672"
"51,541"
"51,540"
"51,389"
"51,373"
"51,349"
"51,329"
"51,276"
"51,097"
"51,000"
"50,790"
"50,724"
"50,715"
"50,440"
"50,418"
"50,331"
"50,322"
"49,974"
"49,935"
"49,853"
"49,791"
"49,326"
"49,201"
"49,063"
"48,996"
"48,932"
"48,855"
"48,616"
"48,596"
"48,394"
"48,389"
"47,607"
"47,522"
"47,449"
"47,328"
"47,173"
"47,134"
"47,108"
"46,800"
"46,459"
"46,427"
"46,416"
"46,280"
"46,270"
"45,809"
"45,785"
"45,653"
"45,541"
"45,415"
"45,369"
"45,363"
"45,297"
"45,066"
"45,039"
"44,878"
"44,757"
"44,745"
"44,727"
"44,722"
"44,659"
"44,286"
"44,194"
"43,985"
"43,913"
"43,890"
"43,845"
"43,775"
"43,752"
"43,735"
"43,334"
"43,252"
"43,221"
"43,036"
"43,035"
"42,760"
"42,700"
"42,682"
"42,655"
"42,584"
"42,543"
"42,459"
"42,449"
"42,328"
"42,172"
"42,165"
"42,024"
"42,022"
"42,008"
"41,806"
"41,800"
"41,541"
"41,490"
"41,381"
"41,323"
"41,285"
"41,256"
"41,202"
"41,107"
"41,052"
"40,914"
"40,899"
"40,823"
"40,809"
"40,647"
"40,549"
"40,514"
"40,407"
"40,282"
"40,275"
"40,257"
"40,231"
"40,205"
"40,190"
"40,166"
"40,075"
"40,020"
"39,973"
"39,770"
"39,744"
"39,723"
"39,697"
"39,656"
"39,651"
"39,650"
"39,638"
"39,491"
"39,380"
"39,348"
"39,278"
"38,895"
"38,792"
"38,783"
"38,719"
"38,712"
"38,646"
"38,629"
"38,586"
"38,394"
"38,327"
"38,297"
"38,279"
"38,252"
"38,237"
"38,204"
"38,183"
"38,137"
"38,012"
"37,999"
"37,954"
"37,954"
"37,902"
"37,720"
"37,599"
"37,588"
"37,472"
"37,442"
"37,387"
"37,374"
"37,345"
"37,330"
"37,277"
"37,223"
"37,219"
"37,131"
"36,983"
"36,874"
"36,826"
"36,770"
"36,752"
"36,669"
"36,662"
"36,642"
"36,549"
"36,505"
"36,343"
"36,282"
"36,154"
"36,146"
"36,141"
"36,106"
"36,098"
"36,028"
"36,011"
"36,006"
"36,000"
"35,969"
"35,954"
"35,948"
"35,891"
"35,816"
"35,747"
"35,735"
"35,731"
"35,725"
"35,683"
"35,682"
"35,547"
"35,519"
"35,515"
"35,480"
"35,456"
"35,424"
"35,340"
"35,244"
"35,209"
"35,171"
"35,083"
"35,060"
"35,043"
"34,958"
"34,921"
"34,915"
"34,901"
"34,883"
"34,857"
"34,800"
"34,799"
"34,708"
"34,671"
"34,614"
"34,602"
"34,555"
"34,537"
"34,506"
"34,484"
"34,394"
"34,393"
"34,384"
"34,370"
"34,366"
"34,256"
"34,223"
"34,205"
"34,198"
"34,189"
"34,184"
"34,089"
"34,050"
"34,039"
"34,000"
"33,914"
"33,903"
"33,860"
"33,858"
"33,839"
"33,810"
"33,752"
"33,708"
"33,519"
"33,454"
"33,453"
"33,370"
"33,351"
"33,301"
"33,265"
"33,259"
"33,209"
"33,191"
"33,188"
"33,093"
"32,985"
"32,917"
"32,875"
"32,811"
"32,791"
"32,789"
"32,765"
"32,765"
"32,759"
"32,525"
"32,508"
"32,494"
"32,480"
"32,444"
"32,379"
"32,378"
"32,350"
"32,344"
"32,300"
"32,276"
"32,196"
"32,168"
"32,100"
"32,070"
"32,012"
"32,000"
"31,977"
"31,945"
"31,936"
"31,932"
"31,930"
"31,842"
"31,787"
"31,744"
"31,733"
"31,622"
"31,619"
"31,585"
"31,552"
"31,541"
"31,529"
"31,491"
"31,479"
"31,461"
"31,420"
"31,384"
"31,370"
"31,359"
"31,333"
"31,305"
"31,295"
"31,277"
"31,203"
"31,171"
"31,161"
"31,113"
"31,113"
"31,076"
"31,071"
"31,063"
"31,033"
"31,024"
"31,002"
"30,965"
"30,955"
"30,952"
"30,928"
"30,918"
"30,902"
"30,871"
"30,854"
"30,850"
"30,826"
"30,758"
"30,750"
"30,749"
"30,745"
"30,720"
"30,713"
"30,696"
"30,682"
"30,616"
"30,591"
"30,587"
"30,563"
"30,554"
"30,517"
"30,507"
"30,499"
"30,477"
"30,473"
"30,459"
"30,431"
"30,422"
"30,276"
"30,270"
"30,257"
"30,245"
"30,229"
"30,219"
"30,211"
"30,210"
"30,199"
"30,194"
"30,179"
"30,172"
"30,118"
"30,116"
"30,069"
"30,056"
"30,018"
"30,006"
"29,966"
"29,956"
"29,926"
"29,906"
"29,900"
"29,856"
"29,841"
"29,837"
"29,836"
"29,811"
"29,762"
"29,708"
"29,700"
"29,682"
"29,681"
"29,674"
"29,616"
"29,589"
"29,561"
"29,523"
"29,519"
"29,491"
"29,459"
"29,458"
"29,415"
"29,395"
"29,371"
"29,365"
"29,352"
"29,344"
"29,280"
"29,280"
"29,150"
"29,139"
"29,054"
"29,049"
"29,023"
