Kills
"152,398"
"121,953"
"112,294"
"106,526"
"80,486"
"71,301"
"60,299"
"56,168"
"56,145"
"56,065"
"54,999"
"53,757"
"53,382"
"52,835"
"50,266"
"49,947"
"48,082"
"45,516"
"42,008"
"41,804"
"39,244"
"39,028"
"37,707"
"37,263"
"36,640"
"36,631"
"36,389"
"36,159"
"35,869"
"35,766"
"35,501"
"34,936"
"34,800"
"34,653"
"34,036"
"33,874"
"33,788"
"33,761"
"33,244"
"33,157"
"32,775"
"32,343"
"32,165"
"31,712"
"31,131"
"31,001"
"30,926"
"30,841"
"30,795"
"30,636"
"30,391"
"30,385"
"30,183"
"30,042"
"29,860"
"29,290"
"29,254"
"28,849"
"28,719"
"28,677"
"28,415"
"28,379"
"28,141"
"28,012"
"27,992"
"27,942"
"27,860"
"27,656"
"27,583"
"27,574"
"27,527"
"27,278"
"27,164"
"27,158"
"27,033"
"26,922"
"26,807"
"26,783"
"26,562"
"26,547"
"26,292"
"26,021"
"25,852"
"25,565"
"25,552"
"25,529"
"25,368"
"25,335"
"25,194"
"24,999"
"24,829"
"24,814"
"24,807"
"24,438"
"24,322"
"24,233"
"24,003"
"23,956"
"23,905"
"23,898"
"23,709"
"23,646"
"23,631"
"23,279"
"23,264"
"23,203"
"23,194"
"23,047"
"23,029"
"22,971"
"22,928"
"22,747"
"22,719"
"22,654"
"22,628"
"22,388"
"22,288"
"22,276"
"22,225"
"22,191"
"22,109"
"22,068"
"22,023"
"21,942"
"21,887"
"21,726"
"21,725"
"21,701"
"21,688"
"21,451"
"21,335"
"21,272"
"21,261"
"21,171"
"21,099"
"21,059"
"21,039"
"20,969"
"20,907"
"20,828"
"20,764"
"20,750"
"20,722"
"20,644"
"20,628"
"20,529"
"20,487"
"20,472"
"20,443"
"20,415"
"20,379"
"20,357"
"20,331"
"20,311"
"20,295"
"20,051"
"20,036"
"20,005"
"19,958"
"19,932"
"19,884"
"19,869"
"19,766"
"19,744"
"19,741"
"19,729"
"19,658"
"19,598"
"19,442"
"19,375"
"19,366"
"19,347"
"19,316"
"19,314"
"19,286"
"19,284"
"19,173"
"19,156"
"19,145"
"19,087"
"18,912"
"18,875"
"18,857"
"18,757"
"18,629"
"18,559"
"18,546"
"18,483"
"18,474"
"18,459"
"18,424"
"18,389"
"18,325"
"18,325"
"18,312"
"18,280"
"18,229"
"18,228"
"18,151"
"18,063"
"18,058"
"18,048"
"18,040"
"18,013"
"17,982"
"17,879"
"17,849"
"17,811"
"17,774"
"17,768"
"17,760"
"17,701"
"17,684"
"17,678"
"17,637"
"17,588"
"17,542"
"17,535"
"17,501"
"17,480"
"17,477"
"17,452"
"17,430"
"17,395"
"17,378"
"17,316"
"17,262"
"17,248"
"17,247"
"17,188"
"17,162"
"17,103"
"17,066"
"17,058"
"17,046"
"17,009"
"17,008"
"16,997"
"16,994"
"16,982"
"16,975"
"16,945"
"16,925"
"16,897"
"16,860"
"16,788"
"16,770"
"16,727"
"16,636"
"16,635"
"16,599"
"16,597"
"16,597"
"16,588"
"16,572"
"16,562"
"16,553"
"16,504"
"16,490"
"16,486"
"16,401"
"16,382"
"16,342"
"16,340"
"16,311"
"16,309"
"16,272"
"16,236"
"16,218"
"16,209"
"16,169"
"16,158"
"16,137"
"16,134"
"16,132"
"16,127"
"16,110"
"16,088"
"16,043"
"15,858"
"15,849"
"15,828"
"15,812"
"15,773"
"15,763"
"15,737"
"15,727"
"15,720"
"15,712"
"15,702"
"15,702"
"15,691"
"15,664"
"15,645"
"15,643"
"15,616"
"15,611"
"15,548"
"15,531"
"15,519"
"15,514"
"15,504"
"15,478"
"15,473"
"15,411"
"15,367"
"15,364"
"15,346"
"15,335"
"15,333"
"15,312"
"15,305"
"15,292"
"15,280"
"15,276"
"15,276"
"15,242"
"15,189"
"15,186"
"15,099"
"15,080"
"15,079"
"15,079"
"15,055"
"15,050"
"15,034"
"14,981"
"14,978"
"14,974"
"14,943"
"14,943"
"14,936"
"14,933"
"14,908"
"14,875"
"14,858"
"14,856"
"14,827"
"14,809"
"14,777"
"14,763"
"14,756"
"14,740"
"14,719"
"14,712"
"14,696"
"14,676"
"14,673"
"14,632"
"14,626"
"14,615"
"14,599"
"14,595"
"14,573"
"14,565"
"14,562"
"14,542"
"14,522"
"14,511"
"14,446"
"14,444"
"14,412"
"14,381"
"14,364"
"14,363"
"14,355"
"14,354"
"14,354"
"14,285"
"14,266"
"14,264"
"14,263"
"14,244"
"14,226"
"14,217"
"14,210"
"14,203"
"14,200"
"14,199"
"14,196"
"14,174"
"14,172"
"14,169"
"14,163"
"14,158"
"14,106"
"14,090"
"14,077"
"14,068"
"14,043"
"14,028"
"14,011"
"14,004"
"13,970"
"13,963"
"13,954"
"13,887"
"13,851"
"13,834"
"13,818"
"13,805"
"13,796"
"13,771"
"13,764"
"13,762"
"13,747"
"13,747"
"13,745"
"13,744"
"13,729"
"13,704"
"13,702"
"13,702"
"13,690"
"13,677"
"13,668"
"13,665"
"13,651"
"13,640"
"13,636"
"13,610"
"13,605"
"13,592"
"13,588"
"13,566"
"13,530"
"13,529"
"13,504"
"13,501"
"13,490"
"13,441"
"13,438"
"13,434"
"13,434"
"13,419"
"13,408"
"13,387"
"13,386"
"13,335"
"13,326"
"13,317"
"13,311"
"13,308"
"13,301"
"13,299"
"13,296"
"13,291"
"13,269"
"13,261"
"13,235"
"13,235"
"13,219"
"13,217"
"13,214"
"13,213"
"13,208"
"13,179"
"13,165"
"13,150"
"13,144"
"13,141"
"13,119"
"13,110"
"13,091"
"13,069"
"13,040"
"13,039"
"13,033"
"13,025"
"13,021"
"13,010"
"13,004"
"13,004"
"13,002"
"12,963"
"12,959"
"12,923"
"12,904"
"12,903"
"12,894"
"12,882"
"12,882"
"12,860"
"12,853"
"12,851"
"12,839"
"12,834"
"12,820"
"12,782"
"12,778"
"12,763"
"12,730"
"12,729"
"12,723"
"12,722"
"12,714"
"12,698"
"12,695"
"12,678"
"12,658"
