Kills
"125,625"
"84,101"
"57,429"
"57,256"
"55,121"
"52,588"
"50,679"
"50,485"
"50,009"
"42,955"
"41,866"
"35,283"
"34,702"
"33,800"
"33,529"
"31,450"
"31,374"
"31,026"
"30,739"
"30,511"
"29,960"
"29,462"
"29,370"
"29,127"
"27,939"
"26,349"
"26,146"
"26,102"
"26,097"
"25,955"
"25,548"
"25,140"
"24,818"
"24,533"
"24,316"
"24,075"
"24,068"
"24,055"
"23,958"
"23,810"
"23,593"
"23,095"
"22,721"
"22,143"
"22,075"
"21,957"
"21,841"
"21,704"
"21,522"
"21,463"
"21,435"
"21,106"
"20,993"
"20,931"
"20,872"
"20,750"
"20,692"
"20,501"
"20,400"
"20,361"
"20,340"
"20,314"
"20,299"
"20,292"
"20,274"
"19,947"
"19,663"
"19,361"
"19,239"
"19,088"
"18,824"
"18,797"
"18,710"
"18,680"
"18,672"
"18,510"
"18,052"
"17,740"
"17,589"
"17,406"
"17,328"
"17,148"
"17,031"
"16,928"
"16,796"
"16,729"
"16,715"
"16,364"
"16,361"
"16,276"
"16,258"
"16,232"
"15,943"
"15,936"
"15,929"
"15,739"
"15,736"
"15,535"
"15,305"
"15,149"
"15,125"
"15,062"
"15,044"
"14,962"
"14,898"
"14,703"
"14,534"
"14,441"
"14,322"
"14,269"
"14,251"
"14,198"
"14,161"
"14,157"
"14,147"
"14,098"
"14,019"
"14,000"
"13,963"
"13,944"
"13,913"
"13,900"
"13,770"
"13,398"
"13,355"
"13,352"
"13,340"
"13,312"
"13,312"
"13,258"
"13,176"
"13,151"
"13,056"
"13,048"
"13,040"
"12,986"
"12,978"
"12,977"
"12,907"
"12,884"
"12,801"
"12,789"
"12,754"
"12,730"
"12,719"
"12,644"
"12,584"
"12,566"
"12,565"
"12,538"
"12,535"
"12,529"
"12,500"
"12,493"
"12,491"
"12,477"
"12,428"
"12,420"
"12,366"
"12,361"
"12,326"
"12,316"
"12,294"
"12,289"
"12,289"
"12,270"
"12,240"
"12,234"
"12,232"
"12,158"
"12,154"
"12,139"
"12,097"
"12,086"
"12,020"
"11,956"
"11,950"
"11,941"
"11,940"
"11,846"
"11,823"
"11,819"
"11,808"
"11,799"
"11,794"
"11,758"
"11,742"
"11,712"
"11,623"
"11,623"
"11,608"
"11,587"
"11,586"
"11,583"
"11,580"
"11,545"
"11,538"
"11,485"
"11,484"
"11,399"
"11,322"
"11,306"
"11,282"
"11,250"
"11,215"
"11,214"
"11,211"
"11,160"
"11,151"
"11,148"
"11,011"
"10,991"
"10,968"
"10,931"
"10,846"
"10,844"
"10,841"
"10,821"
"10,817"
"10,775"
"10,767"
"10,751"
"10,747"
"10,678"
"10,667"
"10,636"
"10,571"
"10,545"
"10,516"
"10,492"
"10,484"
"10,470"
"10,466"
"10,461"
"10,458"
"10,412"
"10,401"
"10,395"
"10,363"
"10,353"
"10,350"
"10,343"
"10,331"
"10,331"
"10,309"
"10,279"
"10,274"
"10,268"
"10,228"
"10,224"
"10,211"
"10,206"
"10,185"
"10,178"
"10,162"
"10,154"
"10,154"
"10,151"
"10,137"
"10,128"
"10,121"
"10,096"
"10,090"
"10,087"
"10,081"
"10,076"
"10,060"
"10,045"
"10,033"
"10,029"
"9,985"
"9,961"
"9,894"
"9,892"
"9,881"
"9,869"
"9,777"
"9,721"
"9,676"
"9,655"
"9,611"
"9,611"
"9,610"
"9,608"
"9,573"
"9,565"
"9,563"
"9,557"
"9,520"
"9,478"
"9,449"
"9,403"
"9,391"
"9,385"
"9,351"
"9,329"
"9,327"
"9,315"
"9,265"
"9,192"
"9,171"
"9,170"
"9,164"
"9,134"
"9,114"
"9,112"
"9,104"
"9,102"
"9,094"
"9,078"
"9,078"
"9,060"
"9,008"
"9,004"
"8,993"
"8,992"
"8,974"
"8,948"
"8,923"
"8,923"
"8,841"
"8,817"
"8,760"
"8,752"
"8,744"
"8,718"
"8,712"
"8,687"
"8,601"
"8,588"
"8,574"
"8,557"
"8,556"
"8,554"
"8,506"
"8,501"
"8,501"
"8,467"
"8,449"
"8,411"
"8,403"
"8,387"
"8,326"
"8,309"
"8,302"
"8,276"
"8,268"
"8,266"
"8,236"
"8,233"
"8,231"
"8,225"
"8,219"
"8,193"
"8,151"
"8,142"
"8,131"
"8,120"
"8,118"
"8,108"
"8,107"
"8,107"
"8,097"
"8,087"
"8,082"
"8,066"
"8,063"
"8,051"
"8,038"
"8,031"
"8,019"
"8,019"
"8,013"
"7,998"
"7,981"
"7,942"
"7,900"
"7,878"
"7,874"
"7,873"
"7,864"
"7,864"
"7,845"
"7,815"
"7,792"
"7,792"
"7,766"
"7,744"
"7,737"
"7,724"
"7,724"
"7,702"
"7,697"
"7,695"
"7,694"
"7,693"
"7,685"
"7,681"
"7,675"
"7,673"
"7,671"
"7,668"
"7,659"
"7,655"
"7,646"
"7,642"
"7,641"
"7,627"
"7,592"
"7,573"
"7,555"
"7,533"
"7,533"
"7,528"
"7,499"
"7,495"
"7,479"
"7,464"
"7,445"
"7,444"
"7,443"
"7,432"
"7,430"
"7,419"
"7,417"
"7,397"
"7,389"
"7,387"
"7,364"
"7,359"
"7,354"
"7,337"
"7,317"
"7,312"
"7,302"
"7,279"
"7,277"
"7,270"
"7,267"
"7,258"
"7,254"
"7,235"
"7,235"
"7,228"
"7,217"
"7,216"
"7,205"
"7,194"
"7,184"
"7,179"
"7,176"
"7,176"
"7,152"
"7,148"
"7,145"
"7,142"
"7,127"
"7,124"
"7,119"
"7,119"
"7,117"
"7,112"
"7,104"
"7,104"
"7,097"
"7,097"
"7,094"
"7,074"
"7,072"
"7,068"
"7,058"
"7,053"
"7,030"
"7,018"
"7,011"
"7,011"
"7,006"
"6,989"
"6,987"
"6,984"
"6,975"
"6,960"
"6,956"
"6,951"
"6,949"
"6,944"
"6,927"
"6,901"
"6,892"
"6,888"
"6,887"
"6,883"
"6,883"
"6,880"
"6,880"
"6,871"
"6,867"
"6,862"
"6,858"
"6,853"
