Kills
"186,403"
"176,859"
"165,648"
"163,981"
"158,563"
"135,783"
"132,587"
"130,988"
"128,126"
"117,286"
"114,897"
"111,479"
"109,183"
"108,786"
"101,635"
"100,907"
"96,678"
"94,293"
"93,793"
"92,035"
"90,314"
"90,256"
"87,401"
"87,169"
"86,864"
"85,923"
"85,802"
"84,498"
"84,498"
"83,042"
"81,687"
"81,636"
"81,477"
"81,423"
"80,972"
"80,786"
"79,839"
"79,657"
"79,347"
"79,322"
"79,248"
"77,394"
"76,713"
"73,301"
"72,315"
"71,888"
"69,842"
"69,360"
"68,669"
"68,272"
"67,865"
"67,575"
"67,309"
"67,232"
"67,210"
"67,045"
"66,838"
"66,347"
"65,549"
"65,352"
"65,222"
"64,764"
"64,434"
"63,807"
"63,556"
"63,152"
"62,568"
"62,404"
"61,841"
"61,340"
"60,755"
"60,619"
"60,302"
"60,262"
"59,712"
"59,598"
"59,570"
"58,866"
"58,568"
"58,489"
"58,248"
"57,282"
"57,236"
"57,233"
"57,230"
"57,119"
"56,433"
"55,768"
"55,699"
"55,503"
"55,340"
"55,310"
"55,115"
"54,972"
"54,847"
"54,549"
"54,486"
"54,361"
"54,357"
"54,345"
"54,078"
"54,031"
"53,928"
"53,913"
"53,595"
"53,488"
"53,325"
"53,291"
"53,236"
"53,152"
"52,783"
"52,625"
"52,587"
"52,520"
"52,231"
"52,095"
"52,094"
"52,063"
"51,971"
"51,957"
"51,802"
"51,177"
"50,665"
"50,450"
"50,309"
"50,300"
"50,255"
"50,216"
"50,132"
"50,132"
"50,077"
"50,056"
"50,013"
"49,817"
"49,799"
"49,647"
"49,159"
"48,986"
"48,911"
"48,904"
"48,734"
"48,130"
"47,891"
"47,438"
"47,432"
"47,299"
"47,125"
"47,099"
"46,813"
"46,792"
"46,731"
"46,607"
"46,566"
"46,480"
"45,853"
"45,775"
"45,773"
"45,734"
"45,630"
"45,322"
"45,274"
"45,122"
"45,104"
"45,089"
"44,541"
"44,510"
"44,443"
"44,425"
"44,124"
"44,082"
"44,048"
"44,047"
"43,794"
"43,593"
"43,487"
"43,402"
"43,393"
"43,334"
"43,223"
"43,117"
"43,070"
"43,029"
"42,571"
"42,263"
"42,164"
"42,137"
"41,870"
"41,819"
"41,743"
"41,506"
"41,407"
"41,353"
"41,335"
"41,309"
"41,251"
"41,223"
"41,208"
"41,129"
"40,950"
"40,854"
"40,848"
"40,744"
"40,640"
"40,616"
"40,547"
"40,401"
"40,356"
"40,251"
"40,014"
"39,868"
"39,784"
"39,761"
"39,748"
"39,587"
"39,532"
"39,513"
"39,366"
"39,107"
"39,085"
"39,048"
"38,994"
"38,990"
"38,959"
"38,913"
"38,900"
"38,836"
"38,746"
"38,727"
"38,650"
"38,625"
"38,558"
"38,554"
"38,134"
"37,970"
"37,859"
"37,803"
"37,789"
"37,716"
"37,694"
"37,692"
"37,690"
"37,624"
"37,514"
"37,439"
"37,399"
"37,315"
"37,238"
"37,018"
"37,005"
"36,961"
"36,944"
"36,825"
"36,779"
"36,708"
"36,504"
"36,417"
"36,331"
"36,325"
"36,254"
"36,238"
"36,236"
"36,180"
"36,111"
"36,093"
"36,055"
"36,036"
"36,007"
"35,976"
"35,948"
"35,871"
"35,852"
"35,805"
"35,797"
"35,737"
"35,677"
"35,676"
"35,580"
"35,489"
"35,430"
"35,326"
"35,297"
"35,180"
"35,166"
"35,108"
"35,089"
"35,053"
"35,045"
"35,003"
"34,943"
"34,923"
"34,899"
"34,812"
"34,713"
"34,701"
"34,640"
"34,529"
"34,414"
"34,399"
"34,375"
"34,374"
"34,362"
"34,330"
"34,283"
"34,207"
"34,202"
"34,187"
"34,184"
"34,164"
"34,097"
"34,048"
"34,023"
"34,017"
"34,017"
"33,876"
"33,847"
"33,836"
"33,829"
"33,815"
"33,793"
"33,790"
"33,780"
"33,724"
"33,721"
"33,709"
"33,672"
"33,665"
"33,653"
"33,580"
"33,571"
"33,506"
"33,505"
"33,494"
"33,481"
"33,481"
"33,471"
"33,389"
"33,357"
"33,350"
"33,291"
"33,196"
"33,152"
"33,129"
"33,101"
"33,024"
"33,019"
"33,013"
"32,952"
"32,862"
"32,823"
"32,794"
"32,735"
"32,717"
"32,663"
"32,647"
"32,623"
"32,611"
"32,610"
"32,592"
"32,545"
"32,516"
"32,474"
"32,419"
"32,410"
"32,356"
"32,280"
"32,270"
"32,219"
"32,217"
"32,202"
"32,198"
"32,181"
"32,181"
"32,179"
"32,108"
"32,068"
"31,983"
"31,965"
"31,889"
"31,862"
"31,856"
"31,812"
"31,803"
"31,754"
"31,720"
"31,687"
"31,650"
"31,649"
"31,601"
"31,569"
"31,514"
"31,503"
"31,460"
"31,451"
"31,440"
"31,405"
"31,371"
"31,359"
"31,352"
"31,280"
"31,272"
"31,262"
"31,260"
"31,240"
"31,223"
"31,216"
"31,123"
"31,103"
"31,101"
"31,091"
"31,086"
"31,082"
"31,063"
"31,047"
"31,031"
"30,996"
"30,894"
"30,886"
"30,872"
"30,821"
"30,804"
"30,797"
"30,794"
"30,790"
"30,789"
"30,787"
"30,692"
"30,636"
"30,621"
"30,566"
"30,556"
"30,537"
"30,479"
"30,454"
"30,453"
"30,424"
"30,416"
"30,405"
"30,384"
"30,368"
"30,368"
"30,338"
"30,317"
"30,252"
"30,210"
"30,131"
"30,121"
"30,088"
"30,080"
"30,071"
"30,046"
"30,046"
"30,034"
"30,003"
"29,994"
"29,992"
"29,979"
"29,928"
"29,854"
"29,843"
"29,693"
"29,608"
"29,579"
"29,518"
"29,482"
"29,466"
"29,458"
"29,442"
"29,425"
"29,394"
"29,389"
"29,385"
"29,345"
"29,338"
"29,292"
"29,287"
"29,267"
"29,236"
"29,224"
"29,173"
"29,152"
"29,141"
"29,099"
"29,070"
"28,989"
"28,934"
"28,932"
"28,922"
"28,922"
"28,882"
"28,866"
"28,848"
"28,823"
"28,802"
"28,784"
"28,769"
"28,717"
"28,693"
"28,672"
"28,670"
"28,666"
