player_name,career_kills,career_wins,career_revives
MaddBrooo,371099,21010,29752
AmaneeMisa,352185,0,0
xoKaiz,336733,12109,16433
Po The Dragon Warrior,277362,17064,0
Akes,0,0,0
HappieVIII,272000,11058,18389
imVashy,226681,12725,25544
Star-WayZ-,221532,0,0
TtvTitanStar01___,217213,12768,30608
zaeezyy,213352,0,0
RezMeNoVa,211035,14119,51969
Splugz,206650,11179,18683
TTV-Bear22345,204451,5444,15709
MoonPakuTV,203387,7712,0
Gribzu,199114,10995,20603
Firefray,194332,0,0
fearzypoo,193784,0,0
king__ksa501_,192113,11464,0
JoeyyHydroTV,189569,12973,29240
ExB_Artillery,187766,0,0
viicro,185881,15219,17980
GomiaimPanda,183293,14754,0
Kashinzu,182857,9298,16465
Overstays,182506,0,0
Swytchers-,181598,10224,18903
ProblemLifts,178172,10809,0
ttv-flacoscott,177302,10426,0
cziggyy,176505,0,0
Dvixo-,176475,11535,0
CLUMSYBOMB072,175539,6942,10063
Benny,0,0,0
MonstarFlies,173633,0,0
HY_0316,173485,0,0
xrAkiirax--,172754,10094,22998
lYORia_,172293,0,0
DemoniioTV | Twitch,171901,8630,15950
zCafinity,171308,12752,0
AzayBae,169918,9176,32271
6AINZZ,172414,7647,15045
ShimaRin_Ni,168425,11987,18278
MayBabyMarcusTV,167386,11822,36947
NefanSWT,167146,11158,0
luispereira155,166820,7674,13994
Dabs_are_better,165954,10584,20926
pgKevn,164114,0,0
Gigshot | YouTube,163286,0,0
yMaico_L,162689,11246,34922
xkefkaVI,162096,8261,17655
Fusionly,161852,9012,0
Memphii_KickTV,161530,13594,18270
GetGoodSweetie,161139,10289,24661
Mr_LuckyStar,161094,10007,13987
CrustyToesTv,159409,0,0
RmLyz,159261,8373,0
ForeverShredded8,158003,0,0
bLaiiSe_go_brrr,157226,11672,0
DoctahDrayTV,155303,11195,20241
nV_TargetTTV,154743,9375,21351
sliar_Twitch,153509,9381,0
GaIveston,153182,0,0
MrParkster,152929,0,0
JTolerance,152363,7877,12734
taylor_geiseman2,152223,0,0
LpS_SETHUNA,151528,0,0
EternalDoomX,151482,12104,20740
NeNoReGaL,153909,7968,14219
