player_name,BR Damage_Alter,BR Damage_Ash,BR Damage_Ballistic,BR Damage_Bangalore,BR Damage_Bloodhound,BR Damage_Catalyst,BR Damage_Caustic,BR Damage_Conduit,BR Damage_Crypto,BR Damage_Fuse,BR Damage_Gibraltar,BR Damage_Horizon,BR Damage_Lifeline,BR Damage_Loba,BR Damage_Mad Maggie,BR Damage_Mirage,BR Damage_Newcastle,BR Damage_Octane,BR Damage_Pathfinder,BR Damage_Rampart,BR Damage_Revenant,BR Damage_Seer,BR Damage_Valkyrie,BR Damage_Vantage,BR Damage_Wattson,BR Damage_Wraith,BR Kills_Alter,BR Kills_Ash,BR Kills_Ballistic,BR Kills_Bangalore,BR Kills_Bloodhound,BR Kills_Catalyst,BR Kills_Caustic,BR Kills_Conduit,BR Kills_Crypto,BR Kills_Fuse,BR Kills_Gibraltar,BR Kills_Horizon,BR Kills_Lifeline,BR Kills_Loba,BR Kills_Mad Maggie,BR Kills_Mirage,BR Kills_Newcastle,BR Kills_Octane,BR Kills_Pathfinder,BR Kills_Rampart,BR Kills_Revenant,BR Kills_Seer,BR Kills_Valkyrie,BR Kills_Vantage,BR Kills_Wattson,BR Kills_Wraith,BR Wins_Alter,BR Wins_Ash,BR Wins_Ballistic,BR Wins_Bangalore,BR Wins_Bloodhound,BR Wins_Catalyst,BR Wins_Caustic,BR Wins_Conduit,BR Wins_Crypto,BR Wins_Fuse,BR Wins_Gibraltar,BR Wins_Horizon,BR Wins_Lifeline,BR Wins_Loba,BR Wins_Mad Maggie,BR Wins_Mirage,BR Wins_Newcastle,BR Wins_Octane,BR Wins_Pathfinder,BR Wins_Rampart,BR Wins_Revenant,BR Wins_Seer,BR Wins_Valkyrie,BR Wins_Vantage,BR Wins_Wattson,BR Wins_Wraith
0Juan23,0.0,0.0,0.0,93532.0,0.0,0.0,0.0,0.0,0.0,0.0,2095914.0,0.0,0.0,1791185.0,0.0,0.0,0.0,3340400.0,0.0,0.0,0.0,0.0,1951753.0,0.0,0.0,92362.0,0.0,14.0,0.0,482.0,4538.0,0.0,1151.0,3235.0,0.0,90.0,8361.0,4063.0,361.0,7938.0,77.0,720.0,418.0,16596.0,35627.0,1168.0,2879.0,368.0,7211.0,183.0,0.0,375.0,0.0,0.0,0.0,28.0,0.0,0.0,84.0,0.0,0.0,12.0,781.0,550.0,0.0,765.0,0.0,73.0,0.0,1346.0,2335.0,0.0,217.0,0.0,676.0,0.0,0.0,31.0
0Skill but im kind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533178.0,0.0,124033.0,0.0,0.0,0.0,0.0,3632797.0,0.0,0.0,416489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4287.0,2034.0,0.0,1446.0,452.0,0.0,0.0,3063.0,5582.0,7408.0,378.0,0.0,1126.0,0.0,2069.0,14482.0,0.0,1194.0,1159.0,1576.0,0.0,1134.0,4632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
114114114114114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.0,0.0,1638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
6AINZZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650547.0,0.0,8184527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3229.0,0.0,0.0,0.0,0.0,0.0,0.0,4174.0,0.0,0.0,0.0,0.0,6272.0,0.0,41257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@Doctoena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@crewsn,0.0,1748648.0,0.0,387793.0,2915184.0,0.0,0.0,0.0,0.0,0.0,0.0,3342141.0,0.0,0.0,0.0,0.0,0.0,0.0,7308936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5582.0,0.0,1095.0,8282.0,0.0,0.0,0.0,0.0,0.0,0.0,10854.0,0.0,52.0,0.0,0.0,0.0,0.0,26154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@vit-fps (youtube),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7019515.0,0.0,0.0,0.0,4335.0,927.0,0.0,0.0,0.0,1012.0,0.0,809.0,7952.0,1677.0,195.0,209.0,0.0,0.0,828.0,17030.0,0.0,552.0,4.0,2367.0,0.0,0.0,21509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0
A Dirty Dragon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489117.0,0.0,109376.0,0.0,0.0,0.0,0.0,0.0,0.0,4931.0,2847.0,0.0,2633.0,0.0,1555.0,426.0,995.0,1100.0,0.0,2990.0,0.0,2154.0,0.0,8580.0,8804.0,703.0,2154.0,9.0,896.0,0.0,2124.0,16672.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,42.0,71.0,88.0,0.0,208.0,0.0,164.0,0.0,0.0,575.0,39.0,174.0,0.0,76.0,0.0,147.0,0.0
A POLO G,0.0,0.0,0.0,26936426.0,0.0,0.0,0.0,0.0,0.0,0.0,412344.0,961274.0,880574.0,0.0,0.0,81129.0,0.0,0.0,0.0,3677.0,90317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104541.0,1155.0,0.0,0.0,0.0,0.0,8.0,1430.0,3723.0,3431.0,0.0,0.0,278.0,0.0,0.0,3204.0,18.0,365.0,0.0,0.0,0.0,0.0,3361.0,0.0,0.0,0.0,8459.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,194.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
A12120NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5099.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
