player_name,career_kills,career_wins,career_revives
凪茄,384461,0,17523
MaddBrooo,379276,21007,28765
AmaneeMisa,357870,0,0
xoKaiz YT,344453,12049,16916
Upthrow,286883,19839,61443
Swole Kirby,281478,17214,0
F.O.E,277390,23953,0
HappieVIII,276305,0,0
Unknown name :(,269662,16175,0
Forget Dat,262783,0,0
RevengefulYT,238284,0,0
imVashy,233769,12693,27155
LG_ShivFPS,228793,9221,13413
TitanStar01,228119,13217,32135
Caboose_HCS_TTV,224831,8488,0
iMarshTV,222535,15524,19503
Star-WayZ-,222502,0,0
Splugzy Wugzy,213267,11287,18892
TTV-Bear22345,207071,0,15709
MoonPakuTV,204860,0,0
fearzypoo,204715,0,0
BarusFPS,203132,10357,17159
Shwinyy,202705,0,0
Aces Kunai,200970,10719,16307
BirnoOCE,203308,13661,18635
L-HerzBrennt,197586,10025,16291
viicro,192056,15506,17980
JoeyyHydroTV,191686,13000,29297
Neo lll,189835,14550,15469
DemoniioTV | Twitch,187450,9184,16716
RollerPlayersEatBananasW2Hands,186860,0,0
@UhBismol,185857,0,0
Wise vitality,186454,13416,18325
아이스크림,184610,0,0
ItsBiggerInPerson-FB,184206,4772,9569
REALJump24k,183768,0,0
CLUMSYBOMB072,183647,7012,10132
ttv-flacoscott,183283,10856,0
Kashinzu,182857,9298,16465
Behnny-,181806,10790,16640
foryxan,179248,8484,13704
Lykors,179029,10714,14373
LG Giggle,178153,14038,23530
6AINZZ,177088,7684,15066
Chet Ubetcha,176387,13560,17352
zCafinity,176681,12975,0
DE5H,175856,9848,0
@SethVNGZ | youtube,175446,0,0
iGRILLurCHEESE,174859,15240,0
MonstarFlies,173633,0,0
HY_0316,174514,0,0
xkefkaVI,172320,9057,18054
951,170545,10291,17142
Frame,173471,0,0
lNessieWattsonl,169677,7672,13585
ShimaRin_Ni,168425,11987,18610
Guttadactyl,167901,11994,0
ListeKoerper39,167278,0,0
Dabs_are_better,166125,10591,20959
Gigshot | YouTube,169327,0,0
Mr_LuckyStar,164199,10197,13797
@Frailtey,162136,8013,12290
GetGoodSweetie,162642,10392,0
永恒的苍穹,160408,10679,22400
CrustyToesTv,159409,0,0
1434552,159377,9174,13316
RmLyz,159279,8285,0
DoryuuZ,158605,0,0
GOD_SIN_MASTER,158077,0,0
LpS_SETHUNA,157420,0,0
ForeverShredded8,157209,0,0
NIRUi7,156250,0,0
Muertei,155041,11664,0
Dranzer,154559,0,0
Houndsolo_worker,154116,9039,18601
General Horaizon,154049,17680,13041
JTolerance,153858,7877,12734
sliar_Twitch,153604,9381,0
Tr1ggern,152865,0,0
SlumpGodLLJ,152518,8088,26034
gavomk,151665,6306,19643
GG_Astro_o,149940,10415,16090
vUniqueTV,149741,5450,12982
AbyssionHanmaTTV,149307,10628,0
Mangohabanero__,149210,11061,0
Blinpr,149133,9304,28444
FLCN ImperialHal,148348,8424,12412
Ich bin eine Katze,148203,0,0
ApexLegends,148136,8736,11930
iScxrTTV,147842,0,0
CayThueBuaSoApex,147453,3753,17422
Vanitas,146857,0,0
CocaColx-,146746,7945,0
Iinsova,146626,0,0
HufflePuffTV,146995,7078,26833
vKvaq,146396,11146,0
nono_chan_,145479,0,0
H0LL1EBabyy,145074,8928,0
Herii_TTV,143338,3399,0
QueenNiccTV,143271,9485,18046
Wishful Leland,142835,0,0
@blushy washed eboy,142620,0,0
ImZaggs,145371,0,0
Mistress Nuin,141958,8109,18776
TSM Yaba,141867,11496,0
刺激战场手指舞,141742,9905,11577
Denxiety,141573,9832,20172
uhhtari,141388,0,12243
AlwysGucci,142237,13729,13923
zMuulaa,140712,0,0
OLIMPO artiNN1,140355,7686,10085
lPixelated,140176,0,0
iRohz,140174,0,0
TermK47,140123,4075,25039
GrumpySquirrelTV,139883,7053,14453
Apertures,139863,0,0
Blessed,140708,12112,0
jpeg89,139068,10505,0
Morris1337x,139037,0,0
mills6167,139270,9510,0
U5man,138574,0,0
CheekyClassic,137829,0,0
SoggieWaffl3s_FB,137420,14647,29782
Aurelius77777,137279,10540,17194
STiM4THEWiN,138160,10183,0
SolidDoxis,141309,10786,0
ViRuSss...,136864,12001,19866
vKrisse,139728,0,0
AIIiance_effect,136289,8035,12716
Alezura,135704,6331,0
Cyree16,135142,10727,13693
ZacharySnarf,135112,16106,26605
E36 Aimbot,134894,0,0
silvertungeDK,135042,0,0
JustYakuza,134701,0,0
Bloodwars2003,133809,8344,27454
Staffi,134537,10416,14813
yuu,133573,9567,13032
kakkagandalf,133736,0,0
daREALomo,133449,8241,0
Billy Butcher,132714,0,0
PacParker,132633,0,0
I Eat Pie 21,135369,0,0
Nakamura Kazuha,132925,6861,11487
HonoredFlyr,134431,0,0
HoagieBro,135668,8397,19324
carter,131598,9118,11281
iiTz Slimm,136952,8352,0
