player_name,career_kills,career_wins,career_revives
MaddBrooo,379649,21010,30026
AmaneeMisa,357870,0,0
xoKaiz,351847,12109,16917
HappieVIII,282247,11058,18389
Swole Kirby,281412,17064,0
Aches&Pains,273258,23949,0
RevengefulYT,238458,0,19928
imVashy,234079,12725,25544
TitanStar01,228665,13233,32318
Star-WayZ-,222504,0,0
RezMeNoVa,214353,14119,53768
zaeezyy,213352,0,0
Splugzy Wugzy,213459,11229,18795
TTV-Bear22345,207112,5444,15709
fearzypoo,204907,0,0
MoonPakuTV,204860,7712,0
GomiaimPanda,200826,16064,25246
Not InvisibIe,199933,0,0
Gribzu,203954,10995,20603
Yuyu_Xe_Noah,196553,0,0
ExB_Artillery,192487,0,0
Swytchers-,192417,10716,19513
king__ksa501_,192113,11464,0
JoeyyHydroTV,191775,13067,29648
viicro,193514,15604,17980
DemoniioTV | Twitch,186476,9153,16642
AzayBae,186122,9720,33048
CLUMSYBOMB072,183647,6942,10063
ttv-flacoscott,183487,10866,0
Kashinzu,182857,9298,16465
Overstays,182506,0,0
Dvixo-,178429,11585,0
ProblemLifts,178172,10809,0
lYORia_,177314,0,0
cziggyy,176505,0,0
zCafinity,176723,12975,0
Behnny-,181806,10790,16953
MayBabyMarcusTV,174932,12263,39756
HY_0316,174620,0,0
MonstarFlies,173633,0,0
xkefkaVI,173535,9061,18163
Damonbieber a cuttie,173419,10094,22998
6AINZZ,177250,7647,15045
ShimaRin_Ni,168425,11987,18278
NefanSWT,167146,11158,0
lNessieWattsonl,166820,7674,13994
Dabs_are_better,165954,10584,20926
Fusionly,166391,9012,0
pgKevn,164114,0,0
Gigshot,163286,0,0
CrustyToesTv,164256,9656,17578
maico__maico_,162689,11246,34922
GetGoodSweetie,162660,10393,24661
Memphii_KickTV,161530,13594,18270
Mr_LuckyStar,161094,10007,13987
RmLyz,160147,8373,0
NeNoReGaL,159636,7968,14219
ForeverShredded8,158003,0,0
GOD_SIN_MASTER,158112,0,0
LpS_SETHUNA,157420,0,0
bLaiiSe_go_brrr,157226,11672,0
GaIveston,155384,0,0
DoctahDrayTV,155303,11195,20241
nV_TargetTTV,154743,9375,21351
JTolerance,154197,7877,12734
sliar_Twitch,153509,9381,0
