player_name,career_kills,career_wins,career_revives
xoKaiz,351847,12109,16901
Upthrow,287983,19846,61712
Tollis,269662,16175,0
Forget Dat,263062,0,0
iMarshTV,235493,16196,19687
imVashy,234136,12725,25491
Bowlesy89,213721,14531,23696
Go cry mutt,212436,12155,19627
SpunFIower,218786,16705,28795
Shwinyy,202705,0,0
Aces Kunai,201927,10579,16149
Not InvisibIe,199933,14083,0
Wolvezxy,196155,17787,53805
HappyKitten2251,192860,0,0
Halaven,190779,13399,19857
Neo lll,189835,14550,0
Tyson,188950,18794,24178
Blizzes,188669,9940,18015
iShardTV,186775,13505,25997
Wise vitality,186454,13416,18325
LG Giggle,182360,14321,24417
Chet Ubetcha,179005,13565,17354
NRK Cosmic,175374,0,28758
iGRILLurCHEESE,174859,15240,0
oopsxxxxxxsorry,170398,9905,27690
Risperdal,168692,13608,21732
Frame,168688,14503,0
ShimaRin_Ni,168425,11987,0
ListeKoerper39,167571,0,0
Guttadactyl,167298,12023,0
Muertei,166759,12227,0
N7IK,164853,11098,18257
Frailtey,162611,8047,12371
Gigshot | YouTube,159400,0,0
Wishful Leland,158426,0,0
xMetroo,155906,0,17046
NeNoReGaL,159715,8161,14741
xl SleepyBoi,175555,0,0
Sinful Sweat,150904,0,0
Boubou971TTV,152148,0,0
Unrezzable,149517,0,0
Nicotiate,148225,13236,20707
Iinsova,146865,9576,0
Cleanershrimp,146656,11898,16087
lPixelated,144901,0,0
SSJ Silence,144614,8017,0
ImZaggs,145502,0,0
Denxiety,142727,9917,20518
i47bones,142672,7794,0
TSM Yaba,141881,11496,17446
TermK47,141169,4111,25389
GoochTheGuy Twitch,142404,13738,13630
Inosian,140317,8848,12731
O Valour O,139348,0,32023
MUVMENT-,139094,0,0
Rougzy,138746,0,0
Moonlightbandit,138333,7177,18680
Aurelius77777,137279,10477,0
iiTz Slimm,137337,8381,0
HoagieBro,135910,8431,19193
RubberJoshiiiee,135321,7403,22331
The MaddGhost,135155,9334,15333
ZacharySnarf,135112,16106,26605
HonoredFlyr,134457,0,0
Rutt Yanii,133864,9126,18818
DieMaSePoes,133591,0,0
Billy Butcher,132714,7904,0
PacParker,132633,10372,17178
I Eat Pie 21,135576,0,0
D1dYouBl1nk,132499,0,0
Resrect,132190,7461,15037
Divine Yuuko,131822,7820,0
carter,131148,9079,11234
zZ Supernatural,131124,9673,11622
BE LIKE STAR,130608,7291,17369
