player_name,legend,BR Kills,BR Damage,BR Wins
MaddBrooo,Revenant,140,0,0
MaddBrooo,Crypto,21,0,0
MaddBrooo,Horizon,1682,424562,0
MaddBrooo,Gibraltar,500,122994,0
MaddBrooo,Wattson,69,19645,0
MaddBrooo,Fuse,60,0,0
MaddBrooo,Bangalore,1946,504858,0
MaddBrooo,Wraith,556,140387,0
MaddBrooo,Octane,352,0,0
MaddBrooo,Bloodhound,287,0,0
MaddBrooo,Caustic,255,0,0
MaddBrooo,Lifeline,1290,297304,0
MaddBrooo,Pathfinder,363528,78030115,20719
MaddBrooo,Loba,244,0,0
MaddBrooo,Mirage,859,0,0
MaddBrooo,Rampart,77,0,0
MaddBrooo,Valkyrie,146,38324,0
MaddBrooo,Seer,8,0,0
MaddBrooo,Ash,0,0,0
MaddBrooo,Mad Maggie,0,93,0
MaddBrooo,Newcastle,132,0,0
MaddBrooo,Vantage,157,0,0
MaddBrooo,Catalyst,0,0,0
MaddBrooo,Ballistic,0,0,0
MaddBrooo,Conduit,0,0,0
MaddBrooo,Alter,0,0,0
AmaneeMisa,Revenant,391,91127,0
AmaneeMisa,Crypto,0,0,0
AmaneeMisa,Horizon,10128,1057173,0
AmaneeMisa,Gibraltar,1184,0,0
AmaneeMisa,Wattson,2134,440037,0
AmaneeMisa,Fuse,103,0,0
AmaneeMisa,Bangalore,1901,423977,0
AmaneeMisa,Wraith,109489,24623782,0
AmaneeMisa,Octane,1055,235130,0
AmaneeMisa,Bloodhound,681,0,0
AmaneeMisa,Caustic,0,0,0
AmaneeMisa,Lifeline,132796,29249062,3049
AmaneeMisa,Pathfinder,6117,1258468,0
AmaneeMisa,Loba,25113,5427295,0
AmaneeMisa,Mirage,668,143108,0
AmaneeMisa,Rampart,275,0,0
AmaneeMisa,Valkyrie,28930,6342048,0
AmaneeMisa,Seer,0,0,0
AmaneeMisa,Ash,0,0,0
AmaneeMisa,Mad Maggie,5,0,0
AmaneeMisa,Newcastle,18,0,0
AmaneeMisa,Vantage,124,0,0
AmaneeMisa,Catalyst,299,0,0
AmaneeMisa,Ballistic,0,0,0
AmaneeMisa,Conduit,21936,0,0
AmaneeMisa,Alter,0,0,0
xoKaiz,Revenant,88,18184,0
xoKaiz,Crypto,0,0,0
xoKaiz,Horizon,339994,67510470,12051
xoKaiz,Gibraltar,168,53666,0
xoKaiz,Wattson,91,24084,1
xoKaiz,Fuse,120,0,0
xoKaiz,Bangalore,2641,719486,116
xoKaiz,Wraith,2424,667786,93
xoKaiz,Octane,1232,313438,46
xoKaiz,Bloodhound,202,0,0
xoKaiz,Caustic,111,0,0
xoKaiz,Lifeline,861,0,0
xoKaiz,Pathfinder,158,0,0
xoKaiz,Loba,585,0,0
xoKaiz,Mirage,132,0,2
xoKaiz,Rampart,103,0,0
xoKaiz,Valkyrie,294,0,0
xoKaiz,Seer,354,0,0
xoKaiz,Ash,55,0,0
xoKaiz,Mad Maggie,67,0,0
xoKaiz,Newcastle,2,0,0
xoKaiz,Vantage,40,0,0
xoKaiz,Catalyst,59,0,0
xoKaiz,Ballistic,85,0,0
xoKaiz,Conduit,43,0,0
xoKaiz,Alter,0,0,0
HappieVIII,Revenant,873,58285,0
HappieVIII,Crypto,82,0,0
HappieVIII,Horizon,235985,51520613,10000
HappieVIII,Gibraltar,1318,0,0
HappieVIII,Wattson,98,0,0
HappieVIII,Fuse,24,0,0
HappieVIII,Bangalore,1230,0,0
HappieVIII,Wraith,16176,0,0
HappieVIII,Octane,2807,0,0
HappieVIII,Bloodhound,1366,0,0
HappieVIII,Caustic,189,0,0
HappieVIII,Lifeline,720,0,0
HappieVIII,Pathfinder,5588,977129,198
HappieVIII,Loba,1142,56573,10
HappieVIII,Mirage,125,0,0
HappieVIII,Rampart,0,0,0
HappieVIII,Valkyrie,2094,0,0
HappieVIII,Seer,0,0,0
HappieVIII,Ash,0,0,0
HappieVIII,Mad Maggie,22,0,0
HappieVIII,Newcastle,67,0,0
HappieVIII,Vantage,0,0,0
HappieVIII,Catalyst,190,0,0
HappieVIII,Ballistic,0,0,0
HappieVIII,Conduit,20,4737,0
HappieVIII,Alter,0,0,0
Swole Kirby,Revenant,1918,0,0
Swole Kirby,Crypto,1616,0,0
Swole Kirby,Horizon,2921,0,0
Swole Kirby,Gibraltar,708,0,0
Swole Kirby,Wattson,0,0,0
Swole Kirby,Fuse,309,0,0
