player_name,legend,legend_category,BR Kills,BR Damage,BR Wins
#Passion,Pathfinder,Skirmisher,100158.0,25689910.0,5820.0
#Passion,Loba,Support,10182.0,3105279.0,623.0
#Passion,Wraith,Skirmisher,7560.0,2550298.0,532.0
#Passion,Alter,Skirmisher,7162.0,1894672.0,427.0
#Passion,Bloodhound,Recon,5217.0,1749868.0,361.0
#Passion,Revenant,Skirmisher,3060.0,962997.0,149.0
#Passion,Valkyrie,Skirmisher,2126.0,741028.0,141.0
#Passion,Crypto,Recon,1728.0,589171.0,156.0
#Passion,Horizon,Skirmisher,1270.0,460192.0,80.0
#Passion,Bangalore,Assault,1263.0,413169.0,70.0
#Passion,Ash,Assault,566.0,155596.0,19.0
#Passion,Lifeline,Support,520.0,277595.0,36.0
#Passion,Caustic,Controller,400.0,121646.0,27.0
#Passion,Octane,Skirmisher,375.0,109260.0,21.0
#Passion,Seer,Recon,326.0,99694.0,5.0
#Passion,Fuse,Assault,283.0,67603.0,13.0
#Passion,Wattson,Controller,255.0,78518.0,0.0
#Passion,Rampart,Controller,184.0,55849.0,0.0
*foams mouth* GRRRRR *snarl*,Wraith,Skirmisher,45045.0,10323320.0,1597.0
*foams mouth* GRRRRR *snarl*,Horizon,Skirmisher,14302.0,3773340.0,614.0
*foams mouth* GRRRRR *snarl*,Conduit,Support,12088.0,3093967.0,718.0
*foams mouth* GRRRRR *snarl*,Wattson,Controller,5262.0,1432093.0,315.0
*foams mouth* GRRRRR *snarl*,Catalyst,Controller,4728.0,1302084.0,284.0
*foams mouth* GRRRRR *snarl*,Bloodhound,Recon,2878.0,727174.0,134.0
*foams mouth* GRRRRR *snarl*,Bangalore,Assault,2047.0,535152.0,109.0
*foams mouth* GRRRRR *snarl*,Octane,Skirmisher,2042.0,648145.0,125.0
*foams mouth* GRRRRR *snarl*,Revenant,Skirmisher,1976.0,632076.0,121.0
*foams mouth* GRRRRR *snarl*,Ash,Assault,1479.0,373066.0,72.0
*foams mouth* GRRRRR *snarl*,Lifeline,Support,1426.0,393633.0,65.0
*foams mouth* GRRRRR *snarl*,Loba,Support,1362.0,322287.0,94.0
*foams mouth* GRRRRR *snarl*,Valkyrie,Skirmisher,1202.0,314375.0,64.0
*foams mouth* GRRRRR *snarl*,Pathfinder,Skirmisher,1138.0,310838.0,36.0
*foams mouth* GRRRRR *snarl*,Mad Maggie,Assault,429.0,255440.0,30.0
*foams mouth* GRRRRR *snarl*,Rampart,Controller,96.0,174367.0,11.0
114114114114114,Pathfinder,Skirmisher,2554.0,772797.0,155.0
114114114114114,Revenant,Skirmisher,1638.0,511884.0,55.0
6AINZZ,Mad Maggie,Assault,45595.0,11510635.0,2732.0
6AINZZ,Lifeline,Support,6272.0,1650547.0,419.0
6AINZZ,Conduit,Support,4174.0,1167206.0,251.0
6AINZZ,Alter,Skirmisher,3229.0,937134.0,195.0
