player_name,legend,legend_category,BR Kills,BR Damage,BR Wins
0Juan23,Pathfinder,Skirmisher,35627.0,9148484.0,2335.0
0Juan23,Octane,Skirmisher,16596.0,3340400.0,1346.0
0Juan23,Gibraltar,Support,8361.0,2095914.0,781.0
0Juan23,Loba,Support,7938.0,1791185.0,765.0
0Juan23,Valkyrie,Skirmisher,7211.0,1951753.0,676.0
0Juan23,Bloodhound,Recon,4538.0,1300187.0,277.0
0Juan23,Horizon,Skirmisher,4063.0,1288383.0,552.0
0Juan23,Conduit,Support,3235.0,973110.0,196.0
0Juan23,Revenant,Skirmisher,2879.0,898819.0,217.0
0Juan23,Rampart,Controller,1168.0,454254.0,68.0
0Juan23,Caustic,Controller,1151.0,456008.0,84.0
0Juan23,Mirage,Support,720.0,353395.0,73.0
0Juan23,Bangalore,Assault,482.0,93532.0,28.0
0Juan23,Newcastle,Support,418.0,265990.0,21.0
0Juan23,Wraith,Skirmisher,375.0,92362.0,31.0
0Juan23,Seer,Recon,368.0,253439.0,18.0
0Juan23,Lifeline,Support,361.0,251682.0,18.0
0Juan23,Vantage,Recon,183.0,207000.0,7.0
0Juan23,Fuse,Assault,90.0,187534.0,12.0
0Juan23,Mad Maggie,Assault,77.0,180392.0,0.0
0Juan23,Ash,Assault,14.0,164578.0,0.0
0Skill but im kind,Pathfinder,Skirmisher,14482.0,3632797.0,895.0
0Skill but im kind,Lifeline,Support,7408.0,1977939.0,335.0
0Skill but im kind,Horizon,Skirmisher,5582.0,1533178.0,342.0
0Skill but im kind,Wraith,Skirmisher,4632.0,1323783.0,283.0
0Skill but im kind,Bangalore,Assault,4352.0,1253498.0,266.0
0Skill but im kind,Gibraltar,Support,3063.0,929935.0,186.0
0Skill but im kind,Octane,Skirmisher,2069.0,680422.0,124.0
0Skill but im kind,Bloodhound,Recon,2034.0,671636.0,122.0
0Skill but im kind,Valkyrie,Skirmisher,1576.0,556670.0,93.0
0Skill but im kind,Caustic,Controller,1446.0,524037.0,85.0
0Skill but im kind,Revenant,Skirmisher,1194.0,460780.0,70.0
0Skill but im kind,Seer,Recon,1159.0,416489.0,70.0
0Skill but im kind,Wattson,Controller,1134.0,445719.0,66.0
0Skill but im kind,Mirage,Support,1126.0,443711.0,65.0
0Skill but im kind,Conduit,Support,452.0,274524.0,23.0
0Skill but im kind,Loba,Support,378.0,124033.0,12.0
@vit-fps (youtube),Wraith,Skirmisher,21509.0,7019515.0,735.0
@vit-fps (youtube),Pathfinder,Skirmisher,17030.0,4239581.0,498.0
@vit-fps (youtube),Horizon,Skirmisher,7952.0,2157166.0,490.0
@vit-fps (youtube),Bangalore,Assault,4335.0,1249230.0,265.0
@vit-fps (youtube),Valkyrie,Skirmisher,2367.0,755225.0,143.0
@vit-fps (youtube),Lifeline,Support,1677.0,562118.0,100.0
@vit-fps (youtube),Crypto,Recon,1012.0,415095.0,58.0
@vit-fps (youtube),Bloodhound,Recon,927.0,393758.0,53.0
@vit-fps (youtube),Octane,Skirmisher,828.0,368907.0,47.0
@vit-fps (youtube),Gibraltar,Support,809.0,364138.0,46.0
@vit-fps (youtube),Revenant,Skirmisher,552.0,299626.0,30.0
@vit-fps (youtube),Mad Maggie,Assault,209.0,213527.0,8.0
@vit-fps (youtube),Loba,Support,195.0,210012.0,8.0
@vit-fps (youtube),Seer,Recon,4.0,162068.0,0.0
A Dirty Dragon,Wraith,Skirmisher,16672.0,4346050.0,1031.0
A Dirty Dragon,Pathfinder,Skirmisher,8804.0,2382502.0,575.0
A Dirty Dragon,Octane,Skirmisher,8580.0,2314805.0,529.0
A Dirty Dragon,Bangalore,Assault,4931.0,1398838.0,302.0
A Dirty Dragon,Loba,Support,2990.0,921065.0,208.0
A Dirty Dragon,Bloodhound,Recon,2847.0,875714.0,172.0
A Dirty Dragon,Caustic,Controller,2633.0,831870.0,187.0
A Dirty Dragon,Revenant,Skirmisher,2154.0,489117.0,174.0
A Dirty Dragon,Mirage,Support,2154.0,714023.0,164.0
A Dirty Dragon,Wattson,Controller,2124.0,701145.0,147.0
A Dirty Dragon,Crypto,Recon,1555.0,551398.0,92.0
A Dirty Dragon,Horizon,Skirmisher,1100.0,129440.0,88.0
A Dirty Dragon,Gibraltar,Support,995.0,415681.0,71.0
A Dirty Dragon,Valkyrie,Skirmisher,896.0,109376.0,76.0
A Dirty Dragon,Rampart,Controller,703.0,337489.0,39.0
A Dirty Dragon,Fuse,Assault,426.0,275098.0,42.0
A Dirty Dragon,Seer,Recon,9.0,163323.0,0.0
AC Skullbreaker,Fuse,Assault,40044.0,11373809.0,4161.0
AC Skullbreaker,Wattson,Controller,11764.0,3114049.0,726.0
AC Skullbreaker,Loba,Support,7578.0,2063285.0,466.0
AC Skullbreaker,Octane,Skirmisher,5717.0,1596138.0,351.0
AC Skullbreaker,Revenant,Skirmisher,3658.0,1098457.0,277.0
AC Skullbreaker,Bangalore,Assault,3405.0,1015783.0,207.0
AC Skullbreaker,Wraith,Skirmisher,2197.0,712552.0,132.0
AC Skullbreaker,Crypto,Recon,2178.0,707783.0,131.0
