player_name,legend,legend_category,BR Kills,BR Damage,BR Wins
0Juan23,Pathfinder,Skirmisher,35627.0,9148483.97362435,2335.0
0Juan23,Octane,Skirmisher,16596.0,3340400.0,1346.0
0Juan23,Gibraltar,Support,8361.0,2095914.0,781.0
0Juan23,Loba,Support,7938.0,1791185.0,765.0
0Juan23,Valkyrie,Skirmisher,7211.0,1951753.0,676.0
0Juan23,Bloodhound,Recon,4538.0,1300187.2927988973,277.4150751046803
0Juan23,Horizon,Skirmisher,4063.0,1288383.421961685,552.0
0Juan23,Conduit,Support,3235.0,973109.7527173517,196.4418989401989
0Juan23,Revenant,Skirmisher,2879.0,898818.7862451103,217.0
0Juan23,Rampart,Controller,1168.0,454253.8238236025,67.99097404995864
0Juan23,Caustic,Controller,1151.0,456008.11300823063,84.0
0Juan23,Mirage,Support,720.0,353395.24417425215,73.0
0Juan23,Bangalore,Assault,482.0,93532.0,28.0
0Juan23,Newcastle,Support,418.0,265989.69868073275,21.38323642650426
0Juan23,Wraith,Skirmisher,375.0,92362.0,31.0
0Juan23,Seer,Recon,368.0,253438.75700454143,18.276053918273966
0Juan23,Lifeline,Support,361.0,251681.62516987463,17.841048367121726
0Juan23,Vantage,Recon,183.0,207000.27280263355,6.779478637821889
0Juan23,Fuse,Assault,90.0,187534.02934751898,12.0
0Juan23,Mad Maggie,Assault,77.0,180392.27644910797,0.1922517203736689
0Juan23,Ash,Assault,14.0,164578.0899371069,-3.7227982399964983
0Skill but im kind,Pathfinder,Skirmisher,14482.0,3632797.0,894.5624871658897
0Skill but im kind,Lifeline,Support,7408.0,1977938.8623249314,335.0
0Skill but im kind,Horizon,Skirmisher,5582.0,1533178.0,342.14920348620075
0Skill but im kind,Wraith,Skirmisher,4632.0,1323783.063150137,283.25657822015324
0Skill but im kind,Bangalore,Assault,4352.0,1253497.7897634658,265.85635617406365
0Skill but im kind,Gibraltar,Support,3063.0,929934.5133512535,185.7531911118867
0Skill but im kind,Octane,Skirmisher,2069.0,680421.7928285701,123.98240284826849
0Skill but im kind,Bloodhound,Recon,2034.0,671636.1336552361,121.8073750925073
0Skill but im kind,Valkyrie,Skirmisher,1576.0,556669.5079013237,93.34558331711781
0Skill but im kind,Caustic,Controller,1446.0,524037.05954322626,85.26690879571906
0Skill but im kind,Revenant,Skirmisher,1194.0,460780.313495222,69.60670895423839
0Skill but im kind,Seer,Recon,1159.0,416489.0,70.0
0Skill but im kind,Wattson,Controller,1134.0,445719.1834837924,65.87808994436205
0Skill but im kind,Mirage,Support,1126.0,443711.0328156018,65.38094074304519
0Skill but im kind,Conduit,Support,452.0,274524.33902054286,23.496120532100857
0Skill but im kind,Loba,Support,378.0,124033.0,12.0
@vit-fps (youtube),Wraith,Skirmisher,21509.0,7019515.0,735.0
@vit-fps (youtube),Pathfinder,Skirmisher,17030.0,4239580.935777911,498.0
@vit-fps (youtube),Horizon,Skirmisher,7952.0,2157165.5904492405,489.57349676664467
@vit-fps (youtube),Bangalore,Assault,4335.0,1249230.4695935606,264.7999141212653
@vit-fps (youtube),Valkyrie,Skirmisher,2367.0,755225.4052186703,142.50121059732103
@vit-fps (youtube),Lifeline,Support,1677.0,562118.0,99.52361221361862
@vit-fps (youtube),Crypto,Recon,1012.0,415094.88579388557,58.29656462428013
@vit-fps (youtube),Bloodhound,Recon,927.0,393758.2849443604,53.01435436028863
@vit-fps (youtube),Octane,Skirmisher,828.0,368907.42042550154,46.86213299399265
@vit-fps (youtube),Gibraltar,Support,809.0,364138.06258854887,45.68140364086514
@vit-fps (youtube),Revenant,Skirmisher,552.0,299626.2223729255,29.710485548561444
@vit-fps (youtube),Mad Maggie,Assault,209.0,213526.76247425305,8.39521354210164
@vit-fps (youtube),Loba,Support,195.0,210012.49880491948,7.525202439797159
@vit-fps (youtube),Seer,Recon,4.0,162067.90160186862,-4.344234741642557
A Dirty Dragon,Wraith,Skirmisher,16672.0,4346049.818777006,1031.4661262020077
A Dirty Dragon,Pathfinder,Skirmisher,8804.0,2382502.414699638,575.0
A Dirty Dragon,Octane,Skirmisher,8580.0,2314805.4179022033,528.5997090700171
