player_name,legend,legend_category,BR Kills,BR Damage,BR Wins
#1 Valkuraee_Twitch TV,Valkyrie,Skirmisher,72440.0,18966877.0,5226.4
#1 Valkuraee_Twitch TV,Revenant,Skirmisher,11710.0,2921708.8,749.2
( `),Wraith,Skirmisher,20463.0,182528.0,1264.6
( `),Pathfinder,Skirmisher,12285.0,212733.0,738.8
( `),Gibraltar,Support,6584.0,479149.0,420.4
( `),Octane,Skirmisher,3770.0,334732.0,213.6
( `),Lifeline,Support,3215.0,913531.0,294.6
( `),Bangalore,Assault,2979.0,768634.0,134.4
( `),Bloodhound,Recon,2342.0,548979.0,138.4
( `),Mad Maggie,Assault,2213.0,636952.6,114.8
( `),Ballistic,Assault,2018.0,595601.0,118.8
( `),Caustic,Controller,1565.0,412328.4,76.6
( `),Horizon,Skirmisher,1262.0,368455.0,98.0
( `),Rampart,Controller,526.0,159248.2,22.4
( `),Seer,Recon,330.0,97988.0,17.8
( `),Revenant,Skirmisher,283.0,83073.2,16.0
( `),Loba,Support,260.0,80294.0,9.4
( `),Fuse,Assault,122.0,38716.6,7.0
( `),Valkyrie,Skirmisher,27.0,10309.6,2.2
( `),Ash,Assault,20.0,5812.0,2.6
*K3VIN*,Bangalore,Assault,65965.0,17967917.0,3602.0
*K3VIN*,Seer,Recon,13192.0,3387406.0,989.6
*K3VIN*,Bloodhound,Recon,2913.0,783569.0,117.4
*K3VIN*,Wraith,Skirmisher,1966.0,258492.0,108.4
*K3VIN*,Loba,Support,1773.0,527521.0,112.0
*K3VIN*,Revenant,Skirmisher,1226.0,279310.0,74.2
*K3VIN*,Gibraltar,Support,993.0,243122.0,29.4
*K3VIN*,Octane,Skirmisher,662.0,199047.0,48.0
*K3VIN*,Valkyrie,Skirmisher,418.0,116225.0,29.0
*K3VIN*,Ballistic,Assault,266.0,94447.8,15.0
*K3VIN*,Lifeline,Support,171.0,133244.0,10.0
*K3VIN*,Mad Maggie,Assault,1.0,1577.2,1.0
*K3VIN*,Pathfinder,Skirmisher,2750.0,912602.0,200.6
*insert complaint here*,Wraith,Skirmisher,14959.0,3560953.0,750.0
*insert complaint here*,Octane,Skirmisher,7997.0,2356004.0,344.0
*insert complaint here*,Bangalore,Assault,5191.0,1632194.0,370.0
*insert complaint here*,Caustic,Controller,4426.0,654930.0,313.4
*insert complaint here*,Pathfinder,Skirmisher,3882.0,1375571.0,190.0
*insert complaint here*,Loba,Support,3356.0,870595.6,168.8
*insert complaint here*,Bloodhound,Recon,2405.0,717119.0,130.6
*insert complaint here*,Mirage,Support,2278.0,1419508.0,137.4
*insert complaint here*,Gibraltar,Support,2190.0,740480.4,126.6
*insert complaint here*,Valkyrie,Skirmisher,1145.0,569020.0,85.4
*insert complaint here*,Crypto,Recon,717.0,240923.0,44.0
*insert complaint here*,Fuse,Assault,530.0,172218.0,28.6
*insert complaint here*,Horizon,Skirmisher,2321.6,623933.0,125.4
+ Shesko +,Pathfinder,Skirmisher,36341.0,10070404.2,2049.0
+ Shesko +,Bloodhound,Recon,10112.0,2744177.2,550.6
+ Shesko +,Valkyrie,Skirmisher,9967.0,2762416.6,530.6
+ Shesko +,Bangalore,Assault,4647.0,1291176.4,239.6
+ Shesko +,Revenant,Skirmisher,878.0,272564.8,55.4
+ Shesko +,Vantage,Recon,72.0,23277.2,3.6
+ Shesko +,Seer,Recon,1.0,1577.2,1.0
-iPhoenixS,Lifeline,Support,86392.0,20404746.0,4744.0
-iPhoenixS,Bloodhound,Recon,2754.0,877454.0,162.0
-iPhoenixS,Bangalore,Assault,1859.0,572780.0,119.0
-iPhoenixS,Octane,Skirmisher,453.0,172161.0,24.0
-iPhoenixS,Revenant,Skirmisher,325.0,115747.0,22.0
-iPhoenixS,Wraith,Skirmisher,270.0,89229.0,6.0
-iPhoenixS,Newcastle,Support,240.0,73697.6,13.8
-iPhoenixS,Mirage,Support,217.0,53844.6,9.0
-iPhoenixS,Pathfinder,Skirmisher,212.0,83209.0,18.0
-iPhoenixS,Seer,Recon,198.0,77612.0,8.0
-iPhoenixS,Loba,Support,112.0,54511.0,10.0
-iPhoenixS,Mad Maggie,Assault,108.0,36656.0,12.0
-iPhoenixS,Gibraltar,Support,80.0,27464.0,5.0
-iPhoenixS,Rampart,Controller,44.0,13260.0,2.0
-iPhoenixS,Valkyrie,Skirmisher,32.0,14030.0,2.6
-iPhoenixS,Horizon,Skirmisher,25.0,10570.0,2.0
-iPhoenixS,Fuse,Assault,12.0,3851.0,1.0
._. Aiko,Wraith,Skirmisher,13876.0,3688437.0,738.0
._. Aiko,Wattson,Controller,7016.0,1896164.0,691.0
._. Aiko,Octane,Skirmisher,6270.0,1751343.8,383.0
._. Aiko,Rampart,Controller,6105.0,1775277.0,378.4
._. Aiko,Valkyrie,Skirmisher,4975.0,1425015.0,363.8
._. Aiko,Lifeline,Support,4970.0,1301546.0,363.8
._. Aiko,Bangalore,Assault,4759.0,1434846.6,270.2
._. Aiko,Caustic,Controller,4206.0,1192041.0,247.6
._. Aiko,Catalyst,Controller,3545.0,830748.4,185.2
