player_name,BR Kills,BR Damage,BR Wins
#1 Valkuraee_Twitch TV,72440,18966877,0
#1 Valkuraee_Twitch TV,11710,0,0
( `),20463,182528,0
( `),12285,212733,0
( `),6584,479149,0
( `),3770,334732,0
( `),3215,913531,0
( `),2979,768634,0
( `),2342,548979,0
( `),2213,0,0
( `),2018,0,0
( `),1565,0,0
( `),1262,0,0
( `),526,0,0
( `),330,0,0
( `),283,0,0
( `),260,0,0
( `),122,0,0
( `),27,0,0
( `),20,5812,0
*K3VIN*,65965,17967917,3602
*K3VIN*,13192,3387406,0
*K3VIN*,2913,783569,0
*K3VIN*,1966,258492,0
*K3VIN*,1773,527521,112
*K3VIN*,1226,279310,0
*K3VIN*,993,243122,0
*K3VIN*,662,199047,48
*K3VIN*,418,116225,29
*K3VIN*,266,0,0
*K3VIN*,171,133244,0
*K3VIN*,1,0,0
*K3VIN*,0,912602,0
*insert complaint here*,14959,3560953,750
*insert complaint here*,7997,2356004,344
*insert complaint here*,5191,1632194,0
*insert complaint here*,4426,654930,0
*insert complaint here*,3882,1375571,190
*insert complaint here*,3356,0,0
*insert complaint here*,2405,717119,0
*insert complaint here*,2278,1419508,0
*insert complaint here*,2190,0,0
*insert complaint here*,1145,569020,0
*insert complaint here*,717,240923,44
*insert complaint here*,530,172218,0
*insert complaint here*,0,623933,0
+ Shesko +,36341,0,2049
+ Shesko +,10112,0,0
+ Shesko +,9967,0,0
+ Shesko +,4647,0,0
+ Shesko +,878,0,0
+ Shesko +,72,0,0
+ Shesko +,1,0,0
-iPhoenixS,86392,20404746,4744
-iPhoenixS,2754,877454,162
-iPhoenixS,1859,572780,119
-iPhoenixS,453,172161,24
-iPhoenixS,325,115747,22
-iPhoenixS,270,89229,6
-iPhoenixS,240,0,0
-iPhoenixS,217,0,9
-iPhoenixS,212,83209,18
-iPhoenixS,198,77612,8
-iPhoenixS,112,54511,10
-iPhoenixS,108,36656,12
-iPhoenixS,80,27464,5
-iPhoenixS,44,13260,2
-iPhoenixS,32,14030,0
-iPhoenixS,25,10570,0
-iPhoenixS,12,3851,1
._. Aiko,13876,3688437,738
._. Aiko,7016,1896164,691
._. Aiko,6270,0,0
._. Aiko,6105,1775277,0
._. Aiko,4975,1425015,0
._. Aiko,4970,1301546,0
._. Aiko,4759,0,0
._. Aiko,4206,1192041,0
._. Aiko,3545,0,0
._. Aiko,3263,932753,0
._. Aiko,2292,290838,0
._. Aiko,2290,0,0
._. Aiko,2037,0,0
._. Aiko,1634,0,0
._. Aiko,1514,435983,0
._. Aiko,1419,0,0
._. Aiko,1385,0,0
._. Aiko,1358,0,0
._. Aiko,1300,359222,0
._. Aiko,1023,275193,54
._. Aiko,718,210751,36
._. Aiko,574,181697,0
._. Aiko,73,0,0
._. Aiko,11,0,0
0Juan23,16596,0,0
0Juan23,8025,0,772
0Juan23,6196,0,552
0Juan23,4665,0,0
0Juan23,3270,0,0
0Juan23,382,94671,31
0Juan23,361,0,0
0Juan23,212,0,0
0Juan23,51,0,0
1000-,52235,0,3380
1000-,11417,0,740
1434552,50191,11794179,2478
1434552,23896,6929472,925
1434552,19930,4587023,1223
1434552,16092,3624072,906
1434552,14666,4226013,913
1434552,8618,774964,211
1434552,7226,1655124,404
1434552,3205,616835,137
1434552,3149,0,0
1434552,2539,782729,150
1434552,1515,0,0
1434552,1250,316121,60
1434552,1226,309936,67
1434552,721,248993,37
1434552,570,0,0
1434552,540,162222,31
1434552,465,144246,0
1434552,461,0,0
1434552,399,0,0
1434552,377,0,0
1434552,323,0,0
1GhostZz,55129,14875893,0
1GhostZz,11118,2760017,480
1GhostZz,8165,0,0
1GhostZz,4891,1240831,220
1GhostZz,2814,0,0
1GhostZz,1407,0,0
1GhostZz,339,0,0
1GhostZz,322,0,0
1GhostZz,312,0,0
1Girotto,45788,12219732,4435
1Girotto,12092,0,0
1Girotto,6522,0,0
1Girotto,6497,0,0
1Girotto,4641,0,0
1Girotto,4110,0,0
1Girotto,2018,0,0
1Girotto,1669,0,0
1Girotto,1453,358043,144
1Girotto,1312,0,0
1Girotto,1197,0,0
1Girotto,990,0,0
1Girotto,764,0,0
1Girotto,647,0,0
1Girotto,226,0,0
1Girotto,193,0,0
1Girotto,184,0,0
1Sp3cTrO,57237,14592551,2981
1Sp3cTrO,6638,1928810,337
1Sp3cTrO,6192,1545744,423
1Sp3cTrO,4724,1327567,265
1Sp3cTrO,3228,946720,160
1Sp3cTrO,1794,470303,95
1Sp3cTrO,1593,469591,91
1Sp3cTrO,904,269806,51
1Sp3cTrO,891,298345,58
1Sp3cTrO,868,224817,57
1Sp3cTrO,787,233491,42
1Sp3cTrO,611,196190,37
1Sp3cTrO,586,197913,27
1Sp3cTrO,484,120359,27
1Sp3cTrO,382,113718,12
1Sp3cTrO,379,98256,21
1Sp3cTrO,353,98980,28
1Sp3cTrO,305,96508,17
1Sp3cTrO,229,69743,13
1Sp3cTrO,174,0,0
1Sp3cTrO,138,0,0
1V33STACKORLOSE,82893,21718870,3415
1V33STACKORLOSE,8679,0,0
1V33STACKORLOSE,6852,2029959,0
1V33STACKORLOSE,2152,655030,94
1ief,21472,5505455,1633
1ief,20967,5849191,1224
1ief,4539,0,0
1ief,3847,1200590,191
1ief,3645,0,0
1ief,3165,927361,160
1ief,3155,0,0
1ief,2715,0,0
1ief,2697,0,0
1ief,1794,0,0
1ief,1353,0,0
1ief,1152,0,0
1ief,762,0,0
1ief,424,0,0
1ief,337,0,0
1ief,96,0,0
2zKert,43189,12229182,3760
2zKert,25169,7414657,1856
2zKert,7626,2203975,646
2zKert,5869,1652159,467
2zKert,1947,0,0
2zKert,1652,0,123
2zKert,1168,154227,0
2zKert,512,158269,0
2zKert,353,0,0
2zKert,238,55537,0
2zKert,197,0,0
2zKert,186,60902,8
2zKert,138,41888,9
2zKert,64,29712,3
2zKert,61,0,0
4117,35415,5140716,0
4117,13200,2457931,579
