player_name,legend,legend_category,BR Kills,BR Damage,BR Wins
#1 Valkuraee_Twitch TV,Valkyrie,Skirmisher,72440.0,18966877.0,3774.406005859375
#1 Valkuraee_Twitch TV,Revenant,Skirmisher,11710.0,2952031.75,684.8518676757812
( `),Wraith,Skirmisher,20463.0,182528.0,309.7884521484375
( `),Pathfinder,Skirmisher,12285.0,212733.0,-128.45388793945312
( `),Gibraltar,Support,6584.0,479149.0,104.12855529785156
( `),Octane,Skirmisher,3770.0,334732.0,84.08149719238281
( `),Lifeline,Support,3215.0,913531.0,197.39865112304688
( `),Bangalore,Assault,2979.0,768634.0,168.07398986816406
( `),Bloodhound,Recon,2342.0,548979.0,110.36920166015625
( `),Mad Maggie,Assault,2213.0,692212.125,133.36190795898438
( `),Ballistic,Assault,2018.0,569394.375,116.6959457397461
( `),Caustic,Controller,1565.0,480734.71875,88.47429656982422
( `),Horizon,Skirmisher,1262.0,370822.59375,76.12683868408203
( `),Rampart,Controller,526.0,163247.28125,28.284461975097656
( `),Seer,Recon,330.0,113255.4609375,19.236129760742188
( `),Revenant,Skirmisher,283.0,86042.7890625,15.950142860412598
( `),Loba,Support,260.0,83819.6171875,14.690034866333008
( `),Fuse,Assault,122.0,35124.15234375,7.755711078643799
( `),Valkyrie,Skirmisher,27.0,12586.6201171875,2.825644016265869
( `),Ash,Assault,20.0,5812.0,1.8424394130706787
*K3VIN*,Bangalore,Assault,65965.0,17967917.0,3602.0
*K3VIN*,Seer,Recon,13192.0,3387406.0,720.5771484375
*K3VIN*,Bloodhound,Recon,2913.0,783569.0,159.751708984375
*K3VIN*,Wraith,Skirmisher,1966.0,258492.0,63.501216888427734
*K3VIN*,Loba,Support,1773.0,527521.0,112.0
*K3VIN*,Revenant,Skirmisher,1226.0,279310.0,59.564125061035156
*K3VIN*,Gibraltar,Support,993.0,243122.0,59.27446746826172
*K3VIN*,Octane,Skirmisher,662.0,199047.0,48.0
*K3VIN*,Valkyrie,Skirmisher,418.0,116225.0,29.0
*K3VIN*,Ballistic,Assault,266.0,86042.7890625,14.690034866333008
*K3VIN*,Lifeline,Support,171.0,133244.0,8.468467712402344
*K3VIN*,Mad Maggie,Assault,1.0,11413.3916015625,2.245210647583008
*K3VIN*,Pathfinder,Skirmisher,3198.177978515625,912602.0,193.1021270751953
*insert complaint here*,Wraith,Skirmisher,14959.0,3560953.0,750.0
*insert complaint here*,Octane,Skirmisher,7997.0,2356004.0,344.0
*insert complaint here*,Bangalore,Assault,5191.0,1632194.0,292.4237365722656
*insert complaint here*,Caustic,Controller,4426.0,654930.0,149.87576293945312
*insert complaint here*,Pathfinder,Skirmisher,3882.0,1375571.0,190.0
*insert complaint here*,Loba,Support,3356.0,1018400.4375,190.66781616210938
*insert complaint here*,Bloodhound,Recon,2405.0,717119.0,146.92584228515625
*insert complaint here*,Mirage,Support,2278.0,1419508.0,145.1794891357422
*insert complaint here*,Gibraltar,Support,2190.0,692212.125,133.36190795898438
*insert complaint here*,Valkyrie,Skirmisher,1145.0,569020.0,87.83756256103516
*insert complaint here*,Crypto,Recon,717.0,240923.0,44.0
*insert complaint here*,Fuse,Assault,530.0,172218.0,35.873111724853516
*insert complaint here*,Horizon,Skirmisher,2176.045166015625,623933.0,127.46051788330078
+ Shesko +,Pathfinder,Skirmisher,36341.0,10844758.0,2049.0
+ Shesko +,Bloodhound,Recon,10112.0,2842638.5,628.69287109375
+ Shesko +,Valkyrie,Skirmisher,9967.0,2976315.5,579.2255249023438
+ Shesko +,Bangalore,Assault,4647.0,1375817.0,230.24107360839844
+ Shesko +,Revenant,Skirmisher,878.0,251263.703125,58.70998001098633
+ Shesko +,Vantage,Recon,72.0,24204.908203125,7.641737461090088
+ Shesko +,Seer,Recon,1.0,11413.3916015625,2.245210647583008
-iPhoenixS,Lifeline,Support,86392.0,20404746.0,4744.0
-iPhoenixS,Bloodhound,Recon,2754.0,877454.0,162.0
-iPhoenixS,Bangalore,Assault,1859.0,572780.0,119.0
-iPhoenixS,Octane,Skirmisher,453.0,172161.0,24.0
-iPhoenixS,Revenant,Skirmisher,325.0,115747.0,22.0
-iPhoenixS,Wraith,Skirmisher,270.0,89229.0,6.0
-iPhoenixS,Newcastle,Support,240.0,75936.1875,14.461780548095703
-iPhoenixS,Mirage,Support,217.0,59000.51953125,9.0
-iPhoenixS,Pathfinder,Skirmisher,212.0,83209.0,18.0
-iPhoenixS,Seer,Recon,198.0,77612.0,8.0
-iPhoenixS,Loba,Support,112.0,54511.0,10.0
-iPhoenixS,Mad Maggie,Assault,108.0,36656.0,12.0
-iPhoenixS,Gibraltar,Support,80.0,27464.0,5.0
-iPhoenixS,Rampart,Controller,44.0,13260.0,2.0
-iPhoenixS,Valkyrie,Skirmisher,32.0,14030.0,2.825644016265869
-iPhoenixS,Horizon,Skirmisher,25.0,10570.0,2.4228732585906982
-iPhoenixS,Fuse,Assault,12.0,3851.0,1.0
._. Aiko,Wraith,Skirmisher,13876.0,3688437.0,738.0
._. Aiko,Wattson,Controller,7016.0,1896164.0,691.0
._. Aiko,Octane,Skirmisher,6270.0,1796506.75,375.241455078125
._. Aiko,Rampart,Controller,6105.0,1775277.0,355.01727294921875
._. Aiko,Valkyrie,Skirmisher,4975.0,1425015.0,283.2176513671875
._. Aiko,Lifeline,Support,4970.0,1301546.0,226.30526733398438
._. Aiko,Bangalore,Assault,4759.0,1396301.25,266.2540588378906
._. Aiko,Caustic,Controller,4206.0,1192041.0,254.2300262451172
._. Aiko,Catalyst,Controller,3545.0,1023694.3125,224.4608154296875
._. Aiko,Pathfinder,Skirmisher,3263.0,932753.0,205.3273468017578
._. Aiko,Loba,Support,2292.0,290838.0,66.84147644042969
._. Aiko,Mad Maggie,Assault,2290.0,709078.625,144.40274047851562
._. Aiko,Crypto,Recon,2037.0,605568.8125,130.99981689453125
._. Aiko,Vantage,Recon,1634.0,480995.78125,97.0575180053711
