player_name,BR Kills,BR Damage,BR Wins
#Passion,100158,25689910,5820
#Passion,10182,3105279,623
#Passion,7560,2550298,0
#Passion,7162,0,0
#Passion,5217,1749868,0
#Passion,3060,962997,149
#Passion,2126,741028,0
#Passion,1728,589171,156
#Passion,1270,0,0
#Passion,1263,413169,70
#Passion,566,155596,0
#Passion,520,0,0
#Passion,400,121646,27
#Passion,375,109260,21
#Passion,326,99694,0
#Passion,283,67603,13
#Passion,255,78518,0
#Passion,184,55849,0
*foams mouth* GRRRRR *snarl*,45045,10323320,1597
*foams mouth* GRRRRR *snarl*,14302,3773340,614
*foams mouth* GRRRRR *snarl*,12088,0,0
*foams mouth* GRRRRR *snarl*,5262,0,0
*foams mouth* GRRRRR *snarl*,4728,0,0
*foams mouth* GRRRRR *snarl*,2878,727174,134
*foams mouth* GRRRRR *snarl*,2047,535152,109
*foams mouth* GRRRRR *snarl*,2042,0,0
*foams mouth* GRRRRR *snarl*,1976,0,0
*foams mouth* GRRRRR *snarl*,1479,373066,0
*foams mouth* GRRRRR *snarl*,1426,393633,65
*foams mouth* GRRRRR *snarl*,1362,322287,94
*foams mouth* GRRRRR *snarl*,1202,314375,64
*foams mouth* GRRRRR *snarl*,1138,310838,36
*foams mouth* GRRRRR *snarl*,429,0,0
*foams mouth* GRRRRR *snarl*,96,0,0
114114114114114,2554,0,0
114114114114114,1638,0,55
6AINZZ,45595,11510635,0
6AINZZ,6272,1650547,419
6AINZZ,4174,0,0
6AINZZ,3229,0,0
@Doctoena,3720,1068994,0
@Doctoena,368,0,0
@Pumbaa TV,60088,15439971,2838
@Pumbaa TV,24871,7424642,1168
@Pumbaa TV,1551,477005,62
@Pumbaa TV,1434,235416,0
@Pumbaa TV,1184,0,0
@Pumbaa TV,790,279051,17
@Pumbaa TV,686,0,0
@Pumbaa TV,515,110151,0
@Pumbaa TV,430,171477,0
@rFearful Day 9 MNK,54601,14982543,0
@rFearful Day 9 MNK,19597,5765265,0
@rFearful Day 9 MNK,6908,1853822,330
@rFearful Day 9 MNK,2312,690004,116
@rFearful Day 9 MNK,1653,459006,114
@rFearful Day 9 MNK,1372,355073,52
@rFearful Day 9 MNK,1351,347405,0
@rFearful Day 9 MNK,1141,318404,0
@rFearful Day 9 MNK,909,294811,0
@rFearful Day 9 MNK,740,212589,0
@rFearful Day 9 MNK,597,167275,0
@rFearful Day 9 MNK,571,150930,0
@rFearful Day 9 MNK,391,99690,0
@rFearful Day 9 MNK,380,121379,28
@rFearful Day 9 MNK,375,101851,0
@rFearful Day 9 MNK,333,98945,23
@rFearful Day 9 MNK,296,98083,0
@rFearful Day 9 MNK,235,0,0
@rFearful Day 9 MNK,185,49503,0
@rFearful Day 9 MNK,171,50513,0
@rFearful Day 9 MNK,116,47092,0
@rFearful Day 9 MNK,78,24724,0
A12120NA,28513,7563750,0
A12120NA,7624,0,0
A12120NA,7566,0,0
A12120NA,4527,0,0
A12120NA,3914,1048157,269
A12120NA,3811,0,0
A12120NA,3690,0,0
A12120NA,3215,938257,224
A12120NA,2597,0,0
A12120NA,1644,0,0
A12120NA,1405,0,0
A12120NA,771,0,0
A12120NA,376,0,0
A12120NA,48,0,0
A3DBee,523,0,0
AAG_Wolfy,57261,13155905,2206
AAG_Wolfy,14544,3242275,666
AAG_Wolfy,8788,0,0
AAG_Wolfy,3093,0,0
AAG_Wolfy,2596,701342,89
AAG_Wolfy,2561,675618,114
AAG_Wolfy,1774,503910,68
AAG_Wolfy,1215,330894,39
AAG_Wolfy,1080,329042,33
AAG_Wolfy,892,237708,27
AAG_Wolfy,787,0,0
AAG_Wolfy,195,52114,6
AAG_Wolfy,181,55862,5
AA_R_E_S_,24178,6772643,1633
AA_R_E_S_,14762,4123351,1041
AA_R_E_S_,10012,0,0
AA_R_E_S_,5769,1868426,328
AA_R_E_S_,4944,0,185
AA_R_E_S_,4102,666705,174
AA_R_E_S_,2766,777570,186
AA_R_E_S_,2062,510761,131
AA_R_E_S_,1451,436354,100
AA_R_E_S_,1438,0,0
AA_R_E_S_,32,0,0
ABIDE_Mickeyboy,65068,18725083,3868
ABIDE_Mickeyboy,4413,0,0
ABIDE_Mickeyboy,3734,1386828,244
ABIDE_Mickeyboy,3659,898437,157
ABIDE_Mickeyboy,2128,0,0
ABIDE_Mickeyboy,1977,0,102
ABIDE_Mickeyboy,1922,0,0
ABIDE_Mickeyboy,1799,682977,108
ABIDE_Mickeyboy,1256,0,0
ABIDE_Mickeyboy,1222,0,0
ABIDE_Mickeyboy,1119,0,0
ABIDE_Mickeyboy,977,372879,62
ABIDE_Mickeyboy,963,0,0
ABIDE_Mickeyboy,947,0,0
ABIDE_Mickeyboy,907,0,0
ABIDE_Mickeyboy,833,0,0
ABIDE_Mickeyboy,745,0,0
ABIDE_Mickeyboy,719,0,0
