player_name,legend,BR Kills,BR Damage,BR Wins,legend_category
#1 Valkuraee_Twitch TV,Valkyrie,72440,18966877,0,Skirmisher
#1 Valkuraee_Twitch TV,Revenant,11710,0,0,Skirmisher
( `),Wraith,20463,182528,0,Skirmisher
( `),Pathfinder,12285,212733,0,Skirmisher
( `),Gibraltar,6584,479149,0,Support
( `),Octane,3770,334732,0,Skirmisher
( `),Lifeline,3215,913531,0,Support
( `),Bangalore,2979,768634,0,Assault
( `),Bloodhound,2342,548979,0,Recon
( `),Mad Maggie,2213,0,0,Assault
( `),Ballistic,2018,0,0,Assault
( `),Caustic,1565,0,0,Controller
( `),Horizon,1262,0,0,Skirmisher
( `),Rampart,526,0,0,Controller
( `),Seer,330,0,0,Recon
( `),Revenant,283,0,0,Skirmisher
( `),Loba,260,0,0,Support
( `),Fuse,122,0,0,Assault
( `),Valkyrie,27,0,0,Skirmisher
( `),Ash,20,5812,0,Assault
*K3VIN*,Bangalore,65965,17967917,3602,Assault
*K3VIN*,Seer,13192,3387406,0,Recon
*K3VIN*,Bloodhound,2913,783569,0,Recon
*K3VIN*,Wraith,1966,258492,0,Skirmisher
*K3VIN*,Loba,1773,527521,112,Support
*K3VIN*,Revenant,1226,279310,0,Skirmisher
*K3VIN*,Gibraltar,993,243122,0,Support
*K3VIN*,Octane,662,199047,48,Skirmisher
*K3VIN*,Valkyrie,418,116225,29,Skirmisher
*K3VIN*,Ballistic,266,0,0,Assault
*K3VIN*,Lifeline,171,133244,0,Support
*K3VIN*,Mad Maggie,1,0,0,Assault
*K3VIN*,Pathfinder,0,912602,0,Skirmisher
*insert complaint here*,Wraith,14959,3560953,750,Skirmisher
*insert complaint here*,Octane,7997,2356004,344,Skirmisher
*insert complaint here*,Bangalore,5191,1632194,0,Assault
*insert complaint here*,Caustic,4426,654930,0,Controller
*insert complaint here*,Pathfinder,3882,1375571,190,Skirmisher
*insert complaint here*,Loba,3356,0,0,Support
*insert complaint here*,Bloodhound,2405,717119,0,Recon
*insert complaint here*,Mirage,2278,1419508,0,Support
*insert complaint here*,Gibraltar,2190,0,0,Support
*insert complaint here*,Valkyrie,1145,569020,0,Skirmisher
*insert complaint here*,Crypto,717,240923,44,Recon
*insert complaint here*,Fuse,530,172218,0,Assault
*insert complaint here*,Horizon,0,623933,0,Skirmisher
+ Shesko +,Pathfinder,36341,0,2049,Skirmisher
+ Shesko +,Bloodhound,10112,0,0,Recon
+ Shesko +,Valkyrie,9967,0,0,Skirmisher
+ Shesko +,Bangalore,4647,0,0,Assault
+ Shesko +,Revenant,878,0,0,Skirmisher
+ Shesko +,Vantage,72,0,0,Recon
+ Shesko +,Seer,1,0,0,Recon
-iPhoenixS,Lifeline,86392,20404746,4744,Support
-iPhoenixS,Bloodhound,2754,877454,162,Recon
-iPhoenixS,Bangalore,1859,572780,119,Assault
-iPhoenixS,Octane,453,172161,24,Skirmisher
-iPhoenixS,Revenant,325,115747,22,Skirmisher
-iPhoenixS,Wraith,270,89229,6,Skirmisher
-iPhoenixS,Newcastle,240,0,0,Support
-iPhoenixS,Mirage,217,0,9,Support
-iPhoenixS,Pathfinder,212,83209,18,Skirmisher
-iPhoenixS,Seer,198,77612,8,Recon
-iPhoenixS,Loba,112,54511,10,Support
-iPhoenixS,Mad Maggie,108,36656,12,Assault
-iPhoenixS,Gibraltar,80,27464,5,Support
-iPhoenixS,Rampart,44,13260,2,Controller
-iPhoenixS,Valkyrie,32,14030,0,Skirmisher
-iPhoenixS,Horizon,25,10570,0,Skirmisher
-iPhoenixS,Fuse,12,3851,1,Assault
._. Aiko,Wraith,13876,3688437,738,Skirmisher
._. Aiko,Wattson,7016,1896164,691,Controller
._. Aiko,Octane,6270,0,0,Skirmisher
._. Aiko,Rampart,6105,1775277,0,Controller
._. Aiko,Valkyrie,4975,1425015,0,Skirmisher
._. Aiko,Lifeline,4970,1301546,0,Support
._. Aiko,Bangalore,4759,0,0,Assault
._. Aiko,Caustic,4206,1192041,0,Controller
._. Aiko,Catalyst,3545,0,0,Controller
._. Aiko,Pathfinder,3263,932753,0,Skirmisher
._. Aiko,Loba,2292,290838,0,Support
._. Aiko,Mad Maggie,2290,0,0,Assault
._. Aiko,Crypto,2037,0,0,Recon
._. Aiko,Vantage,1634,0,0,Recon
._. Aiko,Bloodhound,1514,435983,0,Recon
._. Aiko,Mirage,1419,0,0,Support
._. Aiko,Seer,1385,0,0,Recon
._. Aiko,Gibraltar,1358,0,0,Support
._. Aiko,Horizon,1300,359222,0,Skirmisher
._. Aiko,Revenant,1023,275193,54,Skirmisher
._. Aiko,Fuse,718,210751,36,Assault
._. Aiko,Conduit,574,181697,0,Support
._. Aiko,Ash,73,0,0,Assault
._. Aiko,Newcastle,11,0,0,Support
0Juan23,Octane,16596,0,0,Skirmisher
0Juan23,Loba,8025,0,772,Support
0Juan23,Horizon,6196,0,552,Skirmisher
0Juan23,Bloodhound,4665,0,0,Recon
0Juan23,Conduit,3270,0,0,Support
0Juan23,Wraith,382,94671,31,Skirmisher
0Juan23,Lifeline,361,0,0,Support
0Juan23,Vantage,212,0,0,Recon
0Juan23,Mad Maggie,51,0,0,Assault
1000-,Wraith,52235,0,3380,Skirmisher
1000-,Horizon,11417,0,740,Skirmisher
1434552,Pathfinder,50191,11794179,2478,Skirmisher
1434552,Valkyrie,23896,6929472,925,Skirmisher
1434552,Wraith,19930,4587023,1223,Skirmisher
1434552,Octane,16092,3624072,906,Skirmisher
1434552,Horizon,14666,4226013,913,Skirmisher
1434552,Bloodhound,8618,774964,211,Recon
1434552,Lifeline,7226,1655124,404,Support
1434552,Revenant,3205,616835,137,Skirmisher
1434552,Bangalore,3149,0,0,Assault
1434552,Loba,2539,782729,150,Support
1434552,Catalyst,1515,0,0,Controller
1434552,Caustic,1250,316121,60,Controller
1434552,Wattson,1226,309936,67,Controller
1434552,Rampart,721,248993,37,Controller
1434552,Crypto,570,0,0,Recon
1434552,Gibraltar,540,162222,31,Support
1434552,Ash,465,144246,0,Assault
1434552,Mad Maggie,461,0,0,Assault
1434552,Fuse,399,0,0,Assault
1434552,Seer,377,0,0,Recon
1434552,Mirage,323,0,0,Support
1GhostZz,Wraith,55129,14875893,0,Skirmisher
1GhostZz,Horizon,11118,2760017,480,Skirmisher
1GhostZz,Octane,8165,0,0,Skirmisher
1GhostZz,Pathfinder,4891,1240831,220,Skirmisher
1GhostZz,Bangalore,2814,0,0,Assault
1GhostZz,Loba,1407,0,0,Support
1GhostZz,Gibraltar,339,0,0,Support
1GhostZz,Seer,322,0,0,Recon
1GhostZz,Caustic,312,0,0,Controller
1Girotto,Octane,45788,12219732,4435,Skirmisher
1Girotto,Pathfinder,12092,0,0,Skirmisher
1Girotto,Valkyrie,6522,0,0,Skirmisher
1Girotto,Wraith,6497,0,0,Skirmisher
1Girotto,Horizon,4641,0,0,Skirmisher
1Girotto,Conduit,4110,0,0,Support
1Girotto,Bangalore,2018,0,0,Assault
1Girotto,Lifeline,1669,0,0,Support
1Girotto,Bloodhound,1453,358043,144,Recon
1Girotto,Gibraltar,1312,0,0,Support
1Girotto,Caustic,1197,0,0,Controller
1Girotto,Wattson,990,0,0,Controller
1Girotto,Seer,764,0,0,Recon
1Girotto,Mad Maggie,647,0,0,Assault
1Girotto,Ash,226,0,0,Assault
1Girotto,Fuse,193,0,0,Assault
1Girotto,Revenant,184,0,0,Skirmisher
1Sp3cTrO,Wraith,57237,14592551,2981,Skirmisher
1Sp3cTrO,Horizon,6638,1928810,337,Skirmisher
1Sp3cTrO,Lifeline,6192,1545744,423,Support
1Sp3cTrO,Pathfinder,4724,1327567,265,Skirmisher
1Sp3cTrO,Octane,3228,946720,160,Skirmisher
1Sp3cTrO,Wattson,1794,470303,95,Controller
1Sp3cTrO,Bloodhound,1593,469591,91,Recon
1Sp3cTrO,Valkyrie,904,269806,51,Skirmisher
1Sp3cTrO,Revenant,891,298345,58,Skirmisher
1Sp3cTrO,Bangalore,868,224817,57,Assault
1Sp3cTrO,Ash,787,233491,42,Assault
1Sp3cTrO,Gibraltar,611,196190,37,Support
1Sp3cTrO,Loba,586,197913,27,Support
1Sp3cTrO,Mirage,484,120359,27,Support
1Sp3cTrO,Mad Maggie,382,113718,12,Assault
1Sp3cTrO,Rampart,379,98256,21,Controller
1Sp3cTrO,Caustic,353,98980,28,Controller
1Sp3cTrO,Seer,305,96508,17,Recon
1Sp3cTrO,Crypto,229,69743,13,Recon
1Sp3cTrO,Vantage,174,0,0,Recon
1Sp3cTrO,Catalyst,138,0,0,Controller
1V33STACKORLOSE,Horizon,82893,21718870,3415,Skirmisher
1V33STACKORLOSE,Pathfinder,8679,0,0,Skirmisher
1V33STACKORLOSE,Wraith,6852,2029959,0,Skirmisher
1V33STACKORLOSE,Bangalore,2152,655030,94,Assault
1ief,Lifeline,21472,5505455,1633,Support
1ief,Wraith,20967,5849191,1224,Skirmisher
1ief,Horizon,4539,0,0,Skirmisher
1ief,Valkyrie,3847,1200590,191,Skirmisher
1ief,Loba,3645,0,0,Support
1ief,Bangalore,3165,927361,160,Assault
1ief,Mad Maggie,3155,0,0,Assault
1ief,Ash,2715,0,0,Assault
1ief,Wattson,2697,0,0,Controller
1ief,Bloodhound,1794,0,0,Recon
1ief,Gibraltar,1353,0,0,Support
1ief,Octane,1152,0,0,Skirmisher
1ief,Mirage,762,0,0,Support
1ief,Rampart,424,0,0,Controller
1ief,Seer,337,0,0,Recon
1ief,Fuse,96,0,0,Assault
2zKert,Bangalore,43189,12229182,3760,Assault
2zKert,Wraith,25169,7414657,1856,Skirmisher
2zKert,Ash,7626,2203975,646,Assault
2zKert,Horizon,5869,1652159,467,Skirmisher
2zKert,Pathfinder,1947,0,0,Skirmisher
2zKert,Lifeline,1652,0,123,Support
2zKert,Bloodhound,1168,154227,0,Recon
2zKert,Mirage,512,158269,0,Support
2zKert,Seer,353,0,0,Recon
2zKert,Rampart,238,55537,0,Controller
2zKert,Mad Maggie,197,0,0,Assault
2zKert,Gibraltar,186,60902,8,Support
2zKert,Revenant,138,41888,9,Skirmisher
2zKert,Fuse,64,29712,3,Assault
2zKert,Valkyrie,61,0,0,Skirmisher
4117,Wraith,35415,5140716,0,Skirmisher
4117,Lifeline,13200,2457931,579,Support
4117,Pathfinder,10247,3027393,631,Skirmisher
4117,Valkyrie,3086,883152,0,Skirmisher
4117,Octane,2934,883010,0,Skirmisher
4117,Bloodhound,2243,348524,72,Recon
4117,Loba,2099,588030,0,Support
4117,Ash,1650,507783,0,Assault
4117,Wattson,1383,399894,91,Controller
4117,Mirage,271,74298,21,Support
4117,Revenant,150,42610,11,Skirmisher
4117,Rampart,59,15907,5,Controller
4117,Seer,57,0,0,Recon
4evererer,Wraith,29118,7379756,2206,Skirmisher
4evererer,Pathfinder,21190,5776652,1516,Skirmisher
4evererer,Octane,13133,3188098,993,Skirmisher
4evererer,Valkyrie,5515,1392403,225,Skirmisher
4evererer,Lifeline,4448,1134603,399,Support
4evererer,Bangalore,2661,726366,180,Assault
4evererer,Bloodhound,1672,464609,142,Recon
4evererer,Revenant,1379,188471,54,Skirmisher
4evererer,Seer,1191,367154,0,Recon
4evererer,Loba,1107,370500,102,Support
4evererer,Horizon,985,246828,67,Skirmisher
4evererer,Caustic,850,210374,0,Controller
4evererer,Ash,459,129562,21,Assault
4evererer,Mirage,377,97237,25,Support
4evererer,Crypto,361,119369,0,Recon
4evererer,Mad Maggie,284,76242,18,Assault
4evererer,Rampart,154,36259,11,Controller
4evererer,Fuse,34,14805,1,Assault
5bw,Wraith,54504,15039302,0,Skirmisher
5bw,Octane,2528,0,0,Skirmisher
5bw,Pathfinder,1137,0,0,Skirmisher
5bw,Bloodhound,932,0,0,Recon
5bw,Valkyrie,454,127308,19,Skirmisher
5bw,Lifeline,304,95505,16,Support
5bw,Gibraltar,53,0,0,Support
5bw,Ash,27,9532,1,Assault
6AINZZ,Mad Maggie,45433,11457319,1181,Assault
6AINZZ,Valkyrie,26472,7004976,1305,Skirmisher
6AINZZ,Pathfinder,23560,6346430,1384,Skirmisher
6AINZZ,Wraith,18724,5196167,999,Skirmisher
6AINZZ,Lifeline,6296,1661160,419,Support
6AINZZ,Octane,4843,1237069,257,Skirmisher
6AINZZ,Conduit,4810,0,0,Support
6AINZZ,Loba,4608,1250824,269,Support
6AINZZ,Alter,4450,0,0,Skirmisher
6AINZZ,Ballistic,4370,1142035,0,Assault
6AINZZ,Bangalore,3373,949659,173,Assault
6AINZZ,Gibraltar,3210,1196929,210,Support
6AINZZ,Ash,2371,700859,101,Assault
6AINZZ,Horizon,2311,626450,122,Skirmisher
6AINZZ,Bloodhound,1956,652176,113,Recon
6AINZZ,Mirage,1617,430633,101,Support
6AINZZ,Rampart,1353,387700,81,Controller
6AINZZ,Wattson,1240,354097,56,Controller
6AINZZ,Revenant,1205,328478,0,Skirmisher
6AINZZ,Seer,1164,299788,0,Recon
6AINZZ,Crypto,1137,362817,82,Recon
6AINZZ,Caustic,967,276638,45,Controller
6AINZZ,Fuse,856,241052,49,Assault
6AINZZ,Catalyst,410,165211,0,Controller
6AINZZ,Newcastle,205,0,0,Support
6AINZZ,Vantage,0,207102,0,Recon
777Zachary,Wraith,69823,20993496,0,Skirmisher
777Zachary,Lifeline,3154,0,0,Support
777Zachary,Wattson,2883,0,0,Controller
777Zachary,Pathfinder,1741,0,0,Skirmisher
777Zachary,Mad Maggie,33,0,0,Assault
951,Horizon,92639,22461451,5182,Skirmisher
951,Lifeline,35122,8927293,2270,Support
