player_name,legend,BR Kills,BR Damage,BR Wins
凪茄,Revenant,283,85369,13
凪茄,Crypto,155,0,0
凪茄,Horizon,1258,0,0
凪茄,Gibraltar,0,0,0
凪茄,Wattson,321,0,0
凪茄,Fuse,54,0,0
凪茄,Bangalore,801,0,0
凪茄,Wraith,374333,83735932,0
凪茄,Octane,884,0,0
凪茄,Bloodhound,414,0,0
凪茄,Caustic,149,0,0
凪茄,Lifeline,379,0,0
凪茄,Pathfinder,4364,0,0
凪茄,Loba,0,0,0
凪茄,Mirage,152,0,0
凪茄,Rampart,19,0,0
凪茄,Valkyrie,331,0,0
凪茄,Seer,66,0,0
凪茄,Ash,0,0,0
凪茄,Mad Maggie,0,0,0
凪茄,Newcastle,0,0,0
凪茄,Vantage,0,0,0
凪茄,Catalyst,0,0,0
凪茄,Ballistic,0,0,0
凪茄,Conduit,0,0,0
凪茄,Alter,0,0,0
MaddBrooo,Revenant,0,0,0
MaddBrooo,Crypto,0,0,0
MaddBrooo,Horizon,0,0,0
MaddBrooo,Gibraltar,0,0,0
MaddBrooo,Wattson,0,0,0
MaddBrooo,Fuse,60,0,0
MaddBrooo,Bangalore,2066,491324,0
MaddBrooo,Wraith,0,0,0
MaddBrooo,Octane,0,0,0
MaddBrooo,Bloodhound,0,0,0
MaddBrooo,Caustic,0,0,0
MaddBrooo,Lifeline,0,0,0
MaddBrooo,Pathfinder,362490,77816133,20712
MaddBrooo,Loba,242,0,0
MaddBrooo,Mirage,0,0,0
MaddBrooo,Rampart,77,0,0
MaddBrooo,Valkyrie,129,33727,0
MaddBrooo,Seer,0,0,0
MaddBrooo,Ash,0,0,0
MaddBrooo,Mad Maggie,0,0,0
MaddBrooo,Newcastle,0,0,0
MaddBrooo,Vantage,0,0,0
MaddBrooo,Catalyst,0,0,0
MaddBrooo,Ballistic,0,0,0
MaddBrooo,Conduit,0,0,0
MaddBrooo,Alter,0,0,0
AmaneeMisa,Revenant,0,0,0
AmaneeMisa,Crypto,0,0,0
AmaneeMisa,Horizon,21842,0,0
AmaneeMisa,Gibraltar,0,0,0
AmaneeMisa,Wattson,0,0,0
AmaneeMisa,Fuse,0,0,0
AmaneeMisa,Bangalore,0,0,0
AmaneeMisa,Wraith,109489,24623782,0
AmaneeMisa,Octane,0,0,0
AmaneeMisa,Bloodhound,0,0,0
AmaneeMisa,Caustic,0,0,0
AmaneeMisa,Lifeline,132796,29249062,0
AmaneeMisa,Pathfinder,0,0,0
AmaneeMisa,Loba,25087,0,0
AmaneeMisa,Mirage,0,0,0
AmaneeMisa,Rampart,0,0,0
AmaneeMisa,Valkyrie,29907,6556207,0
AmaneeMisa,Seer,0,0,0
AmaneeMisa,Ash,0,0,0
AmaneeMisa,Mad Maggie,0,0,0
AmaneeMisa,Newcastle,0,0,0
AmaneeMisa,Vantage,0,0,0
AmaneeMisa,Catalyst,0,0,0
AmaneeMisa,Ballistic,0,0,0
AmaneeMisa,Conduit,21936,0,0
