player_name,legend,BR Kills,BR Damage,BR Wins,legend_category
凪茄,Revenant,283,85369,13,Skirmisher
凪茄,Crypto,155,0,0,Recon
凪茄,Horizon,1258,0,0,Skirmisher
凪茄,Gibraltar,0,0,0,Support
凪茄,Wattson,321,0,0,Controller
凪茄,Fuse,54,0,0,Assault
凪茄,Bangalore,801,0,0,Assault
凪茄,Wraith,374333,83735932,0,Skirmisher
凪茄,Octane,884,0,0,Skirmisher
凪茄,Bloodhound,414,0,0,Recon
凪茄,Caustic,149,0,0,Controller
凪茄,Lifeline,379,0,0,Support
凪茄,Pathfinder,4364,0,0,Skirmisher
凪茄,Loba,0,0,0,Support
凪茄,Mirage,152,0,0,Support
凪茄,Rampart,19,0,0,Controller
凪茄,Valkyrie,331,0,0,Skirmisher
凪茄,Seer,66,0,0,Recon
凪茄,Ash,0,0,0,Assault
凪茄,Mad Maggie,0,0,0,Assault
凪茄,Newcastle,0,0,0,Support
凪茄,Vantage,0,0,0,Recon
凪茄,Catalyst,0,0,0,Controller
凪茄,Ballistic,0,0,0,Assault
凪茄,Conduit,0,0,0,Support
凪茄,Alter,0,0,0,Skirmisher
MaddBrooo,Revenant,0,0,0,Skirmisher
MaddBrooo,Crypto,0,0,0,Recon
MaddBrooo,Horizon,0,0,0,Skirmisher
MaddBrooo,Gibraltar,0,0,0,Support
MaddBrooo,Wattson,0,0,0,Controller
MaddBrooo,Fuse,60,0,0,Assault
MaddBrooo,Bangalore,2066,491324,0,Assault
MaddBrooo,Wraith,0,0,0,Skirmisher
MaddBrooo,Octane,0,0,0,Skirmisher
MaddBrooo,Bloodhound,0,0,0,Recon
MaddBrooo,Caustic,0,0,0,Controller
MaddBrooo,Lifeline,0,0,0,Support
MaddBrooo,Pathfinder,362490,77816133,20712,Skirmisher
MaddBrooo,Loba,242,0,0,Support
MaddBrooo,Mirage,0,0,0,Support
MaddBrooo,Rampart,77,0,0,Controller
MaddBrooo,Valkyrie,129,33727,0,Skirmisher
MaddBrooo,Seer,0,0,0,Recon
MaddBrooo,Ash,0,0,0,Assault
MaddBrooo,Mad Maggie,0,0,0,Assault
MaddBrooo,Newcastle,0,0,0,Support
MaddBrooo,Vantage,0,0,0,Recon
MaddBrooo,Catalyst,0,0,0,Controller
MaddBrooo,Ballistic,0,0,0,Assault
MaddBrooo,Conduit,0,0,0,Support
MaddBrooo,Alter,0,0,0,Skirmisher
AmaneeMisa,Revenant,0,0,0,Skirmisher
AmaneeMisa,Crypto,0,0,0,Recon
AmaneeMisa,Horizon,21842,0,0,Skirmisher
AmaneeMisa,Gibraltar,0,0,0,Support
AmaneeMisa,Wattson,0,0,0,Controller
AmaneeMisa,Fuse,0,0,0,Assault
AmaneeMisa,Bangalore,0,0,0,Assault
AmaneeMisa,Wraith,109489,24623782,0,Skirmisher
AmaneeMisa,Octane,0,0,0,Skirmisher
AmaneeMisa,Bloodhound,0,0,0,Recon
AmaneeMisa,Caustic,0,0,0,Controller
AmaneeMisa,Lifeline,132796,29249062,0,Support
AmaneeMisa,Pathfinder,0,0,0,Skirmisher
AmaneeMisa,Loba,25087,0,0,Support
AmaneeMisa,Mirage,0,0,0,Support
AmaneeMisa,Rampart,0,0,0,Controller
AmaneeMisa,Valkyrie,29907,6556207,0,Skirmisher
AmaneeMisa,Seer,0,0,0,Recon
AmaneeMisa,Ash,0,0,0,Assault
AmaneeMisa,Mad Maggie,0,0,0,Assault
AmaneeMisa,Newcastle,0,0,0,Support
AmaneeMisa,Vantage,0,0,0,Recon
AmaneeMisa,Catalyst,0,0,0,Controller
AmaneeMisa,Ballistic,0,0,0,Assault
AmaneeMisa,Conduit,21936,0,0,Support
AmaneeMisa,Alter,0,0,0,Skirmisher
xoKaiz YT,Revenant,88,18184,0,Skirmisher
xoKaiz YT,Crypto,37,0,0,Recon
xoKaiz YT,Horizon,339695,62839896,12053,Skirmisher
xoKaiz YT,Gibraltar,0,0,0,Support
xoKaiz YT,Wattson,0,0,1,Controller
xoKaiz YT,Fuse,0,0,0,Assault
xoKaiz YT,Bangalore,3164,0,0,Assault
xoKaiz YT,Wraith,2423,667536,93,Skirmisher
xoKaiz YT,Octane,1252,318303,0,Skirmisher
xoKaiz YT,Bloodhound,0,0,0,Recon
xoKaiz YT,Caustic,111,0,0,Controller
xoKaiz YT,Lifeline,852,0,0,Support
xoKaiz YT,Pathfinder,176,0,0,Skirmisher
xoKaiz YT,Loba,585,0,0,Support
xoKaiz YT,Mirage,132,0,0,Support
xoKaiz YT,Rampart,129,0,0,Controller
xoKaiz YT,Valkyrie,0,0,0,Skirmisher
xoKaiz YT,Seer,354,0,0,Recon
xoKaiz YT,Ash,0,0,0,Assault
xoKaiz YT,Mad Maggie,67,0,0,Assault
xoKaiz YT,Newcastle,13,0,0,Support
xoKaiz YT,Vantage,88,0,0,Recon
xoKaiz YT,Catalyst,59,0,0,Controller
xoKaiz YT,Ballistic,0,0,0,Assault
xoKaiz YT,Conduit,43,0,0,Support
xoKaiz YT,Alter,0,0,0,Skirmisher
Upthrow,Revenant,344,101740,27,Skirmisher
Upthrow,Crypto,0,0,0,Recon
Upthrow,Horizon,2876,0,0,Skirmisher
Upthrow,Gibraltar,6578,0,0,Support
Upthrow,Wattson,0,0,0,Controller
Upthrow,Fuse,225,63788,15,Assault
Upthrow,Bangalore,1851,523707,115,Assault
Upthrow,Wraith,7037,2124024,399,Skirmisher
