player_name,legend,BR Kills,BR Damage,BR Wins,legend_category
#Passion,Pathfinder,100158,25689910,5820,Skirmisher
#Passion,Loba,10182,3105279,623,Support
#Passion,Wraith,7560,2550298,0,Skirmisher
#Passion,Alter,7162,0,0,Skirmisher
#Passion,Bloodhound,5217,1749868,0,Recon
#Passion,Revenant,3060,962997,149,Skirmisher
#Passion,Valkyrie,2126,741028,0,Skirmisher
#Passion,Crypto,1728,589171,156,Recon
#Passion,Horizon,1270,0,0,Skirmisher
#Passion,Bangalore,1263,413169,70,Assault
#Passion,Ash,566,155596,0,Assault
#Passion,Lifeline,520,0,0,Support
#Passion,Caustic,400,121646,27,Controller
#Passion,Octane,375,109260,21,Skirmisher
#Passion,Seer,326,99694,0,Recon
#Passion,Fuse,283,67603,13,Assault
#Passion,Wattson,255,78518,0,Controller
#Passion,Rampart,184,55849,0,Controller
*foams mouth* GRRRRR *snarl*,Wraith,45045,10323320,1597,Skirmisher
*foams mouth* GRRRRR *snarl*,Horizon,14302,3773340,614,Skirmisher
*foams mouth* GRRRRR *snarl*,Conduit,12088,0,0,Support
*foams mouth* GRRRRR *snarl*,Wattson,5262,0,0,Controller
*foams mouth* GRRRRR *snarl*,Catalyst,4728,0,0,Controller
*foams mouth* GRRRRR *snarl*,Bloodhound,2878,727174,134,Recon
*foams mouth* GRRRRR *snarl*,Bangalore,2047,535152,109,Assault
*foams mouth* GRRRRR *snarl*,Octane,2042,0,0,Skirmisher
*foams mouth* GRRRRR *snarl*,Revenant,1976,0,0,Skirmisher
*foams mouth* GRRRRR *snarl*,Ash,1479,373066,0,Assault
*foams mouth* GRRRRR *snarl*,Lifeline,1426,393633,65,Support
*foams mouth* GRRRRR *snarl*,Loba,1362,322287,94,Support
*foams mouth* GRRRRR *snarl*,Valkyrie,1202,314375,64,Skirmisher
*foams mouth* GRRRRR *snarl*,Pathfinder,1138,310838,36,Skirmisher
*foams mouth* GRRRRR *snarl*,Mad Maggie,429,0,0,Assault
*foams mouth* GRRRRR *snarl*,Rampart,96,0,0,Controller
114114114114114,Pathfinder,2554,0,0,Skirmisher
114114114114114,Revenant,1638,0,55,Skirmisher
6AINZZ,Mad Maggie,45595,11510635,0,Assault
6AINZZ,Lifeline,6272,1650547,419,Support
6AINZZ,Conduit,4174,0,0,Support
6AINZZ,Alter,3229,0,0,Skirmisher
@Doctoena,Wattson,3720,1068994,0,Controller
@Doctoena,Ballistic,368,0,0,Assault
@Pumbaa TV,Wraith,60088,15439971,2838,Skirmisher
@Pumbaa TV,Horizon,24871,7424642,1168,Skirmisher
@Pumbaa TV,Pathfinder,1551,477005,62,Skirmisher
@Pumbaa TV,Bloodhound,1434,235416,0,Recon
@Pumbaa TV,Lifeline,1184,0,0,Support
@Pumbaa TV,Valkyrie,790,279051,17,Skirmisher
@Pumbaa TV,Mirage,686,0,0,Support
@Pumbaa TV,Bangalore,515,110151,0,Assault
@Pumbaa TV,Gibraltar,430,171477,0,Support
@rFearful Day 9 MNK,Wraith,54601,14982543,0,Skirmisher
@rFearful Day 9 MNK,Pathfinder,19597,5765265,0,Skirmisher
@rFearful Day 9 MNK,Octane,6908,1853822,330,Skirmisher
@rFearful Day 9 MNK,Bangalore,2312,690004,116,Assault
@rFearful Day 9 MNK,Horizon,1653,459006,114,Skirmisher
@rFearful Day 9 MNK,Lifeline,1372,355073,52,Support
@rFearful Day 9 MNK,Ash,1351,347405,0,Assault
@rFearful Day 9 MNK,Wattson,1141,318404,0,Controller
@rFearful Day 9 MNK,Bloodhound,909,294811,0,Recon
@rFearful Day 9 MNK,Crypto,740,212589,0,Recon
@rFearful Day 9 MNK,Conduit,597,167275,0,Support
@rFearful Day 9 MNK,Loba,571,150930,0,Support
@rFearful Day 9 MNK,Vantage,391,99690,0,Recon
@rFearful Day 9 MNK,Gibraltar,380,121379,28,Support
@rFearful Day 9 MNK,Mirage,375,101851,0,Support
@rFearful Day 9 MNK,Valkyrie,333,98945,23,Skirmisher
@rFearful Day 9 MNK,Catalyst,296,98083,0,Controller
@rFearful Day 9 MNK,Caustic,235,0,0,Controller
@rFearful Day 9 MNK,Rampart,185,49503,0,Controller
@rFearful Day 9 MNK,Revenant,171,50513,0,Skirmisher
@rFearful Day 9 MNK,Seer,116,47092,0,Recon
@rFearful Day 9 MNK,Mad Maggie,78,24724,0,Assault
