player_name,legend,BR Kills,BR Damage,BR Wins,legend_category
MaddBrooo,Revenant,140,0,0,Skirmisher
MaddBrooo,Crypto,21,0,0,Recon
MaddBrooo,Horizon,1682,424562,0,Skirmisher
MaddBrooo,Gibraltar,500,122994,0,Support
MaddBrooo,Wattson,69,19645,0,Controller
MaddBrooo,Fuse,60,0,0,Assault
MaddBrooo,Bangalore,1946,504858,0,Assault
MaddBrooo,Wraith,556,140387,0,Skirmisher
MaddBrooo,Octane,352,0,0,Skirmisher
MaddBrooo,Bloodhound,287,0,0,Recon
MaddBrooo,Caustic,255,0,0,Controller
MaddBrooo,Lifeline,1290,297304,0,Support
MaddBrooo,Pathfinder,363528,78030115,20719,Skirmisher
MaddBrooo,Loba,244,0,0,Support
MaddBrooo,Mirage,859,0,0,Support
MaddBrooo,Rampart,77,0,0,Controller
MaddBrooo,Valkyrie,146,38324,0,Skirmisher
MaddBrooo,Seer,8,0,0,Recon
MaddBrooo,Ash,0,0,0,Assault
MaddBrooo,Mad Maggie,0,93,0,Assault
MaddBrooo,Newcastle,132,0,0,Support
MaddBrooo,Vantage,157,0,0,Recon
MaddBrooo,Catalyst,0,0,0,Controller
MaddBrooo,Ballistic,0,0,0,Assault
MaddBrooo,Conduit,0,0,0,Support
MaddBrooo,Alter,0,0,0,Skirmisher
AmaneeMisa,Revenant,391,91127,0,Skirmisher
AmaneeMisa,Crypto,0,0,0,Recon
AmaneeMisa,Horizon,10128,1057173,0,Skirmisher
AmaneeMisa,Gibraltar,1184,0,0,Support
AmaneeMisa,Wattson,2134,440037,0,Controller
AmaneeMisa,Fuse,103,0,0,Assault
AmaneeMisa,Bangalore,1901,423977,0,Assault
AmaneeMisa,Wraith,109489,24623782,0,Skirmisher
AmaneeMisa,Octane,1055,235130,0,Skirmisher
AmaneeMisa,Bloodhound,681,0,0,Recon
AmaneeMisa,Caustic,0,0,0,Controller
AmaneeMisa,Lifeline,132796,29249062,3049,Support
AmaneeMisa,Pathfinder,6117,1258468,0,Skirmisher
AmaneeMisa,Loba,25113,5427295,0,Support
AmaneeMisa,Mirage,668,143108,0,Support
AmaneeMisa,Rampart,275,0,0,Controller
AmaneeMisa,Valkyrie,28930,6342048,0,Skirmisher
AmaneeMisa,Seer,0,0,0,Recon
AmaneeMisa,Ash,0,0,0,Assault
AmaneeMisa,Mad Maggie,5,0,0,Assault
AmaneeMisa,Newcastle,18,0,0,Support
AmaneeMisa,Vantage,124,0,0,Recon
AmaneeMisa,Catalyst,299,0,0,Controller
AmaneeMisa,Ballistic,0,0,0,Assault
AmaneeMisa,Conduit,21936,0,0,Support
AmaneeMisa,Alter,0,0,0,Skirmisher
xoKaiz,Revenant,88,18184,0,Skirmisher
xoKaiz,Crypto,0,0,0,Recon
xoKaiz,Horizon,339994,67510470,12051,Skirmisher
xoKaiz,Gibraltar,168,53666,0,Support
xoKaiz,Wattson,91,24084,1,Controller
xoKaiz,Fuse,120,0,0,Assault
xoKaiz,Bangalore,2641,719486,116,Assault
xoKaiz,Wraith,2424,667786,93,Skirmisher
xoKaiz,Octane,1232,313438,46,Skirmisher
xoKaiz,Bloodhound,202,0,0,Recon
xoKaiz,Caustic,111,0,0,Controller
xoKaiz,Lifeline,861,0,0,Support
xoKaiz,Pathfinder,158,0,0,Skirmisher
xoKaiz,Loba,585,0,0,Support
xoKaiz,Mirage,132,0,2,Support
xoKaiz,Rampart,103,0,0,Controller
xoKaiz,Valkyrie,294,0,0,Skirmisher
xoKaiz,Seer,354,0,0,Recon
xoKaiz,Ash,55,0,0,Assault
xoKaiz,Mad Maggie,67,0,0,Assault
xoKaiz,Newcastle,2,0,0,Support
xoKaiz,Vantage,40,0,0,Recon
xoKaiz,Catalyst,59,0,0,Controller
xoKaiz,Ballistic,85,0,0,Assault
xoKaiz,Conduit,43,0,0,Support
xoKaiz,Alter,0,0,0,Skirmisher
HappieVIII,Revenant,873,58285,0,Skirmisher
HappieVIII,Crypto,82,0,0,Recon
HappieVIII,Horizon,235985,51520613,10000,Skirmisher
HappieVIII,Gibraltar,1318,0,0,Support
HappieVIII,Wattson,98,0,0,Controller
HappieVIII,Fuse,24,0,0,Assault
HappieVIII,Bangalore,1230,0,0,Assault
HappieVIII,Wraith,16176,0,0,Skirmisher
HappieVIII,Octane,2807,0,0,Skirmisher
HappieVIII,Bloodhound,1366,0,0,Recon
HappieVIII,Caustic,189,0,0,Controller
HappieVIII,Lifeline,720,0,0,Support
HappieVIII,Pathfinder,5588,977129,198,Skirmisher
HappieVIII,Loba,1142,56573,10,Support
HappieVIII,Mirage,125,0,0,Support
HappieVIII,Rampart,0,0,0,Controller
HappieVIII,Valkyrie,2094,0,0,Skirmisher
HappieVIII,Seer,0,0,0,Recon
