player_name,career_kills,career_wins,career_revives
Sizzifide,109500.0,6677.868685381999,13007.100769475233
CRUELSUMMER,96375.0,5377.0,8981.0
Rainsinz,101700.0,7436.0,11176.0
TIE_,79933.0,5039.5682595674725,10790.8590132028
GohSU | No1#Bronze Na/Eu/Asia,80930.0,5094.811792037357,10865.590742191322
Dibzzer,112792.0,6860.277621079954,13253.857892675045
TLC | cyzeee,82678.0,2720.0,7601.0
震惊！,89222.0,5554.269536511063,11487.130859315514
FIowies,123869.0,5979.0,12623.005179308802
Asset_BF,108352.0,6381.0,10025.0
Penguin,113755.0,6306.0,11583.0
Cyree16,135142.0,10727.0,13693.0
Curiharaa,79588.0,5368.0,8449.0
ttv@LungeChloe,87916.0,2704.0,8674.330125304183
Jruizslayer_ttv,80075.0,6576.0,12008.0
The Dankster,128322.0,7720.791221137437,14417.933871804173
Single998 on Twitch,108279.0,5845.0,10517.0
AmaneeMisa,357870.0,20439.991212508663,31624.071209674927
C C 4090,82963.0,4545.0,8226.0
EnhanceYo|Twitch,130837.0,7860.1467719516395,14606.449717748135
Moose,100283.0,6167.156911284779,12316.225798475029
KaponiTTV,121073.0,6586.0,13158.073366452474
WowItzMaazi on Disney,91581.0,5300.0,14729.0
THESOULKEEPER,80269.0,5622.0,8682.0
gaggimah,79960.0,5041.064323134861,10792.88284136999
FL mo-mon_,87294.0,5447.4395158471325,11342.614536858273
JIkmon33,85185.0,6633.0,8953.0
Logic,108415.0,7096.0,13637.0
PrettyBondGirl,89018.0,4371.0,9600.0
Casado Tbm Joga,100831.0,7439.0,13570.626457325709
AQUA peeks,116686.0,7076.043233354509,13545.738888343352
MoonPakuTV,204860.0,11961.743566353125,20154.962029601025
o Hazeee,85912.0,3604.0,9512.229997629336
DFPite,81086.0,5103.45571487116,10877.283971601762
khryxsOnTiktok,87590.0,4219.0,10148.19123038191
Neo lll,189835.0,14550.0,15469.0
Incarnate002,109290.0,6666.2326354134175,12991.359883730409
CloverWzy,120203.0,4534.0,11134.509399225219
Brutus le Cactus,89419.0,5565.185259576828,11501.897309276133
HappieVIII,276305.0,15920.49399494983,25510.236229786497
Dxcimxtion-,126943.0,7644.381159677085,14314.568722079828
HorizxnBeams,99655.0,6132.359580902545,12269.153054438128
Gojo Satoru,122373.0,4553.0,8602.0
Her wraif,114028.0,4836.0,14549.0
Sweaty_Maddie,95801.0,3870.0,9977.92263120199
Lightninnnnnnng,91043.0,4153.0,9779.0
ivv,95559.0,4511.0,10599.351686705555
naln/twitch,87696.0,5469.714240072703,11372.747089569792
Tangemper,111395.0,10981.0,7874.0
BATTLEKINGx1,120859.0,7307.26816915875,13858.532775072641
Not Lean,97159.0,5994.05681556169,12082.061383871076
NoRr1se-x,89097.0,6181.0,9479.0
