player_name,career_kills,career_wins,career_revives
MaddBrooo,371161.47,20925.69,29387.898
AmaneeMisa,352393.06,6391.1406,13377.341
xoKaiz,336777.72,12012.8955,16063.915
Po The Dragon Warrior,277415.0,16996.846,13425.722
Akes,96859.375,6491.8706,13666.052
HappieVIII,272037.2,10986.506,18111.84
imVashy,226716.28,12679.186,25353.805
Star-WayZ-,221557.06,6443.964,13507.281
TtvTitanStar01___,217245.89,12729.788,30451.725
zaeezyy,213376.5,6447.12,13517.715
RezMeNoVa,211066.14,14108.973,51912.39
Splugz,206682.9,11133.026,18490.2
TTV-Bear22345,204471.75,5387.0703,15511.828
MoonPakuTV,203413.62,7657.74,13529.207
Gribzu,199145.28,10953.111,20428.277
Firefray,194355.25,6454.423,13541.919
fearzypoo,193807.16,6454.625,13542.607
king__ksa501_,192147.42,11420.291,13539.829
JoeyyHydroTV,189600.97,12944.695,29112.809
ExB_Artillery,187788.81,6456.9487,13550.27
viicro,185922.02,15187.191,17806.582
GomiaimPanda,183334.34,14719.159,13547.8
Kashinzu,182884.83,9256.339,16294.769
Overstays,182528.44,6458.9565,13556.97
Swytchers-,181627.0,10186.251,18743.984
ProblemLifts,178203.97,10769.56,13558.229
ttv-flacoscott,177333.03,10386.259,13559.72
cziggyy,176527.03,6461.2666,13564.626
Dvixo-,176508.53,11497.418,13559.671
CLUMSYBOMB072,175563.3,6894.322,9876.744
Benny,96859.37,6491.87,13666.059
MonstarFlies,173654.83,6462.3745,13568.282
HY_0316,173506.81,6462.4307,13568.474
xrAkiirax--,172780.58,10062.568,22868.084
lYORia_,172314.73,6462.8857,13569.981
DemoniioTV | Twitch,171926.78,8591.057,15792.149
zCafinity,171343.94,12718.426,13565.04
AzayBae,169938.88,9151.258,32185.697
6AINZZ,172437.84,7605.5166,14883.559
ShimaRin_Ni,168457.34,11956.756,18131.316
MayBabyMarcusTV,167411.05,11806.219,36882.504
NefanSWT,167178.03,11123.385,13571.922
luispereira155,166843.92,7633.9126,13835.11
Dabs_are_better,165981.98,10554.402,20795.299
pgKevn,164135.19,6466.0225,13580.41
Gigshot | YouTube,163307.12,6466.348,13581.474
yMaico_L,162713.12,11229.504,34855.305
xkefkaVI,162119.62,8226.514,17517.375
Fusionly,161878.78,8975.846,13580.799
Memphii_KickTV,161565.53,13569.059,18130.455
GetGoodSweetie,161164.6,10263.621,24552.865
Mr_LuckyStar,161122.89,9972.984,13833.053
