player_name,career_kills,career_wins,career_revives
EgoistaTv,86058.0,5953.0,12400.4
i-PearlSwishers,93037.0,4753.0,12656.0
CxmplexNative,67804.0,4635.0,12111.0
ObjectiveTaken,87281.0,7579.0,12917.0
FCE JeW,76143.0,5553.0,9753.0
MatchboxTV,88236.0,6376.4,10117.4
Lukologist,64574.0,4236.0,5966.0
Tabassco,66857.0,4316.4,9758.2
xManumbollx_PR,107753.0,7672.4,22400.0
xItzLazzy,123374.0,8570.6,21136.8
JuTVBaby,90903.0,9713.0,21400.0
TheGreatViz,67777.0,4482.0,16374.0
xXRandomHobo1Xx,85468.0,6354.4,11530.2
YamchaOnFortnite,86540.0,5197.0,20285.0
Onysm,68057.0,4355.0,12679.8
G-I-Jane11,80926.0,6415.2,13982.0
RipaSticky1,69556.0,5353.6,9295.0
HufflePuffTV,137248.0,7085.0,26776.0
l Nyako l,64505.0,4548.0,8709.8
lSh1nnoK_-,89866.0,7149.0,12166.0
luv eeoki,82247.0,5768.8,14352.2
sporadicfury_,92154.0,5811.2,15932.0
EpicTotally,90723.0,5297.0,12782.4
xDivineStark,94396.0,11539.0,13909.0
MONO nessie,67154.0,4946.2,10813.6
Hqzikqmi,81289.0,5855.8,12017.0
HY_0316,173485.0,9213.0,18562.8
DiamondJJTV,94552.0,4920.0,12956.0
TSM ikemen,103931.0,8271.4,14820.8
vVytor,78563.0,4913.0,13965.8
vKrisse,128601.0,8242.8,17338.6
MoonPakuTV,203387.0,7712.0,25207.6
Way2Fruity,91663.0,6756.0,18913.0
MrMofongo,81897.0,5482.2,13978.0
modDRACARYS,89538.0,6889.4,20793.0
JukeBoxHero336,65045.0,3537.8,10615.2
CuteLilEgo,93758.0,5768.0,25035.0
rallykidthegreat,98249.0,5115.0,10756.6
official,96842.70955882352,6507.2147995889,13735.802455357143
Thee Mikey,71182.0,5063.0,10932.0
GENNXU,142145.0,8327.6,17723.0
hipposterity,84931.0,5170.0,14215.2
JoeyyHydroTV,189569.0,12973.0,29240.0
TNTG AGRO,65334.0,4210.2,13161.0
Lqsuq,121017.0,6254.0,16200.0
Laystra,66039.0,3060.8,9894.4
Omar14Shh,118183.0,7108.0,17835.0
Billy Butcher,20895.0,507.0,3288.0
Flipping Bricks,69572.0,5754.0,11936.6
LT-Treyfilth,106125.0,8117.0,14212.2
DIEINTHESEA,87969.0,7560.0,17948.0
imWIFl,85228.0,7668.0,9227.0
DanieIsV2,94494.0,5279.2,12419.0
xShane_TV,121659.0,8516.0,16647.0
Seven AImighty,66693.0,4959.0,9783.0
Resrect,125708.0,10303.2,13136.0
yAlbralulu_,100637.0,6722.8,13741.2
JakeTrox,131006.0,8132.0,17386.4
XoticcccTV,87485.0,5550.0,10406.0
Mirage-God,135390.0,8942.0,14200.0
Future Stepmom,92692.0,6292.6,13984.4
Kyruva,108360.0,7111.4,15991.8
