player_name,career_kills,career_wins,career_revives
0Juan23,101402.0,9202.0,11635.0
0Skill but im kind,69383.0,5746.733333333334,10705.0
114114114114114,84891.0,6821.0,6859.0
6AINZZ,172414.0,7647.0,15045.0
@Doctoena,89970.0,7397.599999999999,11628.733333333332
@crewsn,81616.0,4211.0,7167.0
@vit-fps (youtube),68977.0,4367.466666666666,10431.533333333333
A Dirty Dragon,71308.0,5002.0,26968.8
A POLO G,130260.0,10124.0,16720.0
A12120NA,83720.0,52.0,12802.800000000001
AAG_Wolfy,106577.0,4046.0,15946.666666666666
AA_R_E_S_,93312.0,6254.0,12485.0
ABIDE_Mickeyboy,111962.0,6155.0,13585.0
AC Skullbreaker,97909.0,9905.0,11180.199999999999
AG TO OP,104367.0,7696.933333333333,26020.933333333334
AIM-ga-TORISU,118149.0,8840.0,13211.6
AIfxnzy-,109416.0,10027.933333333332,12350.0
ALSHANAB__,115406.0,8209.0,16009.0
AOTP DEIMOS,97241.0,7892.0,12919.133333333333
APex_WHITEWOLF,89942.0,2907.0,8826.0
AQUA peeks,117913.0,9076.866666666667,12169.199999999999
AQUAS_SPIRIT,102648.0,8728.0,12011.0
ARN Staan,83205.0,5670.066666666667,11032.6
ARODR1_TTG,147097.0,10991.0,17015.133333333335
AUSTINN TTV,67881.0,3782.0,17707.466666666667
AWESOME4SUMM,107822.0,6177.0,15381.0
AalkyTV,69506.0,5315.0,10270.0
Abisx,83694.0,3555.3333333333335,28006.933333333334
Above Faded,66398.0,9665.533333333333,9856.6
Above Times,107125.0,7875.266666666666,13903.199999999999
Abusing Ya,75762.0,8498.0,12729.0
Abyss,116632.23651960783,11659.738266529634,12560.267485119048
AbyssionHanmaTTV,149355.0,10632.0,33989.26666666667
AcedHigh,82080.0,6589.0,11165.0
Aces Kunai,180376.0,10579.0,16149.0
Adicx,65580.0,4374.0,15733.0
Aensu,75949.0,7009.0,11485.0
Aerosu,110115.0,9378.0,20168.0
Afghanihan,82162.0,6477.0,10906.6
AgeB4beauty0,95507.0,7826.866666666666,11895.4
AhMaD_m15,80579.0,7796.733333333334,10763.466666666667
Ahzyee,86550.0,8401.4,14129.6
Ai SKITZZ,78224.0,7850.400000000001,11195.933333333334
AiiiFl,84393.0,7706.333333333333,17372.0
AimAssistAbxsrTV,106647.0,7690.266666666666,14010.866666666667
Airflow_11,103991.0,8999.933333333332,10705.0
Akes,116632.23651960783,11659.738266529634,12560.267485119048
Akuma_Bardo-,85944.0,6326.0,11780.0
Albanian B0T,67547.0,5975.2,10374.0
AlgoSween,85945.0,4208.0,16175.0
AllefSan,71652.0,4043.866666666667,14856.666666666666
AlmostAHero,64617.0,4257.0,13072.0
AltermatumTV,99919.0,5695.0,28315.0
Alunzy,70247.0,5859.666666666667,9473.0
AmaneeMisa,352185.0,13458.933333333334,20973.2
Ambytionz,67595.0,4139.0,10759.0
AnarchYStone,69988.0,2912.0,7329.0
AnchorQluch,69556.0,3406.0,13221.466666666667
AngryfenceEU,79086.0,6856.400000000001,13546.533333333333
Anniiyyy,110092.0,9743.266666666666,12814.133333333333
Antix,116632.23651960783,11659.738266529634,12560.267485119048
Apertures,139799.0,10223.733333333334,28061.600000000002
Apoptosis,82710.0,9002.666666666666,10601.0
Arczr,64877.0,8960.066666666668,10635.266666666666
Aryuh,108279.0,8660.133333333333,13449.0
Ash,116632.23651960783,11659.738266529634,12560.267485119048
AshPlaysApex,91602.0,7209.0,21907.0
AthenasMerci || Twitch,109488.0,10027.933333333332,11720.866666666667
AtollSucrerie03,81426.0,4065.0,28523.0
Aurelius77777,137016.5,10482.0,33574.666666666664
Authority7-_-,83484.0,4788.0,12137.0
Auto Pilot Disengage,72231.0,9827.533333333333,11191.4
Aw R U Cryin,67635.0,4292.0,9238.0
Awesome_Tryhard,85950.0,8847.6,12681.0
AxT_iBertz1n,100534.0,7439.0,28826.13333333333
Axviyx,84331.0,7848.866666666666,17689.466666666667
Aye Papii Jr,94682.0,4878.0,15906.199999999999
AylaMaiden,95284.0,8145.466666666667,13176.933333333334
Ayo Thirsty,64587.0,9233.533333333333,9106.133333333333
AyyNooor,92087.0,8248.933333333332,13166.133333333333
AzayBae,169918.0,9176.0,32271.0
B like Laddo,87867.0,6478.133333333334,11973.0
BAKUGEKINISHIDA,148777.0,8012.0,14565.0
BE LIKE STAR,129134.0,7205.0,17138.0
BEL1AL 22,65557.0,4481.0,29599.2
BE_ULTRA_,128079.0,16384.0,19026.266666666666
BFF_KOJI,96801.0,5534.0,20285.866666666665
BIGBangSlays,76288.0,7211.0,11845.0
BIack_Mamba_4eva,81486.0,8326.066666666668,13673.666666666666
BIeeds,145782.5,11035.166666666666,17759.566666666666
BLiNdhashtag,82804.0,7575.066666666667,9916.0
BMiNG,64908.0,3523.0,8505.0
BOYgynnn,84618.0,6282.0,8816.0
BRO IM MASTER WITH FIRST ACOUNT,90268.0,9299.866666666667,12403.6
BROKEN CHAIR123,84196.0,7986.599999999999,18191.333333333332
BS Campy,65086.0,8811.4,10728.0
BSx Reyes,70134.0,4492.0,17545.533333333333
BUFF AIM ASSIST,73925.0,4963.0,9647.0
B_I_T_S__,81909.0,5463.0,27594.399999999998
Babby-Aiko,144581.0,10514.4,23948.0
Babu77,64303.0,6618.599999999999,7617.0
Bacawakaa,117932.0,5731.0,14591.0
BadFish-95,84537.0,5519.0,15708.266666666668
BadSportFCH,67257.0,9459.333333333334,10337.466666666667
BagUrBox,75016.0,9221.533333333333,13026.0
BaghelzTV,75293.0,9523.199999999999,12860.0
BarbaricTV,82921.0,7492.0,10712.0
BaruMan_11,81079.0,8762.333333333334,9135.0
BbyBala,86768.0,8368.6,13013.0
Bee is Niceu,69232.0,5729.2,10011.0
Beenito,107096.0,8066.0,10857.0
Belker-x-,87911.0,7233.8,12314.199999999999
Benny,116632.23651960783,11659.738266529634,12560.267485119048
Berlutii,73792.0,6916.066666666667,14225.6
BettiiLB,66546.0,4235.0,14493.0
Beyond Trickz,84939.0,7913.066666666667,11440.533333333333
Big Monoo,75526.0,5607.0,26620.933333333334
BigBoyGibby101,111236.0,10395.466666666667,18230.8
BigEqrth_,91640.0,8034.599999999999,13307.199999999999
BigPizzaaaaaaah,102235.0,8129.0,11626.0
BigRagaTag,64653.0,2894.0,7790.0
BigSchniedel,110643.0,10373.533333333333,20852.333333333332
Big_Sssssslime,91764.0,8226.333333333334,13534.666666666666
BiirdGrEnade,76616.0,10024.666666666666,14642.0
Bilbil-Marsifin,96443.0,8594.933333333332,13378.6
Billy Butcher,76804.5,6041.533333333333,8439.9
Biltdifrint,79464.0,4493.0,9953.0
Biohazardsv,98690.0,5481.0,11055.0
BladeGamesGG,103586.0,8699.0,12307.0
Blank___NoName,90350.0,8667.0,12371.866666666667
Blaziann-,120331.0,8498.4,16728.0
BleedElectrc,96815.0,7170.599999999999,14120.0
Blessed,116632.23651960783,11659.738266529634,12560.267485119048
BlinkQuicker,75740.0,5617.466666666667,16630.666666666668
Blitzy,70430.0,4674.0,29822.066666666666
Blizzes,183531.0,9695.0,17636.0
Blokybloke,96082.0,8263.333333333334,12746.866666666667
BloodChilean,97553.0,8784.866666666667,10931.4
BloodCrime_TV,103740.0,7775.933333333333,12317.0
Bloodwars2003,129019.0,8325.0,27387.0
Bluuu_Bluuuu,85598.0,7831.0,9400.0
Blvnkoo,67051.0,9115.266666666666,11222.866666666667
BoBoOnlyGod,69152.0,5745.666666666667,14928.466666666667
BoLaDaaO_,103900.0,8767.0,12245.0
Bobbywittdatool,77852.0,6670.2,16027.199999999999
Bodiesuper,89773.0,5519.0,11576.0
Booklescs,108025.0,9075.666666666666,12878.466666666667
Born_2_Kill007,83929.0,5686.133333333334,12516.800000000001
BossRolls,84462.0,4740.0,18832.866666666665
Boubou971TTV,145368.0,9489.666666666666,14575.199999999999
Bowlesy89,213721.0,14531.0,23696.0
Bra1nl3ssTTV,88938.0,6226.0,15505.0
Brawler Jace,71995.0,9593.066666666668,12235.0
BroNr4,90108.0,7613.599999999999,12142.199999999999
BrockoliandPeas,92017.0,8406.466666666667,13166.133333333333
Brts--,105195.0,9320.533333333333,12114.666666666666
BuNz GLaZiN,69541.0,6121.533333333333,10156.466666666667
