player_name,career_kills,career_wins,career_revives
Jwallzee,80000.0,6099.0,12159.5
D1shiq,94287.0,7512.0,15939.0
FatalOrb8837,88375.0,6099.0,12159.5
Ricky_Samuraii,108497.0,5276.0,12469.0
OGraycst,69533.0,6407.0,6359.0
l Love Debbie,125072.0,6099.0,12159.5
Voidable-V3,112398.0,6099.0,12159.5
NoRr1se-x,88159.0,6107.0,9382.0
Rave_saki_2408,99147.0,6923.0,12024.0
I Sense Danger,86964.0,6099.0,12159.5
BFF_KOJI,96801.0,5534.0,12159.5
Dracon lll,70623.0,6099.0,12159.5
GiftedMel,96215.0,6099.0,12156.0
KaibraltarAF | TV KICK,93057.0,4897.0,14353.0
lK_BrainZ-_,98568.0,6793.0,12159.5
MoonPakuTV,203387.0,7712.0,12159.5
rallykidthegreat,98249.0,5115.0,12159.5
Qasomy,103369.0,6099.0,12159.5
St4rFox EU,65706.0,4646.0,16654.0
CosiestCanvas37,77235.0,6099.0,12159.5
i-PearlSwishers,93037.0,4753.0,12656.0
xDr0pped,76873.0,6099.0,11715.0
ARN Staan,83205.0,6099.0,12159.5
Laystra,66039.0,6099.0,12159.5
Tzr_xo,112328.0,7488.0,12459.0
tttcheekyttt,89994.0,6099.0,12159.5
didio-_-sob,107840.0,8397.0,12377.0
BAKUGEKINISHIDA,148777.0,8012.0,14565.0
itzZeldriSs-_-,87551.0,6099.0,12159.5
iRedfield_l,69363.0,6099.0,12159.5
Kyurora,87705.0,7030.0,10309.0
Unholy Blud,110546.0,8054.0,21504.0
KannaTTV,104352.0,6099.0,11924.0
R99AndADream,67354.0,6099.0,12159.5
SARGITTARIUS A,76412.0,6099.0,10803.0
KizzMyKunaii,66663.0,6099.0,12159.5
AcedHigh,82080.0,6589.0,11165.0
OverfalI,83163.0,8050.0,10542.0
Rinzler Victis,65531.0,3055.0,10885.0
RaIKunq-,115119.0,5626.0,13805.0
Dreken-,83923.0,6099.0,12159.5
SeLvDoR,108471.0,6099.0,12159.5
HomieChrisG,87502.0,6099.0,12159.5
XBoxJJ5026,83173.0,3662.0,15139.0
JustNeno__,90615.0,6099.0,12363.0
Lord-_-HovbergDK,123978.0,8725.0,13722.0
III_V_XVII,86352.0,6099.0,12159.5
parxdoqZ,80509.0,6099.0,12159.5
TTVF0LDup,83523.0,6099.0,12159.5
