player_name,career_kills,career_wins,career_revives
Jwallzee,80000.0,5412.500557871667,12078.215938728743
D1shiq,94287.0,7512.0,15939.0
FatalOrb8837,88375.0,5904.910754031632,12932.634612815442
Ricky_Samuraii,108497.0,5276.0,12469.0
OGraycst,69533.0,6407.0,6359.0
l Love Debbie,125072.0,8062.519944298163,16676.467697347936
Voidable-V3,112398.0,7317.348979983968,15383.46444058676
NoRr1se-x,88159.0,6107.0,9382.0
Rave_saki_2408,99147.0,6923.0,12024.0
I Sense Danger,86964.0,5821.950660087547,12788.684195008118
BFF_KOJI,96801.0,5534.0,12857.198837798234
Dracon lll,70623.0,4861.177523914415,11121.573084172207
GiftedMel,96215.0,6153.006487391664,12156.0
KaibraltarAF | TV KICK,93057.0,4897.0,14353.0
lK_BrainZ-_,98568.0,6793.0,14284.229127242015
MoonPakuTV,203387.0,7712.0,19317.94610573329
rallykidthegreat,98249.0,5115.0,12460.787938990226
Qasomy,103369.0,6786.4866920880495,14462.324594816157
St4rFox EU,65706.0,4646.0,16654.0
CosiestCanvas37,77235.0,5249.931699079751,11796.130251104894
i-PearlSwishers,93037.0,4753.0,12656.0
xDr0pped,76873.0,5222.354846669882,11715.0
ARN Staan,83205.0,5600.939325476764,12405.19048803595
Laystra,66039.0,4591.66011027892,10653.912761543737
Tzr_xo,112328.0,7488.0,12459.0
tttcheekyttt,96842.70955882376,6402.771831629963,13796.511529090247
didio-_-sob,107840.0,8397.0,12377.0
BAKUGEKINISHIDA,148777.0,8012.0,14565.0
itzZeldriSs-_-,87551.0,5856.463470254221,12848.57001729933
iRedfield_l,69363.0,4787.095512313036,10993.027707533493
Kyurora,87705.0,7030.0,10309.0
Unholy Blud,110546.0,8054.0,21504.0
KannaTTV,104352.0,6488.15173170821,11924.0
R99AndADream,67354.0,4668.975860481947,10788.069245892872
SARGITTARIUS A,76412.0,5078.460767697344,10803.0
KizzMyKunaii,66663.0,4628.348344595794,10717.573329021958
AcedHigh,82080.0,6589.0,11165.0
OverfalI,83163.0,8050.0,10542.0
Rinzler Victis,65531.0,3055.0,10885.0
RaIKunq-,115119.0,5626.0,13805.0
Dreken-,83923.0,5643.15431304009,12478.440948691981
SeLvDoR,108471.0,7086.460043826334,14982.831350062763
HomieChrisG,87502.0,5853.58250313639,12843.571030430046
XBoxJJ5026,83173.0,3662.0,15139.0
JustNeno__,90615.0,5928.745472436109,12363.0
Lord-_-HovbergDK,123978.0,8725.0,13722.0
III_V_XVII,86352.0,5785.967968738305,12726.247869212171
parxdoqZ,80509.0,5442.427338748733,12130.144190085175
TTVF0LDup,83523.0,5619.6362141190175,12437.632892616199
Nachozkiller,88126.0,7813.0,10894.0
IIAndre96II,108227.0,9246.0,17304.31103309533
yannifrl,118296.0,5455.0,13561.0
N9x opr33ssor,65809.0,4578.137203399303,10630.448129300163
ITzNotBuckss,90891.0,6052.8395962451805,13189.317285532115
Jossenko,100507.0,6276.0,13250.0
nH_NoroCR,107631.0,6246.0,13945.0
Velkliq,131086.0,8416.114561576494,17290.01682044733
xKARMAxJMB,92053.0,6844.0,14088.058652944253
Dibzzer,104078.0,6828.172522425652,14534.656874210481
MezzyTheGod,107898.0,7530.0,10544.0
BoBoOnlyGod,69152.0,4774.68971513217,10971.501457953516
nyiu,104321.0,6842.459767520203,14559.44776827652
Midnight-Organic,121847.0,7872.905271747013,16347.452745236937
