player_name,career_kills,career_wins,career_revives
Jwallzee,80000.0,4451.0,9095.0
D1shiq,94287.0,7512.0,15939.0
FatalOrb8837,88375.0,6318.0,9857.0
Ricky_Samuraii,108497.0,5276.0,12469.0
OGraycst,69533.0,6407.0,6359.0
l Love Debbie,125072.0,14683.0,10644.0
Voidable-V3,112398.0,6155.0,13585.0
NoRr1se-x,88159.0,6107.0,9382.0
Rave_saki_2408,99147.0,6923.0,12024.0
I Sense Danger,86964.0,4544.0,7831.0
BFF_KOJI,96801.0,5534.0,14120.0
Dracon lll,70623.0,4060.0,10462.0
GiftedMel,96215.0,5701.0,12156.0
KaibraltarAF | TV KICK,93057.0,4897.0,14353.0
lK_BrainZ-_,98568.0,6793.0,11742.0
MoonPakuTV,203387.0,7712.0,13994.0
rallykidthegreat,98249.0,5115.0,13114.0
Qasomy,103369.0,8848.0,21014.0
St4rFox EU,65706.0,4646.0,16654.0
CosiestCanvas37,77235.0,6804.0,11715.0
i-PearlSwishers,93037.0,4753.0,12656.0
xDr0pped,76873.0,6804.0,11715.0
ARN Staan,83205.0,3371.0,10336.0
Laystra,66039.0,3200.0,8779.0
Tzr_xo,112328.0,7488.0,12459.0
tttcheekyttt,102645.0,7462.0,11130.0
didio-_-sob,107840.0,8397.0,12377.0
BAKUGEKINISHIDA,148777.0,8012.0,14565.0
itzZeldriSs-_-,87551.0,4204.0,13658.0
iRedfield_l,69363.0,4386.0,8068.0
Kyurora,87705.0,7030.0,10309.0
Unholy Blud,110546.0,8054.0,21504.0
KannaTTV,104352.0,6953.0,11924.0
R99AndADream,67354.0,3764.0,9742.0
SARGITTARIUS A,76412.0,5583.0,10803.0
KizzMyKunaii,66663.0,3205.0,9021.0
AcedHigh,82080.0,6589.0,11165.0
OverfalI,83163.0,8050.0,10542.0
Rinzler Victis,65531.0,3055.0,10885.0
RaIKunq-,115119.0,5626.0,13805.0
Dreken-,83923.0,2809.0,13703.0
SeLvDoR,108471.0,5777.0,10336.0
HomieChrisG,87502.0,4959.0,10730.0
XBoxJJ5026,83173.0,3662.0,15139.0
JustNeno__,90615.0,8667.0,12363.0
Lord-_-HovbergDK,123978.0,8725.0,13722.0
III_V_XVII,86352.0,8109.0,13366.0
parxdoqZ,80509.0,7739.0,9142.0
TTVF0LDup,83523.0,5265.0,9807.0
Nachozkiller,88126.0,7813.0,10894.0
IIAndre96II,108227.0,9246.0,17001.0
yannifrl,118296.0,5455.0,13561.0
N9x opr33ssor,65809.0,3301.0,8623.0
ITzNotBuckss,90891.0,8142.0,16334.0
Jossenko,100507.0,6276.0,13250.0
nH_NoroCR,107631.0,6246.0,13945.0
Velkliq,131086.0,8132.0,13456.0
xKARMAxJMB,92053.0,6844.0,11030.0
Dibzzer,104078.0,5813.0,12336.0
MezzyTheGod,107898.0,7530.0,10544.0
BoBoOnlyGod,69152.0,5948.0,24071.0
nyiu,104321.0,5676.0,11146.0
Midnight-Organic,121847.0,8516.0,10980.0
kam,102645.0,7462.0,11130.0
Grayson Jiller,78357.0,6780.0,14586.0
Obo-_-Ro,99420.0,8933.0,14401.0
zFemto,105067.0,5399.0,12163.0
Danny Be Krazie,71618.0,2826.0,7102.0
Bloodwars2003,129019.0,8325.0,27387.0
DraxxSklount,66287.0,4742.0,8328.0
MalFoYs_FaThEr,88699.0,4669.0,9596.0
Slay Gravy,96777.0,6768.0,20822.0
BiirdGrEnade,76616.0,5105.0,14642.0
XphilthysX,81066.0,5443.0,10300.0
Evil z35,95987.0,7134.0,10476.0
ImBeachedAz-,89203.0,4422.0,10160.0
Memphii_KickTV,161530.0,13594.0,18270.0
Nicksxn,102645.0,7462.0,11130.0
SpartenTTV,64443.0,4693.0,8695.0
alstrx,80501.0,7739.0,9142.0
Twitch ewbeans,76858.0,4067.0,8070.0
