player_name,career_kills,career_wins,career_revives
Jwallzee,80000.0,5039.05517578125,12226.7529296875
D1shiq,94287.0,7512.0,15939.0
FatalOrb8837,88375.0,5410.6015625,9982.8994140625
Ricky_Samuraii,108497.0,5276.0,12469.0
OGraycst,69533.0,6407.0,6359.0
l Love Debbie,125072.0,8915.318359375,11986.9619140625
Voidable-V3,112398.0,9061.2548828125,18091.943359375
NoRr1se-x,88159.0,6107.0,9382.0
Rave_saki_2408,99147.0,6923.0,12024.0
I Sense Danger,86964.0,5989.41015625,14808.4130859375
BFF_KOJI,96801.0,5534.0,13649.2763671875
Dracon lll,70623.0,3685.105712890625,13821.228515625
GiftedMel,96215.0,5440.5244140625,12156.0
KaibraltarAF | TV KICK,93057.0,4897.0,14353.0
lK_BrainZ-_,98568.0,6793.0,10526.9345703125
MoonPakuTV,203387.0,7712.0,17809.091796875
rallykidthegreat,98249.0,5115.0,10048.8291015625
Qasomy,103369.0,7628.98291015625,15176.3095703125
St4rFox EU,65706.0,4646.0,16654.0
CosiestCanvas37,77235.0,6125.46044921875,9686.1484375
i-PearlSwishers,93037.0,4753.0,12656.0
xDr0pped,76873.0,4172.3681640625,11715.0
ARN Staan,83205.0,5340.95751953125,10854.2412109375
Laystra,66039.0,3408.077880859375,8597.5908203125
Tzr_xo,112328.0,7488.0,12459.0
tttcheekyttt,88283.15625,5485.7333984375,10682.6826171875
didio-_-sob,107840.0,8397.0,12377.0
BAKUGEKINISHIDA,148777.0,8012.0,14565.0
itzZeldriSs-_-,87551.0,5796.537109375,11583.78125
iRedfield_l,69363.0,4533.6953125,14745.103515625
Kyurora,87705.0,7030.0,10309.0
Unholy Blud,110546.0,8054.0,21504.0
KannaTTV,104352.0,6637.63623046875,11924.0
R99AndADream,67354.0,4268.9873046875,9795.2705078125
SARGITTARIUS A,76412.0,6111.6484375,10803.0
KizzMyKunaii,66663.0,4716.28173828125,10047.7451171875
AcedHigh,82080.0,6589.0,11165.0
OverfalI,83163.0,8050.0,10542.0
Rinzler Victis,65531.0,3055.0,10885.0
RaIKunq-,115119.0,5626.0,13805.0
Dreken-,83923.0,4309.5869140625,11872.1376953125
SeLvDoR,108471.0,8095.19970703125,18404.880859375
HomieChrisG,87502.0,6107.13427734375,11888.4775390625
XBoxJJ5026,83173.0,3662.0,15139.0
JustNeno__,90615.0,6869.2998046875,12363.0
Lord-_-HovbergDK,123978.0,8725.0,13722.0
III_V_XVII,86352.0,7290.65087890625,12639.2802734375
parxdoqZ,80509.0,5997.142578125,11509.556640625
TTVF0LDup,83523.0,3568.792724609375,12734.6328125
Nachozkiller,88126.0,7813.0,10894.0
IIAndre96II,108227.0,9246.0,17163.78125
yannifrl,118296.0,5455.0,13561.0
N9x opr33ssor,65809.0,3321.2548828125,9978.763671875
ITzNotBuckss,90891.0,6882.1298828125,19533.146484375
Jossenko,100507.0,6276.0,13250.0
nH_NoroCR,107631.0,6246.0,13945.0
Velkliq,131086.0,7663.02001953125,17548.265625
xKARMAxJMB,92053.0,6844.0,19289.234375
Dibzzer,104078.0,8163.22265625,15011.1494140625
MezzyTheGod,107898.0,7530.0,10544.0
BoBoOnlyGod,69152.0,4603.43798828125,11062.998046875
nyiu,104321.0,7089.908203125,16713.451171875
Midnight-Organic,121847.0,8335.7197265625,17366.3671875
kam,88283.15625,5485.7333984375,10682.6826171875
Grayson Jiller,78357.0,6780.0,13268.341796875
Obo-_-Ro,99420.0,8933.0,14401.0
zFemto,105067.0,5399.0,12163.0
Danny Be Krazie,71618.0,5051.6650390625,12810.7041015625
Bloodwars2003,129019.0,8325.0,27387.0
DraxxSklount,66287.0,4742.0,8328.0
MalFoYs_FaThEr,88699.0,4669.0,9596.0
Slay Gravy,96777.0,6768.0,14741.4892578125
BiirdGrEnade,76616.0,5559.564453125,14642.0
XphilthysX,81066.0,5443.0,11942.8896484375
Evil z35,95987.0,4919.34912109375,11951.802734375
ImBeachedAz-,89203.0,6188.8369140625,12585.2568359375
Memphii_KickTV,161530.0,13594.0,18270.0
Nicksxn,88283.15625,5485.7333984375,10682.6826171875
SpartenTTV,64443.0,4877.400390625,7882.640625
alstrx,80501.0,7739.0,11866.5478515625
Twitch ewbeans,76858.0,4067.0,8070.0
f3ar_Iuffy,91331.0,6595.0,10503.0
HeHatesTanya,76500.0,6069.37451171875,11324.9619140625
EradicateMMR,93108.0,5858.8330078125,10683.0
Ttv Luminos,76509.0,6069.37451171875,11324.9619140625
PRO 3 STACKER @MileyOsiris,89523.0,10654.0,18071.078125
Yiiks,106870.0,6481.171875,15284.388671875
StarkxxUchiha,87704.0,6380.65380859375,12043.0
sig,97590.0,6630.64404296875,9875.337890625
McGuich,118389.0,6891.0,17759.0
Ttv-Raymond1313,82061.0,6619.09326171875,10710.9921875
BuddyGotDropped,126418.0,9805.0,15888.2587890625
MUVMENT-,138091.0,9829.4814453125,21216.9765625
Xx29smilinjo,83387.0,5164.28466796875,10764.0
Mezenu,78095.0,5842.82177734375,10023.962890625
xoKuraii,84410.0,6020.1875,12054.91015625
BadFish-95,84537.0,5519.0,11443.595703125
MakeMeeLegal,66274.0,4248.875,9294.0
ImInSpaceMan,80939.0,5349.2890625,11686.4423828125
BSx Reyes,70134.0,4492.0,15972.6513671875
Male Rage vs Uncooperative Duvet,74141.0,4835.0,10935.1279296875
Sinuipi,109726.0,7930.0,16243.7900390625
Booklescs,108025.0,7126.7373046875,15673.28125
XpectoPatr0num,71049.0,4823.0,9354.0
vUniqueTV,135090.0,5612.0,13253.0
Lalisa,67791.0,3369.0,8935.0654296875
Twitch-xRiddance,81485.0,5017.50537109375,12095.4375
Dr-Rincewind07,104644.0,6878.08935546875,23779.0
INFINITY-fin_,82040.0,5850.20458984375,11400.4833984375
TwitchNamelessTX,120100.0,7337.0,11842.0
AWESOME4SUMM,107822.0,6177.0,15381.0
xyqkt,72848.0,4856.95458984375,10664.4716796875
Demonianv,82541.0,5228.7900390625,10505.7041015625
iidumplings,67590.0,3005.626220703125,6972.0
Flipping Bricks,69572.0,5754.0,8873.865234375
I Eat Pie 21,132190.0,7743.05712890625,17116.9921875
FallenFateTV,77013.0,6125.46044921875,9686.1484375
Mvvnda,76088.0,6023.7041015625,11827.0
Ideal9194,65683.0,3321.2548828125,9978.763671875
VzGold_,123786.0,7329.2978515625,14440.365234375
Divine Yuuko,131822.0,7820.0,16151.1708984375
Tom master 1860,93339.0,8832.4912109375,13137.43359375
Kyruva,108360.0,8095.19970703125,18404.880859375
iesxi,98867.0,6326.17822265625,13256.0
SadbastiianTV,102223.0,6452.00927734375,14421.34765625
Risperdal,155180.0,12888.0,20529.0
SlumpGodLLJ,150125.0,8247.0,26650.0
Unl1ght_31,98057.0,5962.8486328125,10590.0
Ruziik,88283.15625,5485.7333984375,10682.6826171875
Michael X420X,73778.0,6060.0,10626.0
HuLSsY,103565.0,7630.0,14498.501953125
ULikeMyTaco,80857.0,5052.6640625,13659.080078125
king__ksa501_,192113.0,11464.0,23431.23046875
Zen Satoru,66216.0,3863.3291015625,9881.705078125
Adicx,65580.0,4374.0,15733.0
Vahvy,102281.0,6544.0,9629.869140625
xabzolutexzer0x,116013.0,7877.080078125,15685.427734375
BIeeds,145787.0,8421.791015625,19140.89453125
xThe_Latunix,102581.0,7800.0,23303.0
MezzyTheGod,104934.0,7576.0,12777.6923828125
ELECTRIK_BeamZ,108121.0,7126.7373046875,15673.28125
JustinApes,68718.0,3767.0,8543.0
0Skill but im kind,69383.0,4595.251953125,10705.0
HufflePuffTV,137248.0,7085.0,26776.0
StyIuhh,108816.0,8095.19970703125,18404.880859375
Mxryw,100314.0,6494.41845703125,13397.4560546875
aimj_,89849.0,5100.0,15222.0
weltu,80890.0,4234.0,12326.0
Mewrtin,145393.0,8517.0126953125,13793.578125
N2llr-,89935.0,4926.0,11960.0
JasonMullenix,125513.0,9408.8203125,17906.744140625
nono_chan_,145097.0,8517.0126953125,13793.578125
GomiaimPanda,183293.0,14754.0,19435.271484375
Overstays,182506.0,12555.298828125,25439.525390625
Lobas Shop,67027.0,3649.0537109375,7968.0
NotLosTen,83608.0,3568.792724609375,12734.6328125
AgeB4beauty0,95507.0,5548.0673828125,12668.1435546875
lukmelo_,81271.0,6517.462890625,15816.7705078125
IttzTyson,82423.0,4850.3583984375,14954.0
BbyBala,86768.0,8061.0244140625,13013.0
Single998 on Twitch,107795.0,5777.0,10336.0
Dxcimxtion-,130940.0,7663.02001953125,17548.265625
Akes,88283.15625,5485.7333984375,10682.6826171875
Billy Butcher,20895.0,507.0,3288.0
ESPERANZA_3104,127746.0,16026.6494140625,31669.0
Lilb FDT,103810.0,7053.0,15301.533203125
MadMacchio,103789.0,8260.0439453125,12188.0
TTK Lemonz,93771.0,6990.22216796875,19529.955078125
JayStepin,64410.0,5041.12841796875,7598.0
Unclipible-On-YT,109949.0,5602.4443359375,11224.53125
Elfen_Lucy_LiLy,87619.0,5796.537109375,11583.78125
MR SLIPPERY 911,66047.0,3408.077880859375,8597.5908203125
DrSirrieh,84888.0,6147.32861328125,11636.25390625
xMyAndyisNamex,68457.0,3407.0,8321.76953125
jay,88283.15625,5485.7333984375,10682.6826171875
Wise vitality,183390.0,13416.0,18325.0
iSoIoQ,108867.0,9241.0,17001.0
XingqiuBlooom,84292.0,6020.1875,12054.91015625
EstelleAir,125820.0,9408.8203125,17906.744140625
TSM Yaba,140746.0,11445.0,17446.0
ikrdys,81521.0,3850.0,10989.0
Viorlette,83470.0,3984.0,6283.0
Sydbbyy,66566.0,3878.20751953125,9983.2412109375
114114114114114,84891.0,6821.0,6859.0
Reaper LOH,74975.0,4059.0,9624.0
Mike Meddler,99264.0,9541.0,18197.9609375
freedom,88283.15625,5485.7333984375,10682.6826171875
SSJ Silence,140922.0,6938.0,17396.8203125
oJust5am,82343.0,4651.63427734375,14271.0
LucyLooseCheeks,114446.0,11562.8232421875,28122.0
Babby-Aiko,144581.0,8934.4580078125,23948.0
HAV1K,92003.0,6802.546875,19289.234375
DarkGoddessTV,84136.0,7657.0,15565.0
Halaven,183972.0,13399.0,19857.0
ZEUS-7RPG,81583.0,5085.93505859375,10278.0
Monkalot706,103161.0,2788.0,14380.876953125
iiiTzRage-,97451.0,7143.0,10476.0
Silavix,78986.0,4863.29443359375,10562.0
Jayzilla-twitch,103316.0,7264.0,16816.0
uvuw,81583.0,8260.0,9222.0
PoppaLizard,77464.0,4172.3681640625,11589.8193359375
BleedElectrc,96815.0,7001.59521484375,14120.0
iTzzAK TTV,80597.0,5425.0,10300.0
TSM ikemen,103931.0,7343.8505859375,14190.34765625
UncleZ,80297.0,5356.17822265625,14575.0
I_phasma_I,85673.0,4402.0,9100.0
Bilbil-Marsifin,96443.0,5659.22705078125,13678.28515625
kerschy,80143.0,4721.0,12029.0
TTv-SleepyYoko,106350.0,7703.0,9391.0
HETERNAL777,80167.0,5929.681640625,11721.076171875
TTV-iRegulateU,87106.0,8061.0244140625,13504.48046875
x ViGoXiN,73106.0,2763.0,7873.0
Big Monoo,75526.0,5607.0,12382.373046875
YD Energy,90586.0,10694.0,11037.0
zKis7,93591.0,6990.22216796875,19529.955078125
xrAkiirax--,172754.0,10094.0,22998.0
DJ-FRAMPS,85144.0,4850.0,10314.0
CLUMSYBOMB072,175539.0,6942.0,10063.0
Jxkes4days,92540.0,4653.4501953125,8966.0
HY_0316,173485.0,11103.0283203125,20311.212890625
xMetroo,154626.0,8747.357421875,16805.0
Feli_fps,97608.0,6630.64404296875,9875.337890625
Smerk A Berl,69993.0,6326.0,11273.0
NW Weapon X,84054.0,6020.1875,12054.91015625
InVidiousTM,79509.0,4909.97509765625,10598.7392578125
KaosKrxw,90712.0,8131.0,16334.0
Haze CosmiK,100857.0,7345.20166015625,13349.0
[INSTA] | @Txqi__,112838.0,9061.2548828125,18091.943359375
