player_name,career_kills,career_wins,career_revives
Axviyx,84331,5815,12347
xSnuff,147381,9019,18043
Jeloan_,113931,8178,12341
F_D_T_D,83688,5782,12289
iTzNarkotik,91046,4501,9170
Voidable-V3,118061,7529,15394
xoKaiz,351847,12109,16917
DaDerpyDonks,83521,5774,12274
Dr-Rincewind07,104644,8644,23779
Babby-Aiko,149891,10213,23948
Gnnn_Reiiichou,88673,5292,11806
thighsarehot,140131,8650,17388
ktiyt,119116,2557,10290
sigi0650,91304,6169,12977
UgotcontrolledTV,90804,6144,12932
RevengefulYT,238458,12467,19928
YungChanCan,101245,7728,11476
Tha_Gingerbread,86884,5119,10820
sporadicfury_,92495,6230,13085
Mimu_jp,93400,6276,13167
HuggyBear1001,82999,4910,12054
D7FENCE,85816,5890,12482
lYORia_,177314,10540,20747
ilNotix,100567,5722,10396
Padre_Brada,90634,6135,12917
playbxirari,115251,5784,20093
AQUAS_SPIRIT,102648,8728,12011
TheOtherPhoemela,81792,8307,15411
McGuich,121786,6891,18176
KoF_Ryo_,91739,5184,13071
EternalDoomX,151482,12104,20740
NFT_gavom,151713,9239,18434
Revy9_CUTLASS,104880,5911,22367
Loot_eye,96806,7041,10727
Mizxhif,85014,5564,11586
LpS_SETHUNA,157420,9529,18950
iSyquee,121666,8073,17258
ForeignAbility,95013,6358,13312
sekaisaikyou55,117873,7519,15377
Line_Tsuna,109845,7111,14652
HighOnIcee,137030,10168,28009
The_Mjed,92982,5414,16751
Towix-_-07,109922,7115,14659
iG_xRaMpi,109789,7572,11888
DrSirrieh,84888,5843,12398
Tzr_xo,113114,7488,12459
Mangohabanero__,149260,11065,22899
Bloodwars2003,129019,8325,27387
Joe_The_Coder_YT,82362,5141,9119
i-ABADl,83321,5763,12256
Croutman_Twitch,89371,6071,12803
The_LKSB36,91877,7850,10518
Vqlencia_Twitch,82690,2523,9378
HappyFace_TTV,104729,6851,14190
JuTVBaby,91617,9748,21400
Blaziann-,121542,8036,17470
JG-KiIla,89617,4527,9828
GAIAKU_Horizon,93322,4314,8176
lipao_-,105771,6638,12867
qDevs-,136319,8457,17044
TviAmSniperkillz,90157,2113,10631
iiiTzRage-,97451,7143,10476
RD-1Shot,117789,5605,11254
GeckoMamba,97925,7543,23964
TAIHOU_GUSSAN,91743,8731,16207
114114114114114,85589,6866,7119
iiTzTimmy_kids,98092,6514,13591
Veidus_,91175,6028,12253
tttcheekyttt,110775,7159,14736
CarlGustavJung26,89738,6090,12836
Tokenergy,103021,7247,17310
IIJUBI,89153,6060,12783
Saucy,95456,4346,10797
DeeSteez_1,105175,9878,17299
IrmaosMetralha05,97014,6459,13493
Leak_Naks,88774,6041,12749
xJDodge,97224,6470,13512
TAE__JannKDash,101918,6708,13936
NekoDGPredator,117484,7499,15342
Yousif,135562,9663,18539
A3DBee,90999,5911,11663
xItzCatblack_TTV,122010,6411,11544
Blessed,140708,12112,21752
AzayBae,186122,9720,33048
DRAGON-BANG,107076,6971,14402
iLuvKd_,122019,7730,15752
x-7uss,109805,7109,14649
PiToCk-,84737,5597,12599
GENNXU,142145,8783,17723
MalFoYs_FaThEr,90040,4724,9755
nV_LandoBandZ,117679,7509,15360
Mxltryllis,98382,7970,11427
Horaceu_,108415,7039,14523
TazFist,115135,7380,15130
MED_Yaser,95568,6157,13795
NightmareGhostXx,89675,5684,10692
B_I_T_S__,93258,5665,12396
ishmish-,93792,5095,13389
