player_name,career_kills,career_wins,career_revives
FallenFateTV,77217,5147,11934
Papa Splix,111489,6825,10483
TUO EM TEL,106643,7431,13590
ew beans xD,81038,4859,8583
JuiceEddie,93202,6194,13554
underratin,115618,7663,15825
Esensuu,74835,3133,10000
modDRACARYS,89538,6833,20793
Zxidu,95391,6338,13775
MasterVinny0,74158,4946,11623
Eynez,72570,4035,10623
Wishful Leland,158426,10469,20164
DoovooPVPXtreme,78732,5198,8600
Myaimiisbadd,70682,4718,11271
cwrry,120575,7988,16328
KyoshiFPS,72699,4851,11476
DaddyDibs25,67167,3349,12822
F L Ag3nt York,74070,4940,11615
RvstyYouTube,110243,7311,15281
FLAMETHROWER531,95101,4363,11713
Resolvuh,72397,5012,8551
S T U M M M P,110638,7337,15321
COOPonBEASTmode,69985,4045,12258
craqd out,88499,4996,12152
Cleanershrimp,146656,11898,16087
RavvPC,100227,7447,11232
W4IT ZeN,76912,6804,13646
Mizu x Drop,68569,4580,11057
Sqrewed,91926,5852,11182
RecalIz,103036,6839,14550
Ttv Luminos,87107,5795,12936
kessoku band,119132,7894,16182
Nicotiate,148225,13236,20707
Misterosey,72029,4290,6946
SoReqd,95470,5833,13253
Legitt Skills,67219,3510,10624
MagiMakoda,98095,8503,17527
HostyBR,76843,5122,11896
OnlyDelly,80825,5668,14775
herbestsin,66472,2683,10915
qehat,71402,4287,11438
XpectoPatr0num,71049,4823,9354
Wifeline,100580,6537,21124
MajesticFishy2,88902,5035,10729
ChrisMotivated,65863,4403,10783
Blvnkoo,70441,4703,11247
CxmplexNative,69078,4727,12111
WhoShotRicky,113811,7545,15642
AthenasMerci,112035,7428,15462
NL Cujo,74135,4360,11013
Denxiety,142727,9917,20518
Scooter360,66292,3118,9462
Booklescs,112861,6874,10259
xaiyr,113872,7549,15648
DR CHAOS BTW,76484,3391,10084
Kowabatv,76720,4581,7272
rezirve,71173,4751,11321
Sin of gore,86245,5419,19954
CosiestCanvas37,77235,5148,11935
VvRABBITvV,77455,4216,11035
T9 TeChNiCiAnS,81575,4738,8870
Aensu,80476,7420,11485
griefed you,68365,4567,11036
Aw R U Cryin,67635,4352,9238
TTVgrindapex4life234543,73714,4917,11578
TwFBlood,102342,4597,10458
MT SkillZz,68231,7014,15288
FTA KrissUwU,104436,4729,11753
lKaneeki,84785,5643,12701
Horizon8235,72491,4338,11060
Jukes,84557,5914,12975
Its SLiiME,113102,7490,15562
Tanjiko,71261,6140,5930
Keiinaan,69889,4666,11191
qxaay,127904,8809,12894
D1dYouBl1nk,132499,8770,17536
IIFortuna,119904,8747,17094
Godonomicsx,103969,6900,14645
vZainee,111307,7381,15388
OneClipRich,119792,7937,16248
STEPFlNDER,85024,6020,9466
Neo lll,189835,14550,25450
Mad Freo Docker,70258,4328,11195
St4rFox EU,71949,4991,17182
K3 Kron3n,67601,6254,11546
TTVF0LDup,83523,5560,12573
SnyperKye,71398,5804,12424
DarkAssassin688,72939,3592,10175
DonSnow2,67637,4519,10963
Evil z35,95987,6377,13836
Scotty_P_YO,71320,5521,12127
RsN XIMkila,66714,3888,12178
POV: fighting discord mod,121923,8314,16711
SkillsDatKillsX,84105,5067,12079
DonnerToz,109264,7016,13168
player_name,91554,6086,13387
DaddyD Danimals,65848,4704,14891
Crutch xv,66262,4429,10823
Ashten7654321,82948,2809,13982
Metsu aka Lebron,70346,4014,8134
imVashy,234136,12725,25491
BigxPLU Himothy,82136,3430,9696
WeSlept0n,68572,2025,6057
Lil_Sky_Ver,71704,5223,12225
Ambytionz,68237,4173,10881
EradicateMMR,94997,5960,10683
eNMey Brody,66026,4413,10799
ttvLivekain,116967,3947,12843
Above Faded,66755,4461,10873
xJeffreyRD,103380,7883,23426
Camden,77599,5172,11972
lNoxelium,65901,5749,8805
IntensiTy x,66127,3922,10437
TheClusterFaQ94,80889,5432,12698
IItz RyZeNx,66819,2019,10721
Patrick Nacher,68924,2665,9487
Lethalogy,113890,8290,15335
Wash3dB0t,79868,5510,13762
HAV1K,93287,6200,13562
NOVOSPROVOS,77829,5149,11676
Upthrow,287983,19846,61712
RipaSticky1,69556,4428,9295
fat charlies,68285,4999,10461
TTVDatZNaStY,84754,5641,12697
Buxtz,96077,4855,12257
Tabassco,67954,4540,10995
JHummel5,68308,4563,11031
iTzz MaHoNeY,98517,6543,14092
xBudze,87940,5849,13020
Silavix,78986,5083,10562
Q5E3,83376,5006,7849
BaghelzTV,75293,5149,12860
Swxlk3r,77436,6554,9154
Xedoocz,95556,6349,13792
Nopehyder,91262,8178,15551
Inosian,140317,8848,12731
DurlTheMediocre,69423,4636,11144
PacParker,132633,10372,17178
BiirdGrEnade,76616,4025,14642
Soo x Creamy,83934,4432,11414
Legend of Berry,76514,6928,12215
YD Energy,90586,10694,11357
ChefBandoTV,79839,4478,11325
I NordLys I,79720,4371,9831
KyriosFPS,80233,5014,8887
Drehixx TTV,66849,3152,6537
Legit l,116234,6067,23970
lPixelated,144901,9582,18793
Afghanihan,84292,6727,13811
Ilwittv,67192,5541,7584
aG Infernuz,77078,5138,11919
Wraifu,127901,9982,18644
VaIkeyRae,112288,7969,16033
KinGzVenus,66206,3346,9696
Forget Dat,263062,17326,30769
i8Medusa8i,77249,5149,11937
Bra1nl3ssTTV,93747,6401,15927
Reaper LOH,75952,4059,10761
I J4RITA I,104180,6914,14666
Mayhem72k,77120,5140,11924
GhosteRunner,105289,6259,9600
IxSectoRxI,115684,11151,13005
Rokkstar,83045,5038,8280
genetix vice,71434,4768,11347
AUSTINN TTV,67881,3782,10205
kam,104291,8688,11755
v PapaTango x,104814,6955,14730
M0RPH,70831,4728,11286
ThaKingMaker,80137,5366,12483
AlmostAHero,66762,4453,13596
iYekim,89372,8390,15709
Crazzles,91728,5570,12856
Quadular,77712,6754,13621
Kvboom,98251,6525,14065
Buz Kistixx,78780,5249,12092
TM Snyder,118314,10243,16419
MetroBeaming,76768,5358,12138
MeekFlyer4,81516,3391,10251
Sarcastic Wrath,75240,6099,12542
Erytz,118440,5739,10679
TheNikeFiend,66797,3729,11086
I F1rehunter I,82397,4722,11664
Invnce :),84045,5346,11133
a chilled G,106292,8081,22201
Lifeline!!!!,90447,7205,14513
itss clever,70156,4684,11218
joe comet,74050,4710,9636
TTV Webbita,80380,7315,24487
God iruu,68816,4596,11082
ListeKoerper39,167571,11068,21091
ImZaggs,145502,9622,18854
N9x opr33ssor,65809,4399,10777
BIGBangSlays,76687,7223,11907
ManicAkira,106825,7095,18687
zDjae,99186,8384,12064
nL iTzzAK,81708,5445,10520
PoppaSmurfv2,73399,4780,10552
JECarrillo,69823,4662,11184
vDraKie,68338,4378,10839
Nerf Chung,88421,8237,14080
Smerk A Berl,69993,6434,11273
Mike Meddler,99285,9544,17238
SlackToast800,72700,4707,11244
Rougzy,138746,9179,18169
GeekedupGeezr,87542,7864,13772
Caltooshh,71871,4796,11392
xafui,109882,6216,13160
Pxpco,78679,5243,12082
Eimajah YT n TTV sub plz,81449,4921,12587
FooIishnvss,89890,5720,11105
AtollSucrerie03,81426,4065,28523
TTVOGgrundy,107929,6935,14455
quiksily,125365,7808,16488
Frailtey,162611,8047,12371
QC Relied,77413,4665,10740
OG ClutchBone,76951,7517,9234
JuicedGreens,78242,7087,13035
KannaTTV,108959,6855,11924
xBangaIoreX,84080,5400,10934
xGearzy,108292,7400,16954
chkn da cool,86977,4549,11636
xoKaiz,351847,12109,16901
Phlsy,124933,8274,16769
Sweaty jug,86407,6336,17951
TermK47,141169,4111,25389
UnholySkjeio,72229,5166,9790
LG Giggle,182360,14321,24417
danny apes,90789,5812,12524
Ai SKITZZ,78224,5213,12036
Mvvnda,82575,5422,11827
LeSlimSmitty,66402,4438,10837
Guttadactyl,167298,12023,22075
JustAppleiii,70873,3337,9841
CIews,85638,11088,12448
Unrezzable,149517,9885,19261
xyqkt,80245,5178,11030
BLiNdhashtag,94566,5292,11683
CraxxyTV,89119,4152,12940
Naanouk,76965,5293,13325
crqzyss,93927,6242,13627
Divine Yuuko,131822,7820,16527
NiyoFps,115230,7852,12264
Nezyn,108599,7203,15114
PugsleyCD,101990,7183,14873
LetsGoMitch,66087,4417,10805
Aces Kunai,201927,10579,16149
uArchonTV,132809,8790,17568
Blizzes,188669,9940,18015
SkulyP,73699,5447,14704
They/Them Is a Mental Illness,80824,5383,12299
Lilb FDT,105007,7106,11047
Terracine,70793,6343,12938
FIowies,127269,5979,11157
iPerea,88204,2844,8843
MAGA 2024,123474,8312,13719
turbulence,67675,4521,10966
McLemur TV,111964,7424,15455
oBoaz,72804,4838,10260
iTzMeHerbieG,66752,4461,10873
iMucho,85005,4756,11786
ToadSlapper,68736,4739,12371
BaCkWeRdZ,68978,7333,13933
Champ Zarato,90634,5664,10160
Defileed,90666,5279,12518
not toxic at all! | TTV Voudu,100951,7969,12730
UglySalamander,113373,7815,12967
rba,74851,4663,8857
Dreken-,84687,5636,12691
Awesome_Tryhard,85950,5719,12819
harrylad420,69588,4647,11160
ZenoIG | Twitch,77318,5153,11944
BROKEN CHAIR123,84196,5604,12641
lDeef,77997,5198,12013
SuperFlexin,90280,6490,21079
BuNz GLaZiN,70925,4734,11296
I LASERBEAMED U,80065,5305,13664
CuteLilEgo,93930,5768,25063
MillartimeTV,100085,6273,12936
zLynxE,101733,4509,12085
SmokeNThirst,77987,5097,11151
carter,131148,9079,11234
Pluto frr,100371,5856,13535
SpIifd,81953,5457,12413
Contrakz,104648,6944,14714
RaGe 5G,70658,6044,9527
Bacawakaa,117932,6485,15086
R99AndADream,67354,4500,10934
kentucky freaky chicken,85396,5683,12762
Low lightsss,114355,8836,12515
fhixsy,110867,6448,14404
SACRIFICEDANGEL,106336,7055,14885
boop,83619,5930,15735
Flipping Bricks,70320,5782,12365
nyviexz,90852,6040,13315
RD ShiniGaMi,71712,4547,9322
AgeB4beauty0,95507,6345,13787
x dLini,73715,4917,11579
Dull,125639,8320,16841
TheAndVitor,89674,5799,11776
jayhawk488,115771,7673,15841
FCE JeW,76143,5606,9829
fat juicy,122359,6603,14947
Aurelius77777,137279,10477,19470
Layced204,72547,4841,11460
Tom master 1860,93339,6203,13567
DevO ExOtic9378,73998,4936,11607
