player_name,career_kills,career_wins,career_revives
Sizzifide,109500.0,7129.2,13252.6
CRUELSUMMER,96375.0,5377.0,8981.0
Rainsinz,101700.0,7436.0,11176.0
TIE_,79933.0,4850.8,9356.2
GohSU | No1#Bronze Na/Eu/Asia,80930.0,4981.8,9812.8
Dibzzer,112792.0,6703.2,13359.6
TLC | cyzeee,82678.0,2720.0,7601.0
震惊！,89222.0,4958.2,9846.4
FIowies,123869.0,5979.0,13315.4
Asset_BF,108352.0,6381.0,10025.0
Penguin,113755.0,6306.0,11583.0
Cyree16,135142.0,10727.0,13693.0
Curiharaa,79588.0,5368.0,8449.0
ttv@LungeChloe,87916.0,2704.0,11464.8
Jruizslayer_ttv,80075.0,6576.0,12008.0
The Dankster,128322.0,7113.0,13497.8
Single998 on Twitch,108279.0,5845.0,10517.0
AmaneeMisa,357870.0,18812.4,30360.4
C C 4090,82963.0,4545.0,8226.0
EnhanceYo|Twitch,130837.0,8465.6,15195.6
Moose,100283.0,6425.2,12896.6
KaponiTTV,121073.0,6586.0,14943.2
WowItzMaazi on Disney,91581.0,5300.0,14729.0
THESOULKEEPER,80269.0,5622.0,8682.0
gaggimah,79960.0,5410.2,9790.8
FL mo-mon_,87294.0,6134.8,11282.6
JIkmon33,85185.0,6633.0,8953.0
Logic,108415.0,7096.0,13637.0
PrettyBondGirl,89018.0,4371.0,9600.0
Casado Tbm Joga,100831.0,7439.0,12092.0
AQUA peeks,116686.0,10557.2,14754.4
MoonPakuTV,204860.0,11209.8,16820.2
o Hazeee,85912.0,3604.0,11161.0
DFPite,81086.0,4653.0,10629.2
khryxsOnTiktok,87590.0,4219.0,10142.2
Neo lll,189835.0,14550.0,15469.0
Incarnate002,109290.0,7458.2,13252.6
CloverWzy,120203.0,4534.0,15661.0
Brutus le Cactus,89419.0,5443.0,9661.4
HappieVIII,276305.0,17974.8,30729.8
Dxcimxtion-,126943.0,9456.0,15719.0
HorizxnBeams,99655.0,6547.2,12091.6
Gojo Satoru,122373.0,4553.0,8602.0
Her wraif,114028.0,4836.0,14549.0
Sweaty_Maddie,95801.0,3870.0,12071.6
Lightninnnnnnng,91043.0,4153.0,9779.0
ivv,95559.0,4511.0,10067.4
naln/twitch,87696.0,5539.0,9095.0
Tangemper,111395.0,10981.0,7874.0
BATTLEKINGx1,120859.0,6917.2,17986.6
Not Lean,97159.0,6435.6,12475.0
NoRr1se-x,89097.0,6181.0,9479.0
Camms,91956.0,5535.4,13070.8
iCroxyz,102642.0,7465.0,11131.0
かにぽん,100613.0,6293.2,11721.4
としき,101237.0,5054.0,10431.0
MrDaniel1994,92938.0,4891.0,9726.2
TheWayILovedU,102904.0,7220.0,11713.0
Tinshi009,82107.0,5030.8,10987.0
dayomoo,81806.0,4596.0,12038.0
