player_name,career_kills,career_wins,career_revives
Saturated_saturation183,97989.0,5087.0,11212.84152301172
ippalS,89116.0,4459.0,10414.494547953687
missy,113407.0,4806.0,11299.0
TTV-Bear22345,207071.0,11152.073638694143,15709.0
kakkagandalf,133736.0,8020.779671279819,14823.748897625494
AlexxJU,90487.0,5110.0,11891.0
Demonchillld,97698.0,5265.0,10601.0
Iinsova,146626.0,8735.011500303706,15789.939455962549
Le Major,122228.0,4674.0,8703.0
Saf,100508.0,6682.0,10062.0
LGD_MINGYUE,104587.0,9056.0,12853.0
Jack21gg,85785.0,5363.826185358614,11229.505029291893
Dranzer,154559.0,9174.577140307312,16384.570154122972
Minikgun93,111559.0,6791.957384835855,13161.436406373296
AvestruzSeduzido,114777.0,6498.0,15346.0
Ranger_Fh,102829.0,7903.0,13848.0
sadNF,92796.0,4322.0,10357.157975885386
iOverlord,101641.0,5717.0,11904.528524379337
まかろに,81263.0,5113.263242701825,10890.551289586685
Pluto frr,100107.0,6400.488540702199,13502.0
xabzolutexzer0x,118175.0,7158.548368607928,13657.349263934035
l_Love_HORlZON,115366.0,7002.902347837711,13446.796177947317
CraxxyTV,86742.0,5416.8533273582925,11301.23849432902
ErasedTM-TTV,93999.0,5172.0,10174.0
ttviitzgaza,92032.0,5369.416042356654,10023.0
THESOULKEEPER,80269.0,5622.0,8682.0
Caboose_HCS_TTV,224831.0,8488.0,17175.460545540293
Carumel,116935.0,7089.840264031542,13564.403081440789
GuapOps3CustomZombies,92213.0,5720.000133920719,11711.32604628108
DancingYodaa,111861.0,4404.0,10833.915454011607
히츄,89699.0,5580.699992868272,11522.8851569359
EshiNon,79787.0,4366.041248147465,7507.0
b4rerikku,85313.0,2849.0,3753.0
BBUTCHER,82472.0,5180.253644663801,10981.1738175176
RyuxxFPS,83516.0,3439.0,7858.0
StarrySkyKk1,85271.0,5335.345567816466,11190.977337516466
iSyquee | TwitchTok,121666.0,8073.0,17258.0
LpS_SETHUNA,157420.0,9333.104468688796,16599.020983246504
SimplyAshtonYT,84476.0,5291.294807221123,11131.386841482492
tttcheekyttt,118108.0,7821.0,11548.0
Icy c0ld,86344.0,5394.800242179743,11271.405768012639
KOR_appa,100973.0,7631.0,12838.0
LinSsyyyyy,81425.0,4200.0,10484.0
BirnoOCE,203308.0,13661.0,18635.0
TheWayILovedU,102904.0,7220.0,11713.0
aktiver875name,85743.0,7287.0,13108.191603014178
LegenDaryI,80519.0,5072.038379955993,10834.783580090734
Zenkku,83235.0,3382.0,9239.573750218136
dexcys,107476.0,5656.0,8909.0
SaviourHeavier,100040.0,6153.692339178279,12298.011344970304
Maggz__,86748.0,5414.0,11298.57469485164
ShimaRin_Ni,168425.0,11987.0,18610.0
xpebbies,91507.0,5211.0,12871.0
DynaM1keOnYt,107853.0,5663.0,11232.0
yooooooooooooujp,85891.0,5369.6996201046595,11237.450428763092
TitanStar01,228119.0,13217.0,32135.0
小肥羊,85611.0,5032.0,5700.0
XLD_Adam,87035.0,6467.0,12222.0
gghett-o,93259.0,5777.958744716607,11789.730648610059
Prot,83209.0,5221.090639077347,11036.416830822052
NIRUi7,156250.0,9268.27504743527,16511.321762668198
Cheo,128545.0,7733.147598008835,14434.649193333202
E36 ILY,90555.0,5628.13074893068,11587.048005495753
SARUi7,84334.0,5283.426621051892,11120.743004455038
Ich bin eine Katze,148203.0,8822.392694591577,15908.1460122463
Axviyx,82964.0,5207.515247447335,11018.052464119759
EgoistaTv,82793.0,5198.040178187205,11005.234885727545
0Juan23,104212.0,9413.0,11989.0
rowtide,123695.0,4384.0,12862.0
dopamine addict,83546.0,5239.763728788833,11061.677204612555
iLastStar,80830.0,5089.270815861845,10858.095082312833
n1_noname,98210.0,6248.0,14454.0
IxSectoRxI,115667.0,11150.0,13000.0
rMizukeOnTwitch,100041.0,7440.0,11574.0
TTv-SleepyYoko,106546.0,7706.0,9409.0
YouknowBro_O,83479.0,5827.0,7893.0
MoonPakuTV,204860.0,11961.743566353121,20154.962029601033
@SethVNGZ | youtube,175446.0,10331.920834087134,17950.188632942685
GetGoodSweetie,162642.0,10392.0,17742.53843419344
MerrDawg,99158.0,5281.0,11069.0
永恒的苍穹,160408.0,10679.0,22400.0
@Pumbaa TV,98173.0,4592.0,10021.0
NAWAF,89935.0,4991.0,12047.0
Noko,107246.0,6459.0,10110.0
SoggieWaffl3s_FB,137420.0,14647.0,29782.0
Yuhboyisaac,85454.0,4992.0,10268.0
silvertungeDK,135042.0,8093.144820132045,14921.642215638543
Scarr,84733.0,5499.0,9954.0
hugbunny,80714.0,6146.0,10632.0
rikiddoboi,93123.0,5770.423017117906,11779.536551175315
LKG_BenjiTheGod,118603.0,7182.2637466391325,13689.430688213963
DFPite,81086.0,5103.455714871164,10877.28397160176
ddu,86993.0,5616.0,10616.0
ZZ2zZ2zzZz,80404.0,5065.666257354151,10826.163571230474
Lax,84420.0,5447.0,11282.395980069896
OrendiiTV,102841.0,6159.325758883871,11772.0
Usso,88884.0,5061.0,12494.0
Aziz,90477.0,5623.808787513779,11581.201390790535
Sun James WuBron,82623.0,4970.0,11772.0
SIlMBA,101432.0,6209.0,12381.023096049848
싸우러フトスト,81583.0,5130.994366463473,10914.537401197842
shoobytooby_Jr,95829.0,5920.361832427342,11982.36910748719
taunnting,86084.0,6332.78545186133,15948.0
Mangohabanero__,149210.0,11061.0,18116.935495067162
@IDKHowToAim,79107.0,5860.0,11575.501485309249
iDaxam | Twitch,100804.0,5646.0,12182.0
Denxiety,141573.0,9832.0,20172.0
Rulz,79438.0,5791.0,9703.0
LivingInHysteria,110832.0,6065.0,17289.0
zaoth,91955.0,5978.0,11958.107742862598
FuFu,86798.0,5405.659696884241,11239.0
PrettyBondGirl,89018.0,4371.0,9600.0
JuiceEddie,93082.0,5768.151216885944,11776.463330625134
Kosilex,83301.0,5226.188337158821,11043.31283791026
Aurelius77777,137279.0,10540.0,17194.0
Dreamwalk3ra,110509.0,4980.0,10514.0
かにぽん,100613.0,6185.44213266398,12340.961476074037
Xemuth,88999.0,5541.913159639666,11470.415537786486
BahamutZ1,81566.0,4695.0,24003.0
CanWeKissForever?,127331.0,9598.0,11524.0
BENDUMAN_twitch,86217.0,5387.7632024368395,11261.88627996696
4117,90443.0,6157.409029160686,14220.0
AbyssionHanmaTTV,149307.0,10628.0,17695.77294647642
TikTok,80702.0,3645.0,11037.0
xRaciaI,103773.0,2928.0,9223.12999693328
TayluSs,94194.0,4986.0,7853.0
SolidDoxis,141309.0,10786.0,17683.804146915572
Happyie-w-,83604.0,5242.977494970631,11066.024687342077
Sorry Im Cat,90759.0,5277.0,10934.0
CurlyDream_TV,93256.0,5111.0,11137.834701465228
BAKUGEKINISHlDA,110594.0,6529.0,29867.0
RRX Noa,90321.0,6156.0,9492.0
naln/twitch,87696.0,5469.714240072706,11372.747089569792
U5man,138574.0,8288.852098651236,15186.388922546725
Behnny-,181806.0,10790.0,16640.0
mabo_nya,94027.0,5820.5134417445615,11847.297316476843
@Doctoena,91082.0,3716.0,9729.243719388665
ew beans xD,80784.0,4849.0,7736.0
goblin,85124.0,5812.073105044011,13573.0
魔王ぽこちゃん(本物),92073.0,7372.0,11960.0
AlgoSween,87483.0,4238.0,16340.0
Brutus le Cactus,89419.0,5565.18525957683,11501.897309276133
rDestroyer,98801.0,4962.0,13010.0
Jorgieful,103306.0,6637.0,12838.302560540405
Jxkes4days,97974.0,5055.0,11181.255163857364
わきお（一般人）,86618.0,4821.739271163072,8398.0
CurryForU | Twitch,83884.0,5258.492228262074,11087.012535001844
FIowies,123869.0,5979.0,12623.005179308808
Thereal_D23,91485.0,5679.66182736297,11656.757642365688
NosyChan,91353.0,7153.0,13093.93758391397
yogibears,108498.0,7330.0,13730.0
FizzIe96,127960.0,8335.0,15010.682864635852
Rosenoire-95,85169.0,6426.0,20642.0
xo5am,109637.0,6685.459822742456,13017.369823508761
P Re: ver.,107564.0,4200.0,13403.0
NGU_Forsaken,83052.0,4448.0,8231.0
Apertures,139863.0,8360.275281553624,15283.00797838043
Juuso,101271.0,6221.90175589887,12390.282918074488
( `),103582.0,5849.0,9017.0
The Grapple,84153.0,5557.0,11384.346902490634
rjrXo,111542.0,6546.0,12065.0
教祖暁,86746.0,7180.0,10600.0
SEND IT,85768.0,4366.0,10253.953764567665
