Kills
"136,634"
"121,329"
"108,153"
"100,338"
"91,582"
"81,796"
"73,524"
"72,113"
"69,961"
"69,370"
"67,856"
"66,760"
"63,375"
"62,575"
"58,682"
"58,636"
"57,168"
"57,159"
"55,310"
"55,126"
"55,099"
"54,198"
"53,436"
"53,260"
"53,045"
"51,851"
"50,643"
"49,759"
"49,594"
"47,988"
"47,433"
"46,666"
"46,261"
"46,023"
"45,333"
"45,013"
"44,235"
"43,924"
"43,293"
"43,000"
"42,685"
"42,280"
"40,899"
"40,853"
"40,673"
"40,384"
"40,071"
"40,040"
"38,996"
"38,447"
"38,295"
"38,276"
"38,095"
"38,031"
"37,875"
"37,598"
"37,366"
"37,082"
"36,693"
"36,619"
"36,189"
"36,157"
"35,715"
"35,251"
"35,102"
"34,856"
"34,845"
"34,571"
"34,076"
"33,983"
"33,708"
"33,560"
"33,028"
"32,702"
"32,340"
"32,098"
"31,949"
"31,880"
"31,800"
"31,741"
"31,563"
"31,387"
"31,331"
"31,314"
"31,154"
"31,107"
"30,947"
"30,877"
"30,458"
"30,271"
"30,009"
"29,354"
"29,346"
"29,255"
"29,062"
"29,046"
"28,885"
"28,765"
"28,572"
"28,381"
"28,336"
"28,191"
"28,146"
"27,767"
"27,580"
"27,450"
"27,345"
"27,258"
"27,141"
"27,140"
"26,941"
"26,896"
"26,316"
"26,209"
"26,178"
"26,133"
"26,133"
"25,985"
"25,682"
"25,660"
"25,643"
"25,509"
"25,508"
"25,399"
"25,348"
"25,327"
"25,317"
"25,296"
"25,182"
"24,944"
"24,831"
"24,797"
"24,703"
"24,658"
"24,639"
"24,562"
"24,527"
"24,471"
"24,377"
"24,357"
"24,226"
"24,225"
"24,162"
"24,140"
"24,133"
"24,122"
"24,097"
"24,089"
"23,944"
"23,901"
"23,791"
"23,763"
"23,745"
"23,696"
"23,649"
"23,621"
"23,582"
"23,544"
"23,266"
"23,172"
"23,078"
"23,044"
"22,907"
"22,846"
"22,731"
"22,717"
"22,705"
"22,695"
"22,654"
"22,652"
"22,500"
"22,465"
"22,411"
"22,382"
"22,362"
"22,337"
"22,282"
