Kills
"252,763"
"243,143"
"189,112"
"161,830"
"154,164"
"110,000"
"109,872"
"102,508"
"100,642"
"96,451"
"95,826"
"93,731"
"92,364"
"83,263"
"78,473"
"77,007"
"76,110"
"75,613"
"72,544"
"71,087"
"70,701"
"70,645"
"70,584"
"70,441"
"68,805"
"68,765"
"68,315"
"67,752"
"66,203"
"65,965"
"65,815"
"65,317"
"64,651"
"63,563"
"62,702"
"62,221"
"61,825"
"61,367"
"60,836"
"60,721"
"59,380"
"59,097"
"59,083"
"58,975"
"58,544"
"58,459"
"58,126"
"58,016"
"57,727"
"57,105"
"57,027"
"57,010"
"56,259"
"56,141"
"55,714"
"55,601"
"55,547"
"55,103"
"54,353"
"54,216"
"53,779"
"53,640"
"53,254"
"53,112"
"52,496"
"52,391"
"52,210"
"52,082"
"52,057"
"52,025"
"51,892"
"51,826"
"51,792"
"51,563"
"51,061"
"50,976"
"50,021"
"49,656"
"49,550"
"49,380"
"49,355"
"49,053"
"48,979"
"48,756"
"48,648"
"48,513"
"48,425"
"48,215"
"48,049"
"47,756"
"47,346"
"47,333"
"47,256"
"46,915"
"46,761"
"46,273"
"46,207"
"45,924"
"45,861"
"45,621"
"45,579"
"45,562"
"45,334"
"45,318"
"45,228"
"44,625"
"44,509"
"43,542"
"43,523"
"43,430"
"43,253"
"43,201"
"43,180"
"42,433"
"42,286"
"42,241"
"42,153"
"42,143"
"41,854"
"41,629"
"41,363"
"41,359"
"41,222"
"41,030"
"40,907"
"40,831"
"40,761"
"40,731"
"40,600"
"40,600"
"40,528"
"40,289"
"40,138"
"40,131"
"40,105"
"40,075"
"40,042"
"39,869"
"39,828"
"39,568"
"39,491"
"39,348"
"39,162"
"38,720"
"38,698"
"38,633"
"38,550"
"38,524"
"38,369"
"38,305"
"37,988"
"37,942"
"37,935"
"37,808"
"37,624"
"37,614"
"37,577"
"37,498"
"37,481"
"37,409"
"37,408"
"37,171"
"37,166"
"37,041"
"37,025"
"36,892"
"36,851"
"36,638"
"36,484"
"36,484"
"36,474"
"36,460"
"36,334"
"36,272"
"36,164"
"36,126"
"36,024"
"35,959"
"35,949"
"35,863"
"35,862"
"35,789"
"35,426"
"35,351"
"35,320"
"35,185"
"35,117"
"35,094"
"35,086"
"35,018"
"34,968"
"34,937"
"34,936"
"34,843"
"34,732"
"34,668"
"34,568"
"34,526"
"34,485"
"34,456"
"34,435"
"34,299"
"34,287"
"34,195"
