Kills
"164,401"
"156,478"
"134,309"
"122,387"
"122,364"
"110,150"
"106,142"
"100,295"
"100,146"
"97,397"
"92,204"
"80,479"
"79,121"
"78,981"
"77,983"
"77,673"
"73,441"
"73,214"
"73,129"
"72,256"
"69,512"
"68,769"
"68,702"
"67,863"
"67,671"
"66,069"
"63,710"
"63,406"
"62,659"
"61,346"
"61,119"
"61,016"
"60,863"
"58,687"
"58,350"
"58,073"
"57,177"
"57,067"
"57,039"
"56,849"
"56,847"
"56,308"
"55,733"
"55,381"
"55,223"
"55,054"
"55,030"
"55,014"
"54,992"
"54,654"
"54,451"
"54,293"
"52,979"
"52,459"
"52,341"
"51,971"
"51,829"
"51,738"
"51,642"
"51,559"
"51,424"
"51,123"
"50,885"
"50,689"
"50,630"
"50,047"
"50,012"
"49,482"
"49,408"
"49,034"
"48,835"
"48,815"
"48,452"
"47,232"
"47,027"
"46,943"
"46,851"
"46,278"
"46,265"
"45,766"
"45,610"
"45,540"
"45,488"
"45,275"
"45,247"
"45,054"
"44,581"
"44,479"
"44,468"
"44,460"
"44,226"
"44,049"
"43,609"
"43,593"
"43,367"
"43,277"
"43,170"
"43,165"
"43,164"
"43,087"
"42,934"
"42,715"
"42,466"
"42,271"
"42,094"
"41,935"
"41,480"
"41,467"
"41,219"
"41,218"
"41,061"
"41,044"
"41,022"
"41,018"
"40,860"
"40,844"
"40,825"
"40,810"
"40,770"
"40,656"
"40,548"
"40,434"
"40,307"
"40,273"
"40,258"
"40,233"
"40,062"
"39,996"
"39,916"
"39,809"
"39,724"
"39,482"
"39,438"
"39,197"
"39,084"
"38,599"
"38,574"
"38,541"
"38,540"
"38,396"
"38,352"
"38,303"
"38,158"
"38,156"
"38,050"
"37,993"
"37,985"
"37,860"
"37,607"
"37,553"
"37,534"
"37,468"
"37,327"
"37,184"
"37,119"
"37,076"
"37,042"
"36,949"
"36,917"
"36,855"
"36,784"
"36,735"
"36,731"
"36,624"
"36,584"
"36,383"
"36,224"
"36,180"
"36,143"
"36,141"
"36,081"
"35,983"
"35,729"
"35,641"
"35,444"
"35,393"
"35,313"
"35,158"
"35,123"
"35,101"
"35,008"
"34,813"
"34,743"
"34,524"
"34,414"
"34,391"
"34,361"
"34,355"
"34,340"
"34,310"
"34,253"
"34,184"
"33,978"
"33,882"
"33,837"
"33,811"
"33,758"
"33,685"
"33,674"
"33,649"
"33,646"
"33,473"
"33,473"
"33,461"
"33,373"
"33,345"
"33,322"
"33,192"
"33,186"
"33,144"
"33,137"
"33,098"
"33,088"
"33,007"
"32,947"
"32,896"
"32,830"
"32,672"
"32,662"
"32,615"
"32,571"
"32,533"
"32,466"
"32,454"
"32,430"
"32,361"
"32,233"
"32,078"
"32,044"
"32,007"
"31,929"
"31,902"
"31,795"
"31,758"
"31,671"
"31,670"
"31,632"
"31,620"
"31,425"
"31,328"
"31,328"
"31,227"
"31,180"
"31,121"
"31,113"
"31,071"
"31,071"
"30,998"
"30,996"
"30,920"
"30,917"
"30,887"
"30,850"
"30,849"
"30,847"
"30,843"
"30,815"
"30,789"
"30,709"
"30,673"
"30,630"
"30,606"
"30,576"
"30,525"
"30,419"
"30,267"
"30,243"
"30,140"
"30,089"
"30,065"
"30,065"
"30,055"
"29,734"
"29,712"
"29,680"
"29,656"
"29,636"
"29,565"
"29,452"
"29,366"
"29,217"
"29,191"
"29,170"
"29,154"
"29,127"
"29,071"
"29,062"
"29,047"
"28,865"
"28,857"
"28,836"
"28,795"
"28,710"
"28,668"
"28,637"
"28,623"
"28,603"
"28,573"
"28,505"
"28,502"
"28,487"
"28,441"
"28,416"
"28,406"
"28,388"
"28,365"
"28,304"
"28,174"
"28,160"
"28,133"
"28,128"
"28,109"
"28,069"
"28,069"
"28,031"
"28,013"
"27,943"
"27,905"
"27,734"
"27,691"
"27,686"
"27,663"
"27,513"
"27,475"
"27,440"
"27,398"
"27,391"
"27,379"
"27,371"
"27,354"
"27,282"
"27,175"
"27,174"
"27,046"
"27,015"
"26,916"
"26,904"
"26,862"
"26,810"
"26,805"
"26,792"
"26,758"
"26,601"
"26,519"
"26,514"
"26,508"
"26,472"
"26,463"
"26,459"
"26,455"
"26,452"
"26,447"
"26,436"
"26,421"
"26,419"
"26,377"
"26,369"
"26,361"
"26,359"
"26,337"
"26,315"
"26,229"
"26,165"
"26,143"
"26,119"
"26,090"
"26,082"
"26,007"
"25,913"
"25,904"
"25,875"
"25,840"
"25,803"
"25,736"
"25,736"
"25,723"
"25,688"
"25,626"
"25,580"
"25,508"
"25,507"
"25,381"
"25,367"
"25,366"
"25,366"
"25,345"
"25,304"
"25,297"
"25,294"
"25,236"
"25,223"
"25,197"
"25,192"
"25,187"
"25,112"
"25,044"
"25,001"
"25,000"
"24,994"
"24,978"
"24,910"
"24,893"
"24,885"
"24,873"
"24,837"
"24,837"
"24,829"
"24,810"
"24,784"
"24,782"
"24,744"
"24,727"
"24,716"
"24,672"
"24,668"
"24,645"
"24,617"
"24,584"
"24,563"
"24,543"
"24,542"
"24,542"
"24,541"
"24,509"
"24,469"
"24,411"
"24,405"
"24,395"
"24,361"
"24,310"
"24,303"
"24,302"
"24,297"
"24,263"
"24,256"
"24,233"
"24,231"
"24,213"
"24,171"
"24,137"
"24,121"
"24,108"
"24,073"
"24,028"
"24,023"
"24,001"
"23,961"
"23,957"
"23,953"
"23,817"
"23,776"
"23,737"
"23,719"
"23,681"
"23,660"
"23,656"
"23,645"
"23,642"
"23,591"
"23,586"
"23,582"
"23,531"
"23,505"
"23,494"
"23,490"
"23,485"
"23,431"
"23,430"
"23,404"
"23,392"
"23,387"
"23,384"
"23,367"
"23,347"
"23,344"
"23,342"
"23,324"
"23,321"
"23,294"
"23,280"
"23,256"
"23,218"
"23,210"
"23,200"
"23,197"
"23,175"
"23,165"
"23,085"
"23,071"
"23,060"
"23,006"
"22,976"
"22,950"
"22,923"
"22,917"
"22,910"
"22,891"
"22,887"
"22,876"
"22,860"
