Kills
"99,623"
"87,544"
"87,201"
"79,149"
"71,553"
"56,095"
"55,655"
"50,148"
"47,527"
"46,985"
"46,643"
"42,632"
"42,489"
"42,469"
"42,256"
"41,881"
"37,934"
"36,401"
"35,259"
"35,177"
"34,905"
"34,167"
"33,329"
"33,184"
"32,309"
"32,010"
"31,880"
"31,872"
"31,377"
"31,076"
"30,065"
"30,048"
"30,000"
"29,917"
"29,423"
"29,212"
"28,463"
"28,083"
"28,047"
"27,988"
"27,162"
"26,779"
"26,556"
"26,444"
"25,919"
"25,888"
"25,792"
"25,115"
"25,093"
"24,970"
"24,883"
"24,609"
"24,514"
"24,373"
"24,353"
"24,233"
"24,222"
"24,188"
"24,115"
"24,035"
"23,910"
"23,747"
"23,452"
"23,418"
"23,349"
"23,186"
"22,729"
"22,564"
"22,460"
"22,404"
"22,387"
"22,316"
"22,241"
"21,936"
"21,789"
"21,661"
"21,522"
"21,377"
"21,315"
"21,309"
"21,299"
"21,273"
"21,205"
"21,075"
"21,008"
"20,981"
"20,905"
"20,807"
"20,679"
"20,639"
"20,478"
"20,450"
"20,425"
"20,371"
"20,310"
"20,255"
"20,106"
"20,039"
"20,027"
"20,018"
"19,842"
"19,740"
"19,384"
"19,375"
"19,248"
"19,128"
"19,086"
"19,016"
"19,005"
"18,873"
"18,872"
"18,833"
"18,485"
"18,446"
"18,399"
"18,306"
"18,168"
"18,129"
"18,119"
"18,009"
"17,880"
"17,870"
"17,816"
"17,519"
"17,472"
"17,466"
"17,422"
"17,374"
"17,329"
"17,311"
"17,228"
"17,155"
"17,012"
"16,975"
"16,857"
"16,810"
"16,804"
"16,753"
"16,715"
"16,578"
"16,563"
"16,537"
"16,428"
"16,330"
"16,232"
"16,199"
"16,165"
"16,124"
"16,102"
"16,003"
"15,827"
"15,729"
"15,680"
"15,671"
"15,613"
"15,608"
"15,538"
"15,475"
"15,377"
"15,375"
"15,276"
"15,276"
"15,250"
"15,230"
"15,188"
"15,182"
"15,087"
"15,023"
"14,913"
"14,907"
"14,888"
"14,733"
"14,664"
"14,641"
"14,600"
"14,590"
"14,523"
"14,470"
"14,414"
"14,407"
"14,354"
"14,322"
"14,321"
"14,287"
"14,249"
"14,231"
"14,223"
"14,176"
"14,160"
"14,157"
"14,156"
"14,126"
"14,089"
"13,985"
"13,910"
"13,795"
"13,773"
"13,751"
"13,732"
"13,708"
"13,593"
"13,565"
"13,510"
"13,415"
"13,404"
"13,381"
"13,360"
"13,336"
"13,336"
"13,239"
"13,239"
"13,230"
"13,218"
"13,167"
"13,062"
"13,052"
"12,998"
"12,943"
"12,941"
"12,931"
"12,927"
"12,919"
"12,904"
"12,898"
"12,894"
"12,857"
"12,836"
"12,823"
"12,802"
"12,738"
"12,726"
"12,719"
"12,702"
"12,674"
"12,665"
"12,654"
