Kills
"152,308"
"128,951"
"121,819"
"112,687"
"104,432"
"100,714"
"92,812"
"82,412"
"79,707"
"71,927"
"71,573"
"67,126"
"66,037"
"65,481"
"63,770"
"62,721"
"62,286"
"62,273"
"62,262"
"59,307"
"59,134"
"58,819"
"58,347"
"57,423"
"56,739"
"55,394"
"55,327"
"54,825"
"53,496"
"53,269"
"52,786"
"52,380"
"51,957"
"50,720"
"50,251"
"50,130"
"50,022"
"50,000"
"49,825"
"49,538"
"48,860"
"48,689"
"48,653"
"47,654"
"47,599"
"47,256"
"46,782"
"46,428"
"46,286"
"45,826"
"45,606"
"45,556"
"45,512"
"44,563"
"44,314"
"44,059"
"43,658"
"43,392"
"43,047"
"42,992"
"42,633"
"42,622"
"42,611"
"41,890"
"41,805"
"41,721"
"41,717"
"41,676"
"41,166"
"40,292"
"40,261"
"40,246"
"39,739"
"39,670"
"39,517"
"39,387"
"39,170"
"38,953"
"38,677"
"38,453"
"38,093"
"38,074"
"38,007"
"37,996"
"37,960"
"37,702"
"37,668"
"37,533"
"37,533"
"37,300"
"37,254"
"37,048"
"37,027"
"37,001"
"36,785"
"36,759"
"36,691"
"36,654"
"36,555"
"36,145"
"35,677"
"35,673"
"35,631"
"35,569"
"35,474"
"35,385"
"35,226"
"35,207"
"34,951"
"34,786"
"34,639"
"34,635"
"34,635"
"34,473"
"34,296"
"34,292"
"34,267"
"34,095"
"33,979"
"33,784"
"33,562"
"33,519"
"33,363"
"33,280"
"33,189"
"33,162"
"33,076"
"32,596"
"32,535"
"32,527"
"32,447"
"32,331"
"32,257"
"32,236"
"32,208"
"32,096"
"32,083"
"32,056"
"31,947"
"31,809"
"31,694"
"31,631"
"31,605"
"31,525"
"31,508"
"31,481"
"31,470"
"31,397"
"31,397"
"31,262"
"31,207"
"30,962"
"30,890"
"30,869"
"30,849"
"30,778"
"30,757"
"30,753"
"30,585"
"30,489"
"30,475"
"30,428"
"30,422"
"30,418"
"30,311"
"30,278"
"30,255"
"30,183"
"30,043"
"29,994"
"29,979"
"29,942"
"29,746"
"29,736"
"29,388"
"29,351"
"29,117"
"29,025"
"28,974"
"28,963"
"28,903"
"28,854"
"28,816"
"28,757"
"28,470"
"28,279"
"28,275"
"28,197"
"28,114"
"28,102"
"28,035"
"28,020"
"27,995"
"27,966"
"27,946"
"27,797"
"27,777"
"27,773"
"27,773"
"27,667"
"27,624"
"27,585"
"27,474"
"27,364"
"27,191"
"27,148"
"27,053"
"26,971"
"26,903"
"26,826"
"26,804"
"26,779"
"26,774"
"26,763"
"26,699"
"26,647"
"26,615"
"26,589"
"26,533"
"26,528"
"26,505"
"26,413"
"26,371"
"26,369"
"26,346"
"26,154"
"26,091"
"26,040"
"25,990"
"25,978"
"25,859"
"25,772"
"25,552"
"25,506"
"25,499"
"25,424"
"25,297"
"25,252"
"25,206"
"25,154"
"25,147"
"25,087"
"24,914"
"24,893"
"24,883"
"24,825"
"24,807"
"24,798"
"24,769"
"24,705"
"24,704"
"24,686"
"24,615"
"24,567"
"24,526"
"24,520"
"24,494"
"24,477"
"24,435"
"24,390"
"24,298"
"24,269"
"24,261"
"24,238"
"24,175"
"24,154"
"24,109"
"24,049"
"24,039"
"24,021"
"23,984"
"23,955"
"23,953"
"23,951"
"23,918"
"23,738"
"23,721"
"23,668"
"23,666"
"23,595"
"23,556"
"23,534"
"23,525"
"23,524"
"23,469"
"23,450"
"23,410"
"23,383"
"23,353"
"23,236"
"23,088"
"23,085"
"23,005"
"22,951"
"22,869"
"22,839"
"22,705"
"22,651"
"22,599"
"22,553"
"22,506"
"22,497"
"22,492"
"22,431"
"22,427"
"22,423"
"22,394"
"22,355"
"22,347"
"22,261"
"22,156"
"22,106"
"22,087"
"22,056"
"22,031"
"22,024"
"21,983"
"21,962"
"21,939"
"21,932"
"21,919"
"21,856"
"21,828"
"21,813"
"21,793"
"21,790"
"21,785"
"21,763"
"21,725"
"21,715"
"21,679"
"21,669"
"21,668"
"21,598"
"21,578"
"21,528"
"21,488"
"21,464"
"21,458"
"21,380"
"21,366"
"21,366"
"21,365"
"21,360"
"21,325"
"21,271"
"21,255"
"21,246"
"21,245"
"21,209"
"21,175"
"21,170"
"21,168"
"21,166"
"21,150"
"21,145"
"21,142"
"21,139"
"21,127"
"21,104"
"21,086"
"21,067"
"21,052"
"21,049"
"21,044"
"21,038"
"20,990"
"20,982"
"20,956"
"20,910"
"20,904"
"20,900"
"20,899"
"20,851"
"20,759"
"20,749"
"20,731"
"20,729"
"20,711"
"20,670"
"20,604"
"20,574"
"20,545"
"20,540"
"20,519"
"20,498"
"20,475"
"20,435"
"20,415"
"20,402"
"20,383"
"20,355"
"20,354"
"20,341"
"20,340"
"20,318"
"20,272"
"20,251"
"20,235"
"20,223"
"20,198"
"20,197"
"20,197"
"20,192"
"20,188"
"20,179"
"20,170"
"20,135"
"20,090"
"20,080"
"20,032"
"20,026"
"20,015"
"19,982"
"19,981"
"19,979"
"19,967"
"19,955"
"19,904"
"19,858"
"19,804"
"19,785"
"19,747"
"19,717"
"19,695"
"19,676"
"19,656"
"19,655"
"19,654"
"19,625"
"19,594"
"19,594"
"19,537"
"19,529"
"19,526"
"19,510"
"19,426"
"19,405"
"19,379"
"19,359"
"19,351"
"19,325"
"19,294"
"19,293"
"19,288"
"19,242"
"19,240"
"19,228"
"19,225"
"19,177"
"19,171"
"19,166"
"19,166"
"19,166"
"19,164"
"19,112"
"19,106"
"19,106"
"19,090"
"19,086"
"19,079"
"19,005"
"18,980"
"18,946"
"18,929"
"18,928"
"18,923"
"18,843"
"18,842"
"18,826"
"18,810"
"18,805"
"18,775"
"18,771"
"18,758"
"18,744"
"18,714"
"18,710"
"18,697"
"18,682"
"18,664"
"18,583"
"18,579"
"18,577"
"18,558"
"18,472"
"18,470"
"18,458"
"18,384"
"18,383"
"18,373"
"18,360"
"18,360"
"18,353"
"18,338"
"18,280"
"18,266"
"18,264"
"18,264"
"18,263"
