Kills
"87,501"
"74,347"
"69,243"
"66,650"
"62,116"
"61,827"
"52,643"
"51,252"
"46,445"
"43,880"
"40,065"
"38,119"
"35,419"
"31,829"
"29,149"
"28,572"
"28,284"
"27,203"
"27,016"
"26,818"
"26,008"
"25,858"
"25,542"
"25,334"
"25,017"
"24,377"
"24,039"
"23,426"
"23,419"
"23,222"
"22,324"
"22,048"
"21,586"
"21,371"
"21,274"
"20,950"
"20,692"
"20,570"
"20,178"
"19,604"
"19,403"
"19,389"
"19,033"
"18,752"
"18,735"
"18,616"
"18,578"
"18,065"
"17,801"
"17,764"
"17,474"
"17,115"
"17,061"
"16,587"
"16,460"
"16,384"
"16,272"
"16,208"
"16,153"
"15,445"
"15,436"
"15,426"
"15,169"
"15,154"
"15,044"
"15,035"
"14,505"
"14,134"
"14,068"
"14,053"
"14,000"
"13,920"
"13,898"
"13,892"
"13,778"
"13,692"
"13,640"
"13,485"
"13,383"
"13,326"
"13,279"
"13,121"
"13,097"
"13,039"
"12,977"
"12,939"
"12,897"
"12,688"
"12,652"
"12,643"
"12,642"
"12,605"
"12,538"
"12,529"
"12,470"
"12,379"
"12,374"
"12,341"
"12,253"
"12,234"
"12,199"
"12,185"
"12,156"
"12,105"
"12,043"
"12,034"
"11,969"
"11,949"
"11,853"
"11,764"
"11,711"
"11,684"
"11,681"
"11,562"
"11,525"
"11,499"
"11,441"
"11,422"
"11,283"
"11,276"
"11,275"
"11,269"
"11,206"
"11,172"
"11,172"
"11,154"
"11,138"
"11,126"
"11,097"
"11,015"
"11,015"
"10,993"
"10,986"
"10,964"
"10,942"
"10,916"
"10,908"
"10,854"
"10,821"
"10,812"
"10,794"
"10,775"
"10,771"
"10,728"
"10,678"
"10,616"
"10,550"
"10,516"
"10,514"
"10,509"
"10,463"
"10,461"
"10,440"
"10,426"
"10,415"
"10,405"
"10,396"
"10,384"
"10,363"
"10,301"
"10,220"
"10,216"
"10,206"
"10,192"
"10,186"
"10,152"
"10,144"
"10,111"
"10,067"
"10,066"
"10,064"
"9,903"
"9,901"
"9,871"
"9,811"
"9,679"
"9,637"
"9,632"
"9,621"
"9,617"
"9,573"
"9,480"
"9,421"
"9,419"
"9,416"
"9,415"
"9,408"
"9,405"
"9,373"
"9,365"
"9,359"
"9,346"
"9,345"
"9,329"
"9,327"
"9,313"
"9,289"
"9,246"
"9,210"
"9,189"
"9,154"
"9,140"
"9,120"
"9,049"
"9,014"
"9,013"
"8,990"
"8,933"
"8,913"
"8,901"
"8,868"
"8,817"
"8,786"
"8,780"
"8,770"
"8,759"
"8,669"
"8,668"
"8,656"
"8,649"
"8,637"
"8,625"
"8,603"
"8,590"
"8,571"
"8,550"
"8,534"
"8,528"
"8,494"
"8,462"
"8,462"
"8,443"
"8,434"
"8,401"
"8,389"
"8,387"
"8,383"
"8,360"
"8,348"
"8,255"
"8,253"
"8,241"
"8,237"
"8,235"
"8,219"
"8,160"
"8,157"
"8,153"
"8,125"
"8,089"
"8,086"
"8,084"
"8,071"
"8,046"
"8,022"
"8,016"
"8,000"
"7,939"
"7,916"
"7,915"
"7,901"
"7,859"
"7,855"
"7,849"
"7,848"
"7,803"
"7,798"
"7,775"
"7,751"
"7,708"
"7,692"
"7,658"
"7,658"
"7,649"
"7,614"
"7,606"
"7,604"
"7,597"
"7,594"
"7,574"
"7,548"
"7,536"
"7,518"
"7,514"
"7,512"
"7,508"
"7,502"
"7,498"
"7,481"
"7,480"
"7,473"
"7,426"
"7,425"
"7,406"
"7,401"
"7,388"
"7,353"
"7,332"
"7,327"
"7,321"
"7,318"
"7,263"
"7,261"
"7,252"
"7,246"
"7,240"
"7,240"
"7,236"
"7,231"
"7,222"
"7,195"
"7,194"
"7,190"
"7,178"
"7,168"
"7,157"
"7,151"
"7,130"
