Kills
"151,266"
"122,987"
"115,091"
"101,160"
"85,545"
"81,241"
"80,313"
"78,442"
"78,260"
"77,834"
"77,614"
"76,937"
"73,647"
"72,374"
"72,244"
"71,907"
"71,657"
"71,506"
"70,621"
"70,494"
"67,905"
"67,797"
"66,974"
"66,637"
"66,415"
"66,158"
"66,158"
"65,518"
"65,429"
"65,220"
"64,627"
"62,838"
"62,053"
"60,457"
"60,327"
"58,314"
"57,192"
"56,885"
"56,682"
"56,377"
"56,171"
"56,144"
"55,702"
"54,851"
"54,753"
"54,108"
"54,045"
"53,851"
"52,938"
"52,128"
"52,093"
"52,016"
"51,586"
"51,491"
"51,429"
"51,145"
"50,656"
"50,344"
"50,337"
"50,278"
"50,102"
"50,022"
"49,413"
"49,405"
"48,965"
"48,778"
"48,421"
"48,027"
"47,775"
"47,312"
"47,070"
"46,718"
"46,571"
"46,571"
"46,397"
"46,181"
"45,841"
"45,226"
"44,966"
"44,943"
"44,886"
"44,839"
"44,654"
"43,804"
"43,674"
"43,291"
"42,848"
"42,731"
"42,699"
"42,321"
"42,006"
"41,736"
"41,487"
"41,411"
"41,399"
"41,108"
"41,098"
"41,021"
"40,715"
"40,670"
"40,596"
"40,553"
"40,381"
"40,184"
"40,114"
"39,586"
"39,483"
"39,192"
"39,092"
"38,896"
"38,735"
"38,625"
"38,537"
"38,484"
"38,327"
"38,141"
"38,026"
"38,007"
"37,832"
"37,767"
"37,752"
"37,656"
"37,574"
"37,476"
"37,365"
"37,190"
"37,041"
"36,969"
"36,893"
"36,772"
"36,764"
"36,723"
"36,668"
"36,660"
"36,626"
"36,602"
"36,582"
"36,258"
"36,132"
"35,723"
"35,664"
"35,311"
"34,869"
"34,584"
"34,514"
"34,319"
"34,201"
"34,194"
"34,078"
"33,933"
"33,897"
"33,752"
"33,620"
"33,585"
"33,436"
"33,343"
"33,331"
"33,046"
"33,045"
"33,041"
"33,032"
"32,908"
"32,725"
"32,667"
"32,613"
"32,586"
"32,538"
"32,504"
"32,379"
"32,343"
"32,182"
"32,156"
"32,050"
"31,982"
"31,969"
"31,950"
"31,830"
"31,817"
"31,804"
"31,791"
"31,783"
"31,771"
"31,714"
"31,581"
"31,490"
"31,481"
"31,457"
"31,373"
"31,366"
"31,312"
"31,291"
"31,285"
"31,216"
"31,162"
"31,121"
"31,088"
"31,080"
"30,989"
"30,927"
"30,782"
"30,746"
"30,725"
"30,692"
"30,635"
"30,542"
"30,472"
"30,315"
"30,262"
"30,198"
"30,191"
"30,174"
"30,155"
"29,915"
"29,904"
"29,837"
"29,750"
"29,631"
"29,540"
"29,500"
"29,462"
"29,414"
"29,393"
"29,388"
"29,329"
"29,259"
"29,248"
"29,248"
"29,246"
"29,205"
"29,167"
"29,147"
"29,128"
"29,072"
"28,981"
"28,880"
"28,872"
"28,749"
"28,671"
"28,659"
"28,656"
"28,502"
"28,495"
"28,441"
"28,389"
"28,380"
"28,371"
"28,330"
"28,247"
"28,223"
"28,211"
"28,172"
"28,112"
"28,080"
"28,049"
"28,033"
"27,895"
"27,829"
"27,814"
"27,751"
"27,705"
"27,660"
"27,603"
"27,595"
"27,579"
"27,567"
"27,444"
"27,354"
"27,227"
"27,167"
"27,091"
"27,066"
"27,025"
"27,018"
"26,914"
"26,874"
"26,865"
"26,830"
"26,821"
"26,808"
"26,741"
"26,682"
"26,643"
"26,623"
"26,573"
"26,567"
"26,557"
"26,460"
"26,430"
"26,418"
"26,354"
"26,304"
"26,283"
"26,267"
"26,265"
"26,256"
"26,229"
"26,207"
"26,183"
"26,108"
"26,072"
"26,033"
"25,904"
"25,861"
"25,853"
"25,842"
"25,765"
"25,689"
"25,664"
"25,640"
"25,625"
"25,598"
"25,563"
"25,528"
"25,484"
"25,450"
"25,429"
"25,420"
"25,353"
"25,320"
"25,170"
"25,117"
"25,086"
"25,048"
"25,044"
"25,012"
"24,983"
"24,960"
"24,940"
"24,894"
"24,818"
"24,786"
"24,642"
"24,612"
"24,592"
"24,551"
"24,526"
"24,514"
"24,503"
"24,470"
"24,429"
"24,380"
"24,358"
"24,347"
"24,340"
"24,336"
"24,295"
"24,270"
"24,262"
"24,256"
"24,233"
"24,224"
"24,171"
"24,162"
"24,159"
"24,147"
"24,110"
"24,101"
"24,010"
"24,005"
"23,995"
"23,988"
"23,977"
"23,948"
"23,945"
"23,931"
"23,916"
"23,902"
"23,823"
"23,814"
"23,769"
"23,763"
"23,724"
"23,722"
"23,716"
"23,716"
"23,715"
"23,689"
"23,671"
"23,641"
"23,564"
"23,528"
"23,526"
"23,404"
"23,385"
"23,352"
