Kills
"341,972"
"235,985"
"154,091"
"151,873"
"143,365"
"142,941"
"142,625"
"138,695"
"137,516"
"133,029"
"122,703"
"121,661"
"120,779"
"105,608"
"104,151"
"104,078"
"104,044"
"103,481"
"102,978"
"102,177"
"101,693"
"100,479"
"100,202"
"100,006"
"97,692"
"97,462"
"96,613"
"95,570"
"95,279"
"94,467"
"93,314"
"92,916"
"92,639"
"92,257"
"92,017"
"91,443"
"90,567"
"90,287"
"89,789"
"89,637"
"89,213"
"88,650"
"86,427"
"84,686"
"84,535"
"84,429"
"83,642"
"83,065"
"82,092"
"81,755"
"81,538"
"80,821"
"80,644"
"79,446"
"78,911"
"78,730"
"78,684"
"78,268"
"77,351"
"77,098"
"76,992"
"76,747"
"76,342"
"75,582"
"74,883"
"74,041"
"73,814"
"73,576"
"73,458"
"72,290"
"72,119"
"71,977"
"71,034"
"70,524"
"70,299"
"70,272"
"70,202"
"70,037"
"69,525"
"69,287"
"69,251"
"68,986"
"68,760"
"68,158"
"67,727"
"67,459"
"67,374"
"67,317"
"67,262"
"67,223"
"67,185"
"67,174"
"66,802"
"66,626"
"66,516"
"66,376"
"66,310"
"66,188"
"66,160"
"66,063"
"65,988"
"65,965"
"65,821"
"65,461"
"64,431"
"64,225"
"64,185"
"64,176"
"63,976"
"63,958"
"63,942"
"63,513"
"63,437"
"63,391"
"63,285"
"63,026"
"62,958"
"62,687"
"62,501"
"62,490"
"62,458"
"62,242"
"62,233"
"61,991"
"61,889"
"61,781"
"61,737"
"61,302"
"61,251"
"61,245"
"61,168"
"60,961"
"60,956"
"60,867"
"60,835"
"60,772"
"60,324"
"60,250"
"60,248"
"60,151"
"60,055"
"59,967"
"59,378"
"59,019"
"58,868"
"58,701"
"58,641"
"58,623"
"58,547"
"58,448"
"58,428"
"58,384"
"58,032"
"57,890"
"57,829"
"57,703"
"57,606"
"57,461"
"57,259"
"57,155"
"57,019"
"56,928"
"56,882"
"56,848"
"56,841"
"56,761"
"56,329"
"56,322"
"56,176"
"55,952"
"55,948"
"55,825"
"55,821"
"55,792"
"55,635"
"55,568"
"55,514"
"55,471"
"55,341"
"55,287"
"55,128"
"55,109"
"54,918"
"54,733"
"54,712"
"54,710"
"54,572"
"54,540"
"54,536"
"54,349"
"54,252"
"54,248"
"54,234"
"54,233"
"53,934"
"53,861"
"53,846"
"53,828"
"53,821"
"53,703"
"53,608"
"53,487"
"53,407"
"53,335"
"53,153"
"53,139"
