Kills
"121,506"
"56,300"
"50,615"
"49,323"
"48,701"
"47,830"
"47,338"
"45,859"
"45,124"
"45,046"
"44,083"
"38,209"
"38,162"
"38,146"
"37,692"
"37,174"
"37,087"
"36,816"
"35,974"
"35,932"
"35,690"
"35,640"
"34,719"
"34,634"
"34,462"
"33,825"
"33,772"
"33,376"
"33,257"
"32,885"
"32,480"
"31,652"
"31,223"
"31,059"
"30,725"
"30,245"
"29,938"
"29,814"
"28,493"
"28,332"
"28,193"
"27,521"
"27,410"
"27,367"
"27,343"
"27,338"
"27,217"
"26,796"
"26,412"
"26,328"
"26,030"
"26,010"
"25,771"
"25,071"
"25,033"
"25,012"
"24,550"
"24,485"
"24,288"
"24,270"
"24,250"
"24,221"
"24,196"
"24,035"
"23,890"
"23,463"
"23,258"
"22,925"
"22,882"
"22,685"
"22,647"
"22,636"
"22,538"
"22,529"
"22,466"
"22,354"
"22,065"
"21,986"
"21,933"
"21,888"
"21,761"
"21,718"
"21,689"
"21,644"
"21,602"
"21,585"
"21,369"
"21,330"
"21,295"
"21,232"
"21,047"
"21,016"
"20,913"
"20,877"
"20,730"
"20,640"
"20,570"
"20,540"
"20,487"
"20,460"
"20,415"
"20,302"
"20,297"
"20,180"
"20,070"
"20,020"
"20,011"
"19,606"
"19,586"
"19,580"
"19,531"
"19,221"
"19,046"
"19,000"
"18,841"
"18,820"
"18,739"
"18,490"
"18,432"
"18,394"
"18,290"
"18,252"
"18,190"
"18,166"
"18,137"
"18,135"
"18,095"
"18,019"
"17,793"
"17,671"
"17,535"
"17,499"
"17,496"
"17,448"
"17,421"
"17,411"
"17,377"
"17,289"
"17,272"
"17,242"
"17,168"
"17,063"
"16,976"
"16,826"
"16,803"
"16,644"
"16,523"
"16,497"
"16,492"
"16,285"
"16,223"
"16,041"
"15,913"
"15,869"
"15,841"
"15,819"
"15,815"
"15,808"
"15,781"
"15,715"
"15,680"
"15,637"
"15,584"
"15,583"
"15,580"
"15,412"
"15,322"
"15,320"
"15,287"
"15,287"
"15,264"
"15,253"
"15,219"
"15,147"
"15,072"
"15,062"
"14,940"
"14,931"
"14,925"
"14,901"
"14,888"
"14,868"
"14,812"
"14,789"
"14,776"
"14,774"
"14,768"
"14,756"
"14,718"
"14,683"
"14,669"
"14,665"
"14,664"
"14,656"
"14,640"
"14,613"
"14,597"
"14,581"
"14,549"
"14,537"
"14,390"
"14,374"
"14,334"
"14,330"
"14,321"
"14,298"
"14,290"
"14,290"
"14,255"
"14,219"
"14,195"
"14,184"
"14,171"
"14,126"
"14,084"
"14,032"
"13,980"
"13,942"
"13,896"
"13,865"
"13,848"
"13,834"
"13,787"
"13,770"
"13,767"
"13,764"
"13,751"
"13,737"
"13,732"
"13,688"
"13,626"
"13,605"
"13,578"
"13,534"
"13,522"
"13,496"
"13,480"
"13,474"
"13,453"
"13,426"
"13,349"
"13,347"
"13,347"
"13,340"
"13,328"
"13,301"
"13,279"
"13,204"
"13,191"
"13,178"
"13,159"
"13,150"
"13,148"
"13,085"
"13,063"
"13,025"
"13,003"
"12,951"
"12,919"
"12,888"
"12,885"
"12,840"
"12,799"
"12,795"
"12,793"
"12,792"
"12,756"
"12,752"
"12,730"
"12,710"
"12,680"
"12,617"
"12,615"
"12,595"
"12,589"
"12,587"
"12,569"
"12,562"
"12,549"
"12,470"
"12,458"
"12,449"
"12,423"
"12,389"
"12,286"
"12,272"
"12,238"
