Kills
"323,200"
"203,377"
"176,678"
"170,084"
"161,762"
"151,190"
"132,425"
"131,655"
"130,230"
"124,778"
"121,289"
"120,492"
"120,459"
"120,409"
"119,357"
"118,496"
"117,336"
"115,076"
"113,127"
"112,414"
"111,277"
"110,968"
"108,985"
"108,690"
"107,439"
"105,420"
"104,191"
"103,458"
"102,538"
"102,473"
"102,289"
"101,884"
"99,914"
"98,383"
"93,183"
"92,454"
"91,186"
"89,483"
"88,944"
"88,917"
"87,858"
"87,661"
"87,278"
"87,201"
"86,846"
"86,156"
"84,727"
"84,633"
"84,324"
"84,258"
"83,526"
"83,513"
"83,451"
"83,439"
"83,110"
"82,754"
"81,968"
"81,912"
"81,847"
"81,568"
"81,228"
"80,501"
"80,420"
"79,563"
"78,945"
"78,627"
"78,302"
"78,035"
"77,938"
"77,190"
"74,963"
"74,374"
"74,179"
"73,701"
"73,548"
"73,488"
"73,467"
"73,385"
"73,084"
"72,826"
"72,707"
"72,670"
"72,459"
"72,371"
"71,846"
"71,756"
"71,711"
"71,590"
"71,580"
"71,515"
"71,430"
"71,350"
"71,185"
"70,970"
"70,868"
"70,839"
"70,688"
"70,376"
"69,858"
"69,555"
"69,434"
"69,402"
"69,263"
"68,776"
"68,750"
"68,547"
"68,480"
"67,581"
"66,893"
"66,779"
"66,225"
"66,077"
"65,526"
"65,455"
"64,913"
"64,861"
"64,772"
"64,517"
"64,127"
"64,078"
"64,056"
"63,747"
"63,659"
"63,560"
"63,547"
"62,841"
"62,827"
"62,765"
"62,737"
"62,695"
"62,690"
"62,668"
"62,386"
"62,381"
"62,276"
"62,026"
"61,866"
"61,572"
"61,560"
"61,419"
"61,320"
"61,245"
"60,946"
"60,936"
"60,918"
"60,871"
"60,741"
"60,739"
"60,605"
"60,563"
"60,487"
"60,450"
"60,418"
"60,387"
"60,174"
"60,067"
"60,023"
"59,787"
"59,727"
"59,549"
"59,538"
"59,471"
"59,223"
"59,213"
"59,139"
"58,966"
"58,606"
"58,462"
"58,419"
"58,403"
"58,321"
"57,977"
"57,366"
"57,259"
"57,203"
"57,106"
"57,033"
"56,783"
"56,715"
"56,480"
"56,430"
"56,423"
"56,301"
"56,261"
"56,254"
"56,173"
"56,014"
"55,640"
"55,519"
"55,343"
"55,276"
"55,125"
"54,869"
"54,762"
"54,568"
"54,504"
"54,469"
"54,375"
"54,362"
"54,307"
"54,296"
"54,033"
"53,905"
"53,822"
"53,821"
"53,794"
"53,738"
"53,718"
"53,549"
"53,434"
"53,134"
"53,128"
"53,112"
"53,112"
"53,106"
"53,089"
