Kills
"100,040"
"91,730"
"85,535"
"71,874"
"69,828"
"68,865"
"68,443"
"68,105"
"62,903"
"57,398"
"53,025"
"51,210"
"50,843"
"49,415"
"48,260"
"48,111"
"43,298"
"41,141"
"39,802"
"39,290"
"38,640"
"37,820"
"36,540"
"36,238"
"35,952"
"35,023"
"34,341"
"33,417"
"32,906"
"32,515"
"32,258"
"31,853"
"31,712"
"31,321"
"31,254"
"31,069"
"30,648"
"30,634"
"29,932"
"28,978"
"28,732"
"28,390"
"28,154"
"27,896"
"26,136"
"25,994"
"25,918"
"25,877"
"25,747"
"25,518"
"25,466"
"25,375"
"25,185"
"24,959"
"24,936"
"24,502"
"24,412"
"23,861"
"23,591"
"23,498"
"23,434"
"23,002"
"23,002"
"22,706"
"22,443"
"22,328"
"22,269"
"22,123"
"21,728"
"21,559"
"21,538"
"21,473"
"21,133"
"21,065"
"20,862"
"20,811"
"20,565"
"20,548"
"20,230"
"20,216"
"20,203"
"20,000"
"19,489"
"19,429"
"19,382"
"19,236"
"19,103"
"19,009"
"18,993"
"18,881"
"18,687"
"18,428"
"18,297"
"18,285"
"18,256"
"17,832"
"17,548"
"17,492"
"17,358"
"17,255"
"17,187"
"17,185"
"17,038"
"17,026"
"16,902"
"16,710"
"16,680"
"16,657"
"16,561"
"16,491"
"16,473"
"16,425"
"16,402"
"16,303"
"16,088"
"16,054"
"16,053"
"16,001"
"15,817"
"15,805"
"15,788"
"15,680"
"15,529"
"15,506"
"15,428"
"15,303"
"15,293"
"15,271"
"15,267"
"15,256"
"15,251"
"15,220"
"15,151"
"15,084"
"14,948"
"14,945"
"14,844"
"14,714"
"14,676"
"14,654"
"14,648"
"14,626"
"14,568"
"14,568"
"14,567"
"14,566"
"14,469"
"14,366"
"14,347"
"14,320"
"14,186"
"14,158"
"14,140"
"14,105"
"14,097"
"14,055"
"13,999"
"13,987"
"13,964"
"13,898"
"13,879"
"13,821"
"13,754"
"13,743"
"13,727"
"13,689"
"13,616"
"13,607"
"13,603"
"13,535"
"13,497"
"13,482"
"13,392"
"13,390"
"13,380"
"13,352"
"13,326"
"13,235"
"13,192"
"13,188"
"13,162"
"13,133"
"13,123"
"13,112"
"13,107"
"13,079"
"13,061"
"13,001"
"12,980"
"12,937"
"12,910"
"12,885"
"12,837"
"12,811"
"12,808"
"12,800"
"12,736"
"12,736"
"12,731"
"12,668"
